    V   J   Energy(K)   log(N/g)
    0     0   0.000000E+000   5.401639E+001 
    0     1   1.705020E+002   5.175492E+001 
    0     2   5.098500E+002   4.353962E+001 
    0     3   1.015153E+003   4.211837E+001 
    0     4   1.681678E+003   4.147357E+001 
    0     5   2.503870E+003   4.082595E+001 
    0     6   3.474434E+003   4.008731E+001 
    0     7   4.586377E+003   3.921486E+001 
    0     8   5.829758E+003   3.816728E+001 
    1     0   5.987124E+003   3.523371E+001 
    1     1   6.149208E+003   3.501831E+001 
    1     2   6.471607E+003   3.498182E+001 
    1     3   6.951587E+003   3.465190E+001 
    0     9   7.196995E+003   3.688750E+001 
    1     4   7.584601E+003   3.445673E+001 
    1     5   8.365297E+003   3.404211E+001 
    0    10   8.677322E+003   3.548073E+001 
    1     6   9.286624E+003   3.372615E+001 
    0    11   1.026179E+004   3.383991E+001 
    1     7   1.034152E+004   3.319476E+001 
    1     8   1.152183E+004   3.276767E+001 
    2     0   1.163573E+004   3.275942E+001 
    2     1   1.178951E+004   3.250864E+001 
    0    12   1.194031E+004   3.244162E+001 
    2     2   1.209524E+004   3.253028E+001 
    2     3   1.255050E+004   3.215041E+001 
    1     9   1.281752E+004   3.211278E+001 
    2     4   1.315072E+004   3.205340E+001 
    0    13   1.370318E+004   3.090021E+001 
    2     5   1.389070E+004   3.159819E+001 
    1    10   1.422111E+004   3.163395E+001 
    2     6   1.476414E+004   3.136797E+001 
    0    14   1.554025E+004   3.016867E+001 
    1    11   1.572229E+004   3.091244E+001 
    2     7   1.576338E+004   3.086668E+001 
    2     8   1.688055E+004   3.054620E+001 
    3     0   1.695284E+004   3.082447E+001 
    3     1   1.709837E+004   3.065790E+001 
    1    12   1.731122E+004   3.041189E+001 
    3     2   1.738779E+004   3.062749E+001 
    0    15   1.744391E+004   2.922002E+001 
    3     3   1.781869E+004   3.034759E+001 
    2     9   1.810741E+004   3.004935E+001 
    3     4   1.838652E+004   3.020995E+001 
    1    13   1.897972E+004   2.973066E+001 
    3     5   1.908649E+004   2.984349E+001 
    0    16   1.940345E+004   2.874833E+001 
    2    10   1.943491E+004   2.967859E+001 
    3     6   1.991225E+004   2.957231E+001 
    1    14   2.071785E+004   2.918328E+001 
    2    11   2.085383E+004   2.923521E+001 
    3     7   2.085653E+004   2.915300E+001 
    0    17   2.141168E+004   2.818514E+001 
    3     8   2.191171E+004   2.877931E+001 
    4     0   2.194278E+004   2.899861E+001 
    4     1   2.208004E+004   2.893903E+001 
    4     2   2.235326E+004   2.880992E+001 
    2    12   2.235535E+004   2.889952E+001 
    1    15   2.251712E+004   2.861605E+001 
    4     3   2.275983E+004   2.866793E+001 
    3     9   2.306999E+004   2.834771E+001 
    4     4   2.329564E+004   2.839051E+001 
    0    18   2.345990E+004   2.773539E+001 
    2    13   2.393080E+004   2.847521E+001 
    4     5   2.395581E+004   2.817647E+001 
    3    10   2.432262E+004   2.794136E+001 
    1    16   2.436840E+004   2.808351E+001 
    4     6   2.473404E+004   2.775251E+001 
    0    19   2.553963E+004   2.738434E+001 
    2    14   2.557053E+004   2.811101E+001 
