          distance              timeN                 Tn                 Ti                 Te         Total_heat       heat_chemist       heat_diff_in       heat_diff_an       heat_diff_en       heat_diff_gn       heat_inel_en       heat_ther_in       heat_ther_gn       heat_phot_el       heat_ioni_cr    heat_photo_chem         heat_h2int          heat_visc         heat_compr 
  1.801332383E-007   1.141640898E-021   4.677000000E+001   4.677000000E+001   4.677000000E+001   1.109236803E-021   4.885077700E-022  -4.130646786E-020  -2.609387833E-021  -2.533567460E-023  -1.038587310E-023  -0.000000000E+000   1.910108212E-026  -3.017501912E-023   7.084303282E-022   2.194805092E-022   0.000000000E+000   6.299306570E-024   0.000000000E+000   4.366827115E-020 
  3.602664766E-007   2.283281796E-021   4.677000000E+001   4.677000000E+001   4.677000000E+001   1.109236803E-021   4.885077700E-022  -4.130646786E-020  -2.609387833E-021  -2.533567460E-023  -1.038587310E-023  -0.000000000E+000   1.910108212E-026  -3.017501912E-023   7.084303282E-022   2.194805092E-022   0.000000000E+000   6.299306570E-024   0.000000000E+000   4.366827115E-020 
  2.161598859E-006   1.369969078E-020   4.677000000E+001   4.677000000E+001   4.677000000E+001   1.109236803E-021   4.885077700E-022  -4.130646786E-020  -2.609387833E-021  -2.533567460E-023  -1.038587310E-023  -0.000000000E+000   1.910108212E-026  -3.017501912E-023   7.084303282E-022   2.194805092E-022   0.000000000E+000   6.299306570E-024   0.000000000E+000   4.366827115E-020 
  2.017492269E-005   1.278637806E-019   4.677000000E+001   4.677000000E+001   4.677000000E+001   1.109236803E-021   4.885077700E-022  -4.130646786E-020  -2.609387833E-021  -2.533567460E-023  -1.038587310E-023  -0.000000000E+000   1.910108212E-026  -3.017501912E-023   7.084303282E-022   2.194805092E-022   0.000000000E+000   6.299306570E-024   0.000000000E+000   4.366827115E-020 
  8.419090687E-005   5.335816058E-019   4.677000000E+001   4.677000000E+001   4.677000000E+001   1.109236803E-021   4.885077700E-022  -4.130646786E-020  -2.609387833E-021  -2.533567460E-023  -1.038587310E-023  -0.000000000E+000   1.910108212E-026  -3.017501912E-023   7.084303282E-022   2.194805092E-022   0.000000000E+000   6.299306570E-024   0.000000000E+000   4.366827115E-020 
  2.264414544E-004   1.435131172E-018   4.677000000E+001   4.677000000E+001   4.677000000E+001   1.109236803E-021   4.885077700E-022  -4.130646786E-020  -2.609387833E-021  -2.533567460E-023  -1.038587310E-023  -0.000000000E+000   1.910108212E-026  -3.017501912E-023   7.084303282E-022   2.194805092E-022   0.000000000E+000   6.299306570E-024   0.000000000E+000   4.366827115E-020 
  4.979290816E-004   3.155754092E-018   4.677000000E+001   4.677000000E+001   4.677000000E+001   1.109236803E-021   4.885077700E-022  -4.130646786E-020  -2.609387833E-021  -2.533567460E-023  -1.038587310E-023  -0.000000000E+000   1.910108212E-026  -3.017501912E-023   7.084303282E-022   2.194805092E-022   0.000000000E+000   6.299306570E-024   0.000000000E+000   4.366827115E-020 
  1.007263146E-003   6.383790207E-018   4.677000000E+001   4.677000000E+001   4.677000000E+001   1.109236803E-021   4.885077700E-022  -4.130646786E-020  -2.609387833E-021  -2.533567460E-023  -1.038587310E-023  -0.000000000E+000   1.910108212E-026  -3.017501912E-023   7.084303282E-022   2.194805092E-022   0.000000000E+000   6.299306570E-024   0.000000000E+000   4.366827115E-020 
  2.570137206E-003   1.628890801E-017   4.677000000E+001   4.677000000E+001   4.677000000E+001   1.109236803E-021   4.885077700E-022  -4.130646786E-020  -2.609387833E-021  -2.533567460E-023  -1.038587310E-023  -0.000000000E+000   1.910108212E-026  -3.017501912E-023   7.084303282E-022   2.194805092E-022   0.000000000E+000   6.299306570E-024   0.000000000E+000   4.366827115E-020 
  4.133011265E-003   2.619402581E-017   4.677000000E+001   4.677000000E+001   4.677000000E+001   1.109236803E-021   4.885077700E-022  -4.130646786E-020  -2.609387833E-021  -2.533567460E-023  -1.038587310E-023  -0.000000000E+000   1.910108212E-026  -3.017501912E-023   7.084303282E-022   2.194805092E-022   0.000000000E+000   6.299306570E-024   0.000000000E+000   4.366827115E-020 
  4.967912774E-003   3.148542965E-017   4.677000000E+001   4.677000000E+001   4.677000000E+001   1.109236803E-021   4.885077700E-022  -4.130646786E-020  -2.609387833E-021  -2.533567460E-023  -1.038587310E-023  -0.000000000E+000   1.910108212E-026  -3.017501912E-023   7.084303282E-022   2.194805092E-022   0.000000000E+000   6.299306570E-024   0.000000000E+000   4.366827115E-020 
  5.802814284E-003   3.677683349E-017   4.677000000E+001   4.677000000E+001   4.677000000E+001   1.109236803E-021   4.885077700E-022  -4.130646786E-020  -2.609387833E-021  -2.533567460E-023  -1.038587310E-023  -0.000000000E+000   1.910108212E-026  -3.017501912E-023   7.084303282E-022   2.194805092E-022   0.000000000E+000   6.299306570E-024   0.000000000E+000   4.366827115E-020 
  6.637715793E-003   4.206823733E-017   4.677000000E+001   4.677000000E+001   4.677000000E+001   1.109236803E-021   4.885077700E-022  -4.130646786E-020  -2.609387833E-021  -2.533567460E-023  -1.038587310E-023  -0.000000000E+000   1.910108212E-026  -3.017501912E-023   7.084303282E-022   2.194805092E-022   0.000000000E+000   6.299306570E-024   0.000000000E+000   4.366827115E-020 
  7.993692328E-003   5.066208866E-017   4.677000000E+001   4.677000000E+001   4.677000000E+001   1.109236803E-021   4.885077700E-022  -4.130646786E-020  -2.609387833E-021  -2.533567460E-023  -1.038587310E-023  -0.000000000E+000   1.910108212E-026  -3.017501912E-023   7.084303282E-022   2.194805092E-022   0.000000000E+000   6.299306570E-024   0.000000000E+000   4.366827115E-020 
  9.349668863E-003   5.925593999E-017   4.677000000E+001   4.677000000E+001   4.677000000E+001   1.109236803E-021   4.885077700E-022  -4.130646786E-020  -2.609387833E-021  -2.533567460E-023  -1.038587310E-023  -0.000000000E+000   1.910108212E-026  -3.017501912E-023   7.084303282E-022   2.194805092E-022   0.000000000E+000   6.299306570E-024   0.000000000E+000   4.366827115E-020 
