    V   J   Energy(K)   log(N/g)
    0     0   0.000000E+000   5.404991E+001 
    0     1   1.705020E+002   5.170927E+001 
    0     2   5.098500E+002   4.347593E+001 
    0     3   1.015153E+003   4.196599E+001 
    0     4   1.681678E+003   4.132282E+001 
    0     5   2.503870E+003   4.069131E+001 
    0     6   3.474434E+003   3.998237E+001 
    0     7   4.586377E+003   3.916354E+001 
    0     8   5.829758E+003   3.819699E+001 
    1     0   5.987124E+003   3.538765E+001 
    1     1   6.149208E+003   3.518484E+001 
    1     2   6.471607E+003   3.515450E+001 
    1     3   6.951587E+003   3.484487E+001 
    0     9   7.196995E+003   3.702943E+001 
    1     4   7.584601E+003   3.467024E+001 
    1     5   8.365297E+003   3.428442E+001 
    0    10   8.677322E+003   3.575049E+001 
    1     6   9.286624E+003   3.400077E+001 
    0    11   1.026179E+004   3.423057E+001 
    1     7   1.034152E+004   3.350989E+001 
    1     8   1.152183E+004   3.311445E+001 
    2     0   1.163573E+004   3.301107E+001 
    2     1   1.178951E+004   3.277720E+001 
    0    12   1.194031E+004   3.289652E+001 
    2     2   1.209524E+004   3.280231E+001 
    2     3   1.255050E+004   3.244990E+001 
    1     9   1.281752E+004   3.248290E+001 
    2     4   1.315072E+004   3.236396E+001 
    0    13   1.370318E+004   3.132571E+001 
    2     5   1.389070E+004   3.194062E+001 
    1    10   1.422111E+004   3.201150E+001 
    2     6   1.476414E+004   3.172683E+001 
    0    14   1.554025E+004   3.053259E+001 
    1    11   1.572229E+004   3.125869E+001 
    2     7   1.576338E+004   3.125070E+001 
    2     8   1.688055E+004   3.094982E+001 
    3     0   1.695284E+004   3.118690E+001 
    3     1   1.709837E+004   3.102370E+001 
    1    12   1.731122E+004   3.074889E+001 
    3     2   1.738779E+004   3.100739E+001 
    0    15   1.744391E+004   2.941504E+001 
    3     3   1.781869E+004   3.073651E+001 
    2     9   1.810741E+004   3.044874E+001 
    3     4   1.838652E+004   3.062079E+001 
    1    13   1.897972E+004   2.998898E+001 
    3     5   1.908649E+004   3.026994E+001 
    0    16   1.940345E+004   2.896171E+001 
    2    10   1.943491E+004   3.007227E+001 
    3     6   1.991225E+004   3.002108E+001 
    1    14   2.071785E+004   2.941838E+001 
    2    11   2.085383E+004   2.956245E+001 
    3     7   2.085653E+004   2.960571E+001 
    0    17   2.141168E+004   2.825163E+001 
    3     8   2.191171E+004   2.924006E+001 
    4     0   2.194278E+004   2.946125E+001 
    4     1   2.208004E+004   2.940071E+001 
    4     2   2.235326E+004   2.928079E+001 
    2    12   2.235535E+004   2.917569E+001 
    1    15   2.251712E+004   2.875674E+001 
    4     3   2.275983E+004   2.912098E+001 
    3     9   2.306999E+004   2.875697E+001 
    4     4   2.329564E+004   2.887496E+001 
    0    18   2.345990E+004   2.783134E+001 
    2    13   2.393080E+004   2.867600E+001 
    4     5   2.395581E+004   2.864485E+001 
    3    10   2.432262E+004   2.826559E+001 
    1    16   2.436840E+004   2.819713E+001 
    4     6   2.473404E+004   2.821148E+001 
    0    19   2.553963E+004   2.740530E+001 
    2    14   2.557053E+004   2.824382E+001 
    4     7   2.562381E+004   2.790007E+001 
    3    11   2.565988E+004   2.796265E+001 
    1    17   2.626369E+004   2.769506E+001 
    5     0   2.660677E+004   2.758502E+001 
    4     8   2.661704E+004   2.748472E+001 
    5     1   2.673596E+004   2.753834E+001 
    5     2   2.699289E+004   2.742631E+001 
    3    12   2.707418E+004   2.770830E+001 
    2    15   2.726625E+004   2.768457E+001 
    5     3   2.737523E+004   2.728606E+001 
    0    20   2.764451E+004   2.695074E+001 
    4     9   2.770677E+004   2.720894E+001 
    5     4   2.787879E+004   2.704030E+001 
    1    18   2.819486E+004   2.719216E+001 
    5     5   2.849899E+004   2.689096E+001 
    3    13   2.855661E+004   2.747840E+001 
    4    10   2.888376E+004   2.676617E+001 
    2    16   2.900940E+004   2.727562E+001 
    5     6   2.922954E+004   2.642172E+001 
    0    21   2.976661E+004   2.665613E+001 
    5     7   3.006431E+004   2.624578E+001 
    3    14   3.009785E+004   2.720667E+001 
    4    11   3.013990E+004   2.668747E+001 
    1    19   3.015462E+004   2.686672E+001 
    2    17   3.079235E+004   2.651856E+001 
    6     0   3.094320E+004   2.610681E+001 
    5     8   3.099552E+004   2.603574E+001 
    6     1   3.106412E+004   2.603640E+001 
    6     2   3.130464E+004   2.588832E+001 
    4    12   3.146651E+004   2.655996E+001 
    6     3   3.166233E+004   2.586400E+001 
    3    15   3.169026E+004   2.691286E+001 
    0    22   3.190031E+004   2.603160E+001 
    5     9   3.201575E+004   2.594051E+001 
    6     4   3.213322E+004   2.563364E+001 
    1    20   3.213454E+004   2.622480E+001 
    2    18   3.260639E+004   2.611931E+001 
    6     5   3.271272E+004   2.649451E+001 
    4    13   3.285516E+004   2.644636E+001 
    5    10   3.311646E+004   2.589118E+001 
    3    16   3.332489E+004   2.649903E+001 
    6     6   3.339496E+004   2.539549E+001 
    0    23   3.403759E+004   2.586422E+001 
    1    21   3.412953E+004   2.601227E+001 
    6     7   3.417362E+004   2.540189E+001 
    5    11   3.428978E+004   2.580358E+001 
    4    14   3.429681E+004   2.624909E+001 
    2    19   3.444505E+004   2.416357E+001 
    7     0   3.494622E+004   2.630226E+001 
    3    17   3.499413E+004   2.604449E+001 
    6     8   3.504117E+004   2.537093E+001 
    7     1   3.505878E+004   2.521338E+001 
    7     2   3.528236E+004   2.519050E+001 
    5    12   3.552731E+004   2.579956E+001 
