    V   J   Energy(K)   log(N/g)
    0     0   0.000000E+000   4.370362E+001 
    0     1   1.705020E+002   4.263733E+001 
    0     2   5.098500E+002   3.924674E+001 
    0     3   1.015153E+003   3.866025E+001 
    0     4   1.681678E+003   3.818372E+001 
    0     5   2.503870E+003   3.782473E+001 
    0     6   3.474434E+003   3.748046E+001 
    0     7   4.586377E+003   3.718111E+001 
    0     8   5.829758E+003   3.684984E+001 
    1     0   5.987124E+003   3.613677E+001 
    1     1   6.149208E+003   3.612316E+001 
    1     2   6.471607E+003   3.607229E+001 
    1     3   6.951587E+003   3.601638E+001 
    0     9   7.196995E+003   3.655007E+001 
    1     4   7.584601E+003   3.592394E+001 
    1     5   8.365297E+003   3.582696E+001 
    0    10   8.677322E+003   3.620232E+001 
    1     6   9.286624E+003   3.569438E+001 
    0    11   1.026179E+004   3.586719E+001 
    1     7   1.034152E+004   3.555809E+001 
    1     8   1.152183E+004   3.538754E+001 
    2     0   1.163573E+004   3.524310E+001 
    2     1   1.178951E+004   3.523212E+001 
    0    12   1.194031E+004   3.551507E+001 
    2     2   1.209524E+004   3.518250E+001 
    2     3   1.255050E+004   3.513202E+001 
    1     9   1.281752E+004   3.520927E+001 
    2     4   1.315072E+004   3.504212E+001 
    0    13   1.370318E+004   3.516782E+001 
    2     5   1.389070E+004   3.495458E+001 
    1    10   1.422111E+004   3.499914E+001 
    2     6   1.476414E+004   3.482720E+001 
    0    14   1.554025E+004   3.481227E+001 
    1    11   1.572229E+004   3.477185E+001 
    2     7   1.576338E+004   3.470318E+001 
    2     8   1.688055E+004   3.454424E+001 
    3     0   1.695284E+004   3.448791E+001 
    3     1   1.709837E+004   3.447942E+001 
    1    12   1.731122E+004   3.453118E+001 
    3     2   1.738779E+004   3.443023E+001 
    0    15   1.744391E+004   3.443908E+001 
    3     3   1.781869E+004   3.438386E+001 
    2     9   1.810741E+004   3.438251E+001 
    3     4   1.838652E+004   3.429562E+001 
    1    13   1.897972E+004   3.427450E+001 
    3     5   1.908649E+004   3.421529E+001 
    0    16   1.940345E+004   3.414139E+001 
    2    10   1.943491E+004   3.419680E+001 
    3     6   1.991225E+004   3.409257E+001 
    1    14   2.071785E+004   3.396018E+001 
    2    11   2.085383E+004   3.394469E+001 
    3     7   2.085653E+004   3.398021E+001 
    0    17   2.141168E+004   3.367046E+001 
    3     8   2.191171E+004   3.382711E+001 
    4     0   2.194278E+004   3.378173E+001 
    4     1   2.208004E+004   3.377638E+001 
    4     2   2.235326E+004   3.372100E+001 
    2    12   2.235535E+004   3.373867E+001 
    1    15   2.251712E+004   3.364564E+001 
    4     3   2.275983E+004   3.367190E+001 
    3     9   2.306999E+004   3.362864E+001 
    4     4   2.329564E+004   3.358329E+001 
    0    18   2.345990E+004   3.344557E+001 
    2    13   2.393080E+004   3.349070E+001 
    4     5   2.395581E+004   3.350557E+001 
    3    10   2.432262E+004   3.343405E+001 
    1    16   2.436840E+004   3.339790E+001 
    4     6   2.473404E+004   3.336434E+001 
    0    19   2.553963E+004   3.301628E+001 
    2    14   2.557053E+004   3.325496E+001 
    4     7   2.562381E+004   3.323497E+001 
    3    11   2.565988E+004   3.323359E+001 
    1    17   2.626369E+004   3.304619E+001 
    5     0   2.660677E+004   3.307606E+001 
    4     8   2.661704E+004   3.306635E+001 
    5     1   2.673596E+004   3.307660E+001 
    5     2   2.699289E+004   3.300651E+001 
    3    12   2.707418E+004   3.302050E+001 
    2    15   2.726625E+004   3.296358E+001 
    5     3   2.737523E+004   3.295707E+001 
    0    20   2.764451E+004   3.281438E+001 
    4     9   2.770677E+004   3.290341E+001 
    5     4   2.787879E+004   3.285649E+001 
    1    18   2.819486E+004   3.280229E+001 
    5     5   2.849899E+004   3.276993E+001 
    3    13   2.855661E+004   3.277411E+001 
    4    10   2.888376E+004   3.269033E+001 
    2    16   2.900940E+004   3.271057E+001 
    5     6   2.922954E+004   3.261266E+001 
    0    21   2.976661E+004   3.236769E+001 
    5     7   3.006431E+004   3.247030E+001 
    3    14   3.009785E+004   3.254102E+001 
    4    11   3.013990E+004   3.248282E+001 
    1    19   3.015462E+004   3.243201E+001 
    2    17   3.079235E+004   3.238490E+001 
    6     0   3.094320E+004   3.231909E+001 
    5     8   3.099552E+004   3.232082E+001 
    6     1   3.106412E+004   3.229408E+001 
    6     2   3.130464E+004   3.224390E+001 
    4    12   3.146651E+004   3.229337E+001 
    6     3   3.166233E+004   3.216264E+001 
    3    15   3.169026E+004   3.224858E+001 
    0    22   3.190031E+004   3.218215E+001 
    5     9   3.201575E+004   3.213843E+001 
    6     4   3.213322E+004   3.211427E+001 
    1    20   3.213454E+004   3.221150E+001 
    2    18   3.260639E+004   3.215978E+001 
    6     5   3.271272E+004   3.198771E+001 
    4    13   3.285516E+004   3.203891E+001 
    5    10   3.311646E+004   3.199263E+001 
    3    16   3.332489E+004   3.205394E+001 
    6     6   3.339496E+004   3.188752E+001 
    0    23   3.403759E+004   3.176277E+001 
    1    21   3.412953E+004   3.191287E+001 
    6     7   3.417362E+004   3.178355E+001 
    5    11   3.428978E+004   3.183243E+001 
    4    14   3.429681E+004   3.188806E+001 
    2    19   3.444505E+004   3.188574E+001 
    7     0   3.494622E+004   3.164373E+001 
    3    17   3.499413E+004   3.180792E+001 
    6     8   3.504117E+004   3.167118E+001 
    7     1   3.505878E+004   3.162866E+001 
    7     2   3.528236E+004   3.159243E+001 
    5    12   3.552731E+004   3.167507E+001 
    7     3   3.561473E+004   3.154866E+001 
    4    15   3.578419E+004   3.167626E+001 
    6     9   3.599047E+004   3.154772E+001 
    7     4   3.605189E+004   3.148745E+001 
    1    22   3.613139E+004   3.155106E+001 
    0    24   3.617459E+004   3.151129E+001 
    2    20   3.629979E+004   3.155720E+001 
    7     5   3.658964E+004   3.141566E+001 
    3    18   3.668984E+004   3.152175E+001 
    5    13   3.682003E+004   3.148656E+001 
    6    10   3.701302E+004   3.141438E+001 
    7     6   3.722192E+004   3.133041E+001 
    4    16   3.730808E+004   3.143841E+001 
    7     7   3.794263E+004   3.123561E+001 
    6    11   3.810113E+004   3.127239E+001 
    1    23   3.813447E+004   3.126556E+001 
    5    14   3.815979E+004   3.130816E+001 
    2    21   3.816475E+004   3.128519E+001 
    0    25   3.830484E+004   3.122081E+001 
    3    19   3.840503E+004   3.127256E+001 
    8     0   3.860553E+004   3.111298E+001 
    8     1   3.870915E+004   3.109907E+001 
    7     8   3.874438E+004   3.113282E+001 
    4    17   3.886111E+004   3.121572E+001 
    8     2   3.891514E+004   3.106863E+001 
    8     3   3.922109E+004   3.102743E+001 
