#     Vn (<jump)        Vi (<jump)        Vn (>jump)        Vi (>jump)  
    4.555392E+06      1.029502E+06      1.299729E+06      1.029502E+06
    4.552242E+06      1.028587E+06      1.299812E+06      1.028587E+06
    4.549054E+06      1.027666E+06      1.299904E+06      1.027666E+06
    4.545827E+06      1.026739E+06      1.300004E+06      1.026739E+06
    4.542560E+06      1.025805E+06      1.300113E+06      1.025805E+06
    4.539251E+06      1.024864E+06      1.300231E+06      1.024864E+06
    4.535900E+06      1.023916E+06      1.300359E+06      1.023916E+06
    4.532504E+06      1.022961E+06      1.300496E+06      1.022961E+06
    4.529063E+06      1.021998E+06      1.300644E+06      1.021998E+06
    4.525575E+06      1.021027E+06      1.300802E+06      1.021027E+06
    4.522038E+06      1.020048E+06      1.300972E+06      1.020048E+06
    4.519853E+06      1.019446E+06      1.301081E+06      1.019446E+06
    4.517648E+06      1.018840E+06      1.301194E+06      1.018840E+06
    4.515424E+06      1.018232E+06      1.301312E+06      1.018232E+06
    4.513181E+06      1.017620E+06      1.301435E+06      1.017620E+06
    4.510917E+06      1.017004E+06      1.301562E+06      1.017004E+06
    4.508632E+06      1.016385E+06      1.301694E+06      1.016385E+06
    4.506326E+06      1.015763E+06      1.301831E+06      1.015763E+06
    4.503999E+06      1.015137E+06      1.301973E+06      1.015137E+06
    4.501649E+06      1.014507E+06      1.302120E+06      1.014507E+06
    4.499277E+06      1.013874E+06      1.302272E+06      1.013874E+06
    4.496882E+06      1.013237E+06      1.302430E+06      1.013237E+06
    4.494464E+06      1.012596E+06      1.302593E+06      1.012596E+06
    4.492021E+06      1.011951E+06      1.302762E+06      1.011951E+06
    4.489554E+06      1.011302E+06      1.302937E+06      1.011302E+06
    4.487063E+06      1.010648E+06      1.303118E+06      1.010648E+06
    4.484545E+06      1.009991E+06      1.303304E+06      1.009991E+06
    4.482002E+06      1.009329E+06      1.303497E+06      1.009329E+06
    4.479431E+06      1.008663E+06      1.303697E+06      1.008663E+06
    4.476834E+06      1.007993E+06      1.303903E+06      1.007993E+06
