          distance              timeN                 Tn                 Ti                 Te         Total_heat       heat_chemist       heat_diff_in       heat_diff_an       heat_diff_en       heat_diff_gn       heat_inel_en       heat_ther_in       heat_ther_gn       heat_phot_el       heat_ioni_cr    heat_photo_chem         heat_h2int          heat_visc         heat_compr 
  7.611441133E-043   5.359941449E-057   4.327000000E+001   4.327000000E+001   4.327000000E+001   2.135433466E-021  -3.515488698E-023   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000  -0.000000000E+000  -6.549606796E-026  -1.614304614E-022   1.768392867E-021   5.484094565E-022   0.000000000E+000   1.491786245E-023   4.219144701E-094   2.986281236E-025 
  1.522288227E-042   1.071988290E-056   4.327000000E+001   4.327000000E+001   4.327000000E+001   2.135433466E-021  -3.515488698E-023   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000  -0.000000000E+000  -6.549606796E-026  -1.614304614E-022   1.768392867E-021   5.484094565E-022   0.000000000E+000   1.491786245E-023   4.219170015E-094   2.986281236E-025 
  9.133729360E-042   6.431929738E-056   4.327000000E+001   4.327000000E+001   4.327000000E+001   2.135433466E-021  -3.515488698E-023   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000  -0.000000000E+000  -6.549606796E-026  -1.614304614E-022   1.768392867E-021   5.484094565E-022   0.000000000E+000   1.491786245E-023   4.219423161E-094   2.986281236E-025 
  8.524814069E-041   6.003134422E-055   4.327000000E+001   4.327000000E+001   4.327000000E+001   2.135433466E-021  -3.515488698E-023   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000  -0.000000000E+000  -6.549606796E-026  -1.614304614E-022   1.768392867E-021   5.484094565E-022   0.000000000E+000   1.491786245E-023   4.221954778E-094   2.986281236E-025 
  2.999615514E-040   2.112315295E-054   4.327000000E+001   4.327000000E+001   4.327000000E+001   2.135433466E-021  -3.515488698E-023   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000  -0.000000000E+000  -6.549606796E-026  -1.614304614E-022   1.768392867E-021   5.484094565E-022   0.000000000E+000   1.491786245E-023   4.229099050E-094   2.986281236E-025 
  7.433972944E-040   5.234969175E-054   4.327000000E+001   4.327000000E+001   4.327000000E+001   2.135433466E-021  -3.515488698E-023   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000  -0.000000000E+000  -6.549606796E-026  -1.614304614E-022   1.768392867E-021   5.484094565E-022   0.000000000E+000   1.491786245E-023   4.243866775E-094   2.986281236E-025 
  1.570725736E-039   1.106097758E-053   4.327000000E+001   4.327000000E+001   4.327000000E+001   2.135433466E-021  -3.515488698E-023   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000  -0.000000000E+000  -6.549606796E-026  -1.614304614E-022   1.768392867E-021   5.484094565E-022   0.000000000E+000   1.491786245E-023   4.271465722E-094   2.986281236E-025 
  3.145646516E-039   2.215149648E-053   4.327000000E+001   4.327000000E+001   4.327000000E+001   2.135433466E-021  -3.515488698E-023   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000  -0.000000000E+000  -6.549606796E-026  -1.614304614E-022   1.768392867E-021   5.484094565E-022   0.000000000E+000   1.491786245E-023   4.324169948E-094   2.986281236E-025 
  7.556885690E-039   5.321523759E-053   4.327000000E+001   4.327000000E+001   4.327000000E+001   2.135433466E-021  -3.515488698E-023   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000  -0.000000000E+000  -6.549606796E-026  -1.614304614E-022   1.768392867E-021   5.484094565E-022   0.000000000E+000   1.491786245E-023   4.472960791E-094   2.986281236E-025 
  9.870224447E-039   6.950566153E-053   4.327000000E+001   4.327000000E+001   4.327000000E+001   2.135433466E-021  -3.515488698E-023   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000  -0.000000000E+000  -6.549606796E-026  -1.614304614E-022   1.768392867E-021   5.484094565E-022   0.000000000E+000   1.491786245E-023   4.551650313E-094   2.986281236E-025 
