    V   J   Energy(K)   log(N/g)
    0     0   0.000000E+000   5.634670E+001 
    0     1   1.705020E+002   5.267065E+001 
    0     2   5.098500E+002   4.455983E+001 
    0     3   1.015153E+003   4.315064E+001 
    0     4   1.681678E+003   4.175695E+001 
    0     5   2.503870E+003   4.038976E+001 
    0     6   3.474434E+003   3.904793E+001 
    0     7   4.586377E+003   3.774940E+001 
    0     8   5.829758E+003   3.663062E+001 
    1     0   5.987124E+003   3.592373E+001 
    1     1   6.149208E+003   3.565630E+001 
    1     2   6.471607E+003   3.537744E+001 
    1     3   6.951587E+003   3.492514E+001 
    0     9   7.196995E+003   3.571933E+001 
    1     4   7.584601E+003   3.455951E+001 
    1     5   8.365297E+003   3.412945E+001 
    0    10   8.677322E+003   3.495180E+001 
    1     6   9.286624E+003   3.385591E+001 
    0    11   1.026179E+004   3.431109E+001 
    1     7   1.034152E+004   3.353239E+001 
    1     8   1.152183E+004   3.339314E+001 
    2     0   1.163573E+004   3.291263E+001 
    2     1   1.178951E+004   3.283716E+001 
    0    12   1.194031E+004   3.364714E+001 
    2     2   1.209524E+004   3.271634E+001 
    2     3   1.255050E+004   3.248358E+001 
    1     9   1.281752E+004   3.316791E+001 
    2     4   1.315072E+004   3.239599E+001 
    0    13   1.370318E+004   3.314168E+001 
    2     5   1.389070E+004   3.213062E+001 
    1    10   1.422111E+004   3.298208E+001 
    2     6   1.476414E+004   3.203183E+001 
    0    14   1.554025E+004   3.249768E+001 
    1    11   1.572229E+004   3.272494E+001 
    2     7   1.576338E+004   3.178319E+001 
    2     8   1.688055E+004   3.173457E+001 
    3     0   1.695284E+004   3.155548E+001 
    3     1   1.709837E+004   3.144748E+001 
    1    12   1.731122E+004   3.234015E+001 
    3     2   1.738779E+004   3.124775E+001 
    0    15   1.744391E+004   3.210070E+001 
    3     3   1.781869E+004   3.103415E+001 
    2     9   1.810741E+004   3.150900E+001 
    3     4   1.838652E+004   3.102127E+001 
    1    13   1.897972E+004   3.205189E+001 
    3     5   1.908649E+004   3.081337E+001 
    0    16   1.940345E+004   3.145166E+001 
    2    10   1.943491E+004   3.142131E+001 
    3     6   1.991225E+004   3.075640E+001 
    1    14   2.071785E+004   3.147958E+001 
    2    11   2.085383E+004   3.125114E+001 
    3     7   2.085653E+004   3.054880E+001 
    0    17   2.141168E+004   3.114610E+001 
    3     8   2.191171E+004   3.052431E+001 
    4     0   2.194278E+004   3.032088E+001 
    4     1   2.208004E+004   3.021257E+001 
    4     2   2.235326E+004   3.023413E+001 
    2    12   2.235535E+004   3.099716E+001 
    1    15   2.251712E+004   3.124146E+001 
    4     3   2.275983E+004   3.015991E+001 
    3     9   2.306999E+004   3.030157E+001 
    4     4   2.329564E+004   2.997773E+001 
    0    18   2.345990E+004   3.052028E+001 
    2    13   2.393080E+004   3.081721E+001 
    4     5   2.395581E+004   2.985288E+001 
    3    10   2.432262E+004   3.019505E+001 
    1    16   2.436840E+004   3.049808E+001 
    4     6   2.473404E+004   2.979934E+001 
    0    19   2.553963E+004   3.028001E+001 
