    V   J   Energy(K)   log(N/g)
    0     0   0.000000E+000   4.975813E+001 
    0     1   1.705020E+002   4.850958E+001 
    0     2   5.098500E+002   4.238835E+001 
    0     3   1.015153E+003   4.170365E+001 
    0     4   1.681678E+003   4.105701E+001 
    0     5   2.503870E+003   4.032671E+001 
    0     6   3.474434E+003   3.942942E+001 
    0     7   4.586377E+003   3.834836E+001 
    0     8   5.829758E+003   3.721077E+001 
    1     0   5.987124E+003   3.518335E+001 
    1     1   6.149208E+003   3.496869E+001 
    1     2   6.471607E+003   3.492882E+001 
    1     3   6.951587E+003   3.461506E+001 
    0     9   7.196995E+003   3.580805E+001 
    1     4   7.584601E+003   3.442339E+001 
    1     5   8.365297E+003   3.402962E+001 
    0    10   8.677322E+003   3.464278E+001 
    1     6   9.286624E+003   3.374507E+001 
    0    11   1.026179E+004   3.303585E+001 
    1     7   1.034152E+004   3.326189E+001 
    1     8   1.152183E+004   3.291432E+001 
    2     0   1.163573E+004   3.293359E+001 
    2     1   1.178951E+004   3.270736E+001 
    0    12   1.194031E+004   3.221678E+001 
    2     2   1.209524E+004   3.272335E+001 
    2     3   1.255050E+004   3.239132E+001 
    1     9   1.281752E+004   3.230398E+001 
    2     4   1.315072E+004   3.231227E+001 
    0    13   1.370318E+004   3.064932E+001 
    2     5   1.389070E+004   3.193169E+001 
    1    10   1.422111E+004   3.189585E+001 
    2     6   1.476414E+004   3.172248E+001 
    0    14   1.554025E+004   3.023841E+001 
    1    11   1.572229E+004   3.111656E+001 
    2     7   1.576338E+004   3.127794E+001 
    2     8   1.688055E+004   3.100061E+001 
    3     0   1.695284E+004   3.126268E+001 
    3     1   1.709837E+004   3.108247E+001 
    1    12   1.731122E+004   3.066527E+001 
    3     2   1.738779E+004   3.109832E+001 
    0    15   1.744391E+004   2.876668E+001 
    3     3   1.781869E+004   3.082085E+001 
    2     9   1.810741E+004   3.049837E+001 
    3     4   1.838652E+004   3.074282E+001 
    1    13   1.897972E+004   2.975562E+001 
    3     5   1.908649E+004   3.041477E+001 
    0    16   1.940345E+004   2.853834E+001 
    2    10   1.943491E+004   3.013337E+001 
    3     6   1.991225E+004   3.018858E+001 
    1    14   2.071785E+004   2.918177E+001 
    2    11   2.085383E+004   2.953355E+001 
    3     7   2.085653E+004   2.976699E+001 
    0    17   2.141168E+004   2.712768E+001 
    3     8   2.191171E+004   2.943382E+001 
    4     0   2.194278E+004   2.973506E+001 
    4     1   2.208004E+004   2.964454E+001 
    4     2   2.235326E+004   2.957935E+001 
    2    12   2.235535E+004   2.909068E+001 
    1    15   2.251712E+004   2.819452E+001 
    4     3   2.275983E+004   2.937290E+001 
    3     9   2.306999E+004   2.893386E+001 
    4     4   2.329564E+004   2.921089E+001 
    0    18   2.345990E+004   2.694191E+001 
    2    13   2.393080E+004   2.838024E+001 
    4     5   2.395581E+004   2.896278E+001 
    3    10   2.432262E+004   2.833568E+001 
    1    16   2.436840E+004   2.751302E+001 
    4     6   2.473404E+004   2.852474E+001 
    0    19   2.553963E+004   2.576079E+001 
    2    14   2.557053E+004   2.771449E+001 
    4     7   2.562381E+004   2.816303E+001 
    3    11   2.565988E+004   2.779166E+001 
    1    17   2.626369E+004   2.651009E+001 
    5     0   2.660677E+004   2.789276E+001 
    4     8   2.661704E+004   2.769072E+001 
    5     1   2.673596E+004   2.782667E+001 
    5     2   2.699289E+004   2.772449E+001 
    3    12   2.707418E+004   2.726147E+001 
    2    15   2.726625E+004   2.686836E+001 
    5     3   2.737523E+004   2.754683E+001 
    0    20   2.764451E+004   2.559984E+001 
    4     9   2.770677E+004   2.725901E+001 
    5     4   2.787879E+004   2.731751E+001 
    1    18   2.819486E+004   2.596852E+001 
    5     5   2.849899E+004   2.708009E+001 
    3    13   2.855661E+004   2.664332E+001 
    4    10   2.888376E+004   2.625796E+001 
    2    16   2.900940E+004   2.610814E+001 
    5     6   2.922954E+004   2.628800E+001 
    0    21   2.976661E+004   2.472981E+001 
    5     7   3.006431E+004   2.593655E+001 
    3    14   3.009785E+004   2.598283E+001 
    4    11   3.013990E+004   2.574269E+001 
    1    19   3.015462E+004   2.516690E+001 
    2    17   3.079235E+004   2.523461E+001 
    6     0   3.094320E+004   2.539418E+001 
    5     8   3.099552E+004   2.531433E+001 
    6     1   3.106412E+004   2.528488E+001 
    6     2   3.130464E+004   2.519756E+001 
    4    12   3.146651E+004   2.526700E+001 
    6     3   3.166233E+004   2.500115E+001 
    3    15   3.169026E+004   2.533327E+001 
    0    22   3.190031E+004   2.421858E+001 
    5     9   3.201575E+004   2.486656E+001 
    6     4   3.213322E+004   2.478732E+001 
    1    20   3.213454E+004   2.465124E+001 
    2    18   3.260639E+004   2.466943E+001 
    6     5   3.271272E+004   2.491061E+001 
    4    13   3.285516E+004   2.477671E+001 
    5    10   3.311646E+004   2.452863E+001 
    3    16   3.332489E+004   2.492565E+001 
    6     6   3.339496E+004   2.402215E+001 
    0    23   3.403759E+004   2.382776E+001 
    1    21   3.412953E+004   2.427027E+001 
    6     7   3.417362E+004   2.394112E+001 
    5    11   3.428978E+004   2.426079E+001 
    4    14   3.429681E+004   2.458258E+001 
    2    19   3.444505E+004   2.395631E+001 
    7     0   3.494622E+004   2.541220E+001 
    3    17   3.499413E+004   2.447626E+001 
    6     8   3.504117E+004   2.378759E+001 
    7     1   3.505878E+004   2.368163E+001 
    7     2   3.528236E+004   2.362874E+001 
    5    12   3.552731E+004   2.407580E+001 
    7     3   3.561473E+004   2.342554E+001 
    4    15   3.578419E+004   2.429476E+001 
    6     9   3.599047E+004   2.375437E+001 
    7     4   3.605189E+004   2.344748E+001 
    1    22   3.613139E+004   2.340724E+001 
    0    24   3.617459E+004   2.250378E+001 
    2    20   3.629979E+004   2.354673E+001 
    7     5   3.658964E+004   2.332093E+001 
    3    18   3.668984E+004   2.378089E+001 
    5    13   3.682003E+004   2.379168E+001 
    6    10   3.701302E+004   2.354558E+001 
    7     6   3.722192E+004   2.310513E+001 
    4    16   3.730808E+004   2.369454E+001 
    7     7   3.794263E+004   2.311516E+001 
    6    11   3.810113E+004   2.347330E+001 
    1    23   3.813447E+004   2.304601E+001 
    5    14   3.815979E+004   2.372835E+001 
    2    21   3.816475E+004   2.329029E+001 
    0    25   3.830484E+004   2.266961E+001 
    3    19   3.840503E+004   2.272838E+001 
    8     0   3.860553E+004   2.286722E+001 
    8     1   3.870915E+004   2.304241E+001 
    7     8   3.874438E+004   2.230790E+001 
    4    17   3.886111E+004   2.353485E+001 
    8     2   3.891514E+004   2.289313E+001 
    8     3   3.922109E+004   2.240445E+001 
