    V   J   Energy(K)   log(N/g)
    0     0   0.000000E+000   5.374693E+001 
    0     1   1.705020E+002   5.156273E+001 
    0     2   5.098500E+002   4.329399E+001 
    0     3   1.015153E+003   4.207740E+001 
    0     4   1.681678E+003   4.143692E+001 
    0     5   2.503870E+003   4.077410E+001 
    0     6   3.474434E+003   3.999588E+001 
    0     7   4.586377E+003   3.905274E+001 
    0     8   5.829758E+003   3.791473E+001 
    1     0   5.987124E+003   3.501751E+001 
    1     1   6.149208E+003   3.479140E+001 
    1     2   6.471607E+003   3.474981E+001 
    1     3   6.951587E+003   3.440543E+001 
    0     9   7.196995E+003   3.652014E+001 
    1     4   7.584601E+003   3.419374E+001 
    1     5   8.365297E+003   3.375809E+001 
    0    10   8.677322E+003   3.502578E+001 
    1     6   9.286624E+003   3.341940E+001 
    0    11   1.026179E+004   3.329699E+001 
    1     7   1.034152E+004   3.286258E+001 
    1     8   1.152183E+004   3.242536E+001 
    2     0   1.163573E+004   3.250208E+001 
    2     1   1.178951E+004   3.224057E+001 
    0    12   1.194031E+004   3.195495E+001 
    2     2   1.209524E+004   3.225830E+001 
    2     3   1.255050E+004   3.186259E+001 
    1     9   1.281752E+004   3.176358E+001 
    2     4   1.315072E+004   3.175980E+001 
    0    13   1.370318E+004   3.048153E+001 
    2     5   1.389070E+004   3.129000E+001 
    1    10   1.422111E+004   3.129141E+001 
    2     6   1.476414E+004   3.105188E+001 
    0    14   1.554025E+004   2.982583E+001 
    1    11   1.572229E+004   3.058877E+001 
    2     7   1.576338E+004   3.053991E+001 
    2     8   1.688055E+004   3.021081E+001 
    3     0   1.695284E+004   3.051762E+001 
    3     1   1.709837E+004   3.034622E+001 
    1    12   1.731122E+004   3.009632E+001 
    3     2   1.738779E+004   3.031050E+001 
    0    15   1.744391E+004   2.894779E+001 
    3     3   1.781869E+004   3.002485E+001 
    2     9   1.810741E+004   2.971678E+001 
    3     4   1.838652E+004   2.987739E+001 
    1    13   1.897972E+004   2.944419E+001 
    3     5   1.908649E+004   2.950407E+001 
    0    16   1.940345E+004   2.847014E+001 
    2    10   1.943491E+004   2.934778E+001 
    3     6   1.991225E+004   2.922225E+001 
    1    14   2.071785E+004   2.890312E+001 
    2    11   2.085383E+004   2.893000E+001 
    3     7   2.085653E+004   2.880067E+001 
    0    17   2.141168E+004   2.795082E+001 
    3     8   2.191171E+004   2.842437E+001 
    4     0   2.194278E+004   2.865221E+001 
    4     1   2.208004E+004   2.858850E+001 
    4     2   2.235326E+004   2.846104E+001 
    2    12   2.235535E+004   2.860844E+001 
    1    15   2.251712E+004   2.836266E+001 
    4     3   2.275983E+004   2.832585E+001 
    3     9   2.306999E+004   2.801770E+001 
    4     4   2.329564E+004   2.803654E+001 
    0    18   2.345990E+004   2.748783E+001 
    2    13   2.393080E+004   2.820683E+001 
    4     5   2.395581E+004   2.783116E+001 
    3    10   2.432262E+004   2.764073E+001 
    1    16   2.436840E+004   2.783391E+001 
    4     6   2.473404E+004   2.740793E+001 
    0    19   2.553963E+004   2.716081E+001 
    2    14   2.557053E+004   2.785379E+001 
    4     7   2.562381E+004   2.715852E+001 
    3    11   2.565988E+004   2.746804E+001 
    1    17   2.626369E+004   2.741453E+001 
    5     0   2.660677E+004   2.687713E+001 
    4     8   2.661704E+004   2.681962E+001 
    5     1   2.673596E+004   2.682609E+001 
    5     2   2.699289E+004   2.674967E+001 
    3    12   2.707418E+004   2.731141E+001 
    2    15   2.726625E+004   2.735800E+001 
    5     3   2.737523E+004   2.661250E+001 
    0    20   2.764451E+004   2.667053E+001 
    4     9   2.770677E+004   2.665306E+001 
    5     4   2.787879E+004   2.639098E+001 
    1    18   2.819486E+004   2.691123E+001 
    5     5   2.849899E+004   2.629345E+001 
    3    13   2.855661E+004   2.716306E+001 
    4    10   2.888376E+004   2.639714E+001 
    2    16   2.900940E+004   2.697467E+001 
    5     6   2.922954E+004   2.595258E+001 
    0    21   2.976661E+004   2.642994E+001 
    5     7   3.006431E+004   2.584139E+001 
    3    14   3.009785E+004   2.693072E+001 
    4    11   3.013990E+004   2.639517E+001 
    1    19   3.015462E+004   2.662702E+001 
    2    17   3.079235E+004   2.623893E+001 
    6     0   3.094320E+004   2.578632E+001 
    5     8   3.099552E+004   2.571118E+001 
    6     1   3.106412E+004   2.572273E+001 
    6     2   3.130464E+004   2.557103E+001 
    4    12   3.146651E+004   2.629484E+001 
    6     3   3.166233E+004   2.557478E+001 
    3    15   3.169026E+004   2.666347E+001 
    0    22   3.190031E+004   2.575501E+001 
    5     9   3.201575E+004   2.565992E+001 
    6     4   3.213322E+004   2.534211E+001 
    1    20   3.213454E+004   2.596830E+001 
    2    18   3.260639E+004   2.579819E+001 
    6     5   3.271272E+004   2.631092E+001 
    4    13   3.285516E+004   2.620514E+001 
    5    10   3.311646E+004   2.563597E+001 
    3    16   3.332489E+004   2.624528E+001 
    6     6   3.339496E+004   2.513375E+001 
    0    23   3.403759E+004   2.564372E+001 
    1    21   3.412953E+004   2.577646E+001 
    6     7   3.417362E+004   2.515158E+001 
    5    11   3.428978E+004   2.553975E+001 
    4    14   3.429681E+004   2.599718E+001 
    2    19   3.444505E+004   2.361546E+001 
    7     0   3.494622E+004   2.611457E+001 
    3    17   3.499413E+004   2.578798E+001 
    6     8   3.504117E+004   2.512692E+001 
    7     1   3.505878E+004   2.497201E+001 
    7     2   3.528236E+004   2.495079E+001 
    5    12   3.552731E+004   2.555763E+001 
    7     3   3.561473E+004   2.488420E+001 
    4    15   3.578419E+004   2.588136E+001 
    6     9   3.599047E+004   2.514810E+001 
    7     4   3.605189E+004   2.488086E+001 
    1    22   3.613139E+004   2.501944E+001 
    0    24   3.617459E+004   2.459903E+001 
    2    20   3.629979E+004   2.519865E+001 
    7     5   3.658964E+004   2.483054E+001 
    3    18   3.668984E+004   2.541614E+001 
    5    13   3.682003E+004   2.537336E+001 
    6    10   3.701302E+004   2.507745E+001 
    7     6   3.722192E+004   2.474652E+001 
    4    16   3.730808E+004   2.543793E+001 
    7     7   3.794263E+004   2.475916E+001 
    6    11   3.810113E+004   2.508547E+001 
    1    23   3.813447E+004   2.481621E+001 
    5    14   3.815979E+004   2.536011E+001 
    2    21   3.816475E+004   2.502808E+001 
    0    25   3.830484E+004   2.460352E+001 
    3    19   3.840503E+004   2.367887E+001 
    8     0   3.860553E+004   2.466233E+001 
    8     1   3.870915E+004   2.465220E+001 
    7     8   3.874438E+004   2.391693E+001 
    4    17   3.886111E+004   2.532951E+001 
    8     2   3.891514E+004   2.463129E+001 
    8     3   3.922109E+004   2.443955E+001 
