    V   J   Energy(K)   log(N/g)
    0     0   0.000000E+000   5.442287E+001 
    0     1   1.705020E+002   5.207121E+001 
    0     2   5.098500E+002   4.369038E+001 
    0     3   1.015153E+003   4.207028E+001 
    0     4   1.681678E+003   4.139964E+001 
    0     5   2.503870E+003   4.076166E+001 
    0     6   3.474434E+003   4.006598E+001 
    0     7   4.586377E+003   3.932936E+001 
    0     8   5.829758E+003   3.853286E+001 
    1     0   5.987124E+003   3.680580E+001 
    1     1   6.149208E+003   3.663923E+001 
    1     2   6.471607E+003   3.660122E+001 
    1     3   6.951587E+003   3.633717E+001 
    0     9   7.196995E+003   3.763527E+001 
    1     4   7.584601E+003   3.617849E+001 
    1     5   8.365297E+003   3.585041E+001 
    0    10   8.677322E+003   3.675704E+001 
    1     6   9.286624E+003   3.561217E+001 
    0    11   1.026179E+004   3.563420E+001 
    1     7   1.034152E+004   3.521792E+001 
    1     8   1.152183E+004   3.491129E+001 
    2     0   1.163573E+004   3.468567E+001 
    2     1   1.178951E+004   3.451670E+001 
    0    12   1.194031E+004   3.477396E+001 
    2     2   1.209524E+004   3.452402E+001 
    2     3   1.255050E+004   3.426329E+001 
    1     9   1.281752E+004   3.440256E+001 
    2     4   1.315072E+004   3.417813E+001 
    0    13   1.370318E+004   3.348998E+001 
    2     5   1.389070E+004   3.385865E+001 
    1    10   1.422111E+004   3.402156E+001 
    2     6   1.476414E+004   3.367423E+001 
    0    14   1.554025E+004   3.283139E+001 
    1    11   1.572229E+004   3.334261E+001 
    2     7   1.576338E+004   3.329798E+001 
    2     8   1.688055E+004   3.305933E+001 
    3     0   1.695284E+004   3.312999E+001 
    3     1   1.709837E+004   3.299965E+001 
    1    12   1.731122E+004   3.290791E+001 
    3     2   1.738779E+004   3.299742E+001 
    0    15   1.744391E+004   3.150382E+001 
    3     3   1.781869E+004   3.278186E+001 
    2     9   1.810741E+004   3.261977E+001 
    3     4   1.838652E+004   3.269842E+001 
    1    13   1.897972E+004   3.209724E+001 
    3     5   1.908649E+004   3.242542E+001 
    0    16   1.940345E+004   3.114748E+001 
    2    10   1.943491E+004   3.232255E+001 
    3     6   1.991225E+004   3.223693E+001 
    1    14   2.071785E+004   3.157162E+001 
    2    11   2.085383E+004   3.175531E+001 
    3     7   2.085653E+004   3.189671E+001 
    0    17   2.141168E+004   2.982432E+001 
