    V   J   Energy(K)   log(N/g)
    3     8   2.191171E+004   3.162301E+001 
    4     0   2.194278E+004   3.173360E+001 
    4     1   2.208004E+004   3.168348E+001 
    4     2   2.235326E+004   3.159457E+001 
    2    12   2.235535E+004   3.140281E+001 
    1    15   2.251712E+004   3.065342E+001 
    4     3   2.275983E+004   3.144308E+001 
    3     9   2.306999E+004   3.114708E+001 
    4     4   2.329564E+004   3.127571E+001 
    0    18   2.345990E+004   2.965626E+001 
    2    13   2.393080E+004   3.075778E+001 
    4     5   2.395581E+004   3.107703E+001 
    3    10   2.432262E+004   3.067625E+001 
    1    16   2.436840E+004   3.012825E+001 
    4     6   2.473404E+004   3.070152E+001 
    0    19   2.553963E+004   2.857920E+001 
    2    14   2.557053E+004   3.023547E+001 
    4     7   2.562381E+004   3.038580E+001 
    3    11   2.565988E+004   3.018691E+001 
    1    17   2.626369E+004   2.919571E+001 
    5     0   2.660677E+004   3.011170E+001 
    4     8   2.661704E+004   2.997933E+001 
    5     1   2.673596E+004   3.009492E+001 
    5     2   2.699289E+004   2.994778E+001 
    3    12   2.707418E+004   2.977796E+001 
    2    15   2.726625E+004   2.944890E+001 
    5     3   2.737523E+004   2.982413E+001 
    0    20   2.764451E+004   2.842161E+001 
    4     9   2.770677E+004   2.959558E+001 
    5     4   2.787879E+004   2.958151E+001 
    1    18   2.819486E+004   2.876879E+001 
    5     5   2.849899E+004   2.939369E+001 
    3    13   2.855661E+004   2.921380E+001 
    4    10   2.888376E+004   2.882627E+001 
    2    16   2.900940E+004   2.888538E+001 
    5     6   2.922954E+004   2.873737E+001 
    0    21   2.976661E+004   2.758496E+001 
    5     7   3.006431E+004   2.842440E+001 
    3    14   3.009785E+004   2.871896E+001 
    4    11   3.013990E+004   2.836405E+001 
    1    19   3.015462E+004   2.801052E+001 
    2    17   3.079235E+004   2.800702E+001 
    6     0   3.094320E+004   2.796755E+001 
    5     8   3.099552E+004   2.793085E+001 
    6     1   3.106412E+004   2.789275E+001 
    6     2   3.130464E+004   2.775120E+001 
    4    12   3.146651E+004   2.802509E+001 
    6     3   3.166233E+004   2.757933E+001 
    3    15   3.169026E+004   2.810400E+001 
    0    22   3.190031E+004   2.725105E+001 
    5     9   3.201575E+004   2.753142E+001 
    6     4   3.213322E+004   2.742228E+001 
    1    20   3.213454E+004   2.761419E+001 
    2    18   3.260639E+004   2.766565E+001 
    6     5   3.271272E+004   2.755356E+001 
    4    13   3.285516E+004   2.755534E+001 
    5    10   3.311646E+004   2.729327E+001 
    3    16   3.332489E+004   2.778193E+001 
    6     6   3.339496E+004   2.685714E+001 
    0    23   3.403759E+004   2.670008E+001 
    1    21   3.412953E+004   2.717636E+001 
    6     7   3.417362E+004   2.674040E+001 
    5    11   3.428978E+004   2.710501E+001 
    4    14   3.429681E+004   2.746148E+001 
    2    19   3.444505E+004   2.681295E+001 
    7     0   3.494622E+004   2.736007E+001 
    3    17   3.499413E+004   2.729727E+001 
    6     8   3.504117E+004   2.661373E+001 
    7     1   3.505878E+004   2.647383E+001 
    7     2   3.528236E+004   2.641278E+001 
    5    12   3.552731E+004   2.694910E+001 
    7     3   3.561473E+004   2.629577E+001 
    4    15   3.578419E+004   2.718908E+001 
    6     9   3.599047E+004   2.653041E+001 
    7     4   3.605189E+004   2.624935E+001 
    1    22   3.613139E+004   2.635285E+001 
    0    24   3.617459E+004   2.601917E+001 
    2    20   3.629979E+004   2.654584E+001 
    7     5   3.658964E+004   2.615067E+001 
    3    18   3.668984E+004   2.671035E+001 
    5    13   3.682003E+004   2.667067E+001 
    6    10   3.701302E+004   2.637534E+001 
    7     6   3.722192E+004   2.602797E+001 
    4    16   3.730808E+004   2.667511E+001 
    7     7   3.794263E+004   2.596839E+001 
    6    11   3.810113E+004   2.628218E+001 
    1    23   3.813447E+004   2.598087E+001 
    5    14   3.815979E+004   2.653554E+001 
    2    21   3.816475E+004   2.620126E+001 
    0    25   3.830484E+004   2.574031E+001 
    3    19   3.840503E+004   2.574528E+001 
    8     0   3.860553E+004   2.577379E+001 
    8     1   3.870915E+004   2.580524E+001 
    7     8   3.874438E+004   2.546194E+001 
    4    17   3.886111E+004   2.642798E+001 
    8     2   3.891514E+004   2.572839E+001 
    8     3   3.922109E+004   2.555928E+001 
