    V   J   Energy(K)   log(N/g)
    0     0   0.000000E+000   5.496943E+001 
    0     1   1.705020E+002   5.240219E+001 
    0     2   5.098500E+002   4.430237E+001 
    0     3   1.015153E+003   4.227957E+001 
    0     4   1.681678E+003   4.160725E+001 
    0     5   2.503870E+003   4.099415E+001 
    0     6   3.474434E+003   4.035010E+001 
    0     7   4.586377E+003   3.967480E+001 
    0     8   5.829758E+003   3.892012E+001 
    1     0   5.987124E+003   3.651241E+001 
    1     1   6.149208E+003   3.634215E+001 
    1     2   6.471607E+003   3.631699E+001 
    1     3   6.951587E+003   3.604810E+001 
    0     9   7.196995E+003   3.805604E+001 
    1     4   7.584601E+003   3.590639E+001 
    1     5   8.365297E+003   3.557195E+001 
    0    10   8.677322E+003   3.709380E+001 
    1     6   9.286624E+003   3.534396E+001 
    0    11   1.026179E+004   3.594274E+001 
    1     7   1.034152E+004   3.493771E+001 
    1     8   1.152183E+004   3.460848E+001 
    2     0   1.163573E+004   3.426323E+001 
    2     1   1.178951E+004   3.406816E+001 
    0    12   1.194031E+004   3.480425E+001 
    2     2   1.209524E+004   3.409286E+001 
    2     3   1.255050E+004   3.379659E+001 
    1     9   1.281752E+004   3.405985E+001 
    2     4   1.315072E+004   3.372037E+001 
    0    13   1.370318E+004   3.340719E+001 
    2     5   1.389070E+004   3.335471E+001 
    1    10   1.422111E+004   3.360965E+001 
    2     6   1.476414E+004   3.316940E+001 
    0    14   1.554025E+004   3.239297E+001 
    1    11   1.572229E+004   3.285518E+001 
    2     7   1.576338E+004   3.274657E+001 
    2     8   1.688055E+004   3.248424E+001 
    3     0   1.695284E+004   3.257651E+001 
    3     1   1.709837E+004   3.243323E+001 
    1    12   1.731122E+004   3.231828E+001 
    3     2   1.738779E+004   3.242750E+001 
    0    15   1.744391E+004   3.100732E+001 
    3     3   1.781869E+004   3.218961E+001 
    2     9   1.810741E+004   3.200656E+001 
    3     4   1.838652E+004   3.209550E+001 
    1    13   1.897972E+004   3.146962E+001 
    3     5   1.908649E+004   3.178629E+001 
    0    16   1.940345E+004   3.045678E+001 
    2    10   1.943491E+004   3.165452E+001 
    3     6   1.991225E+004   3.157563E+001 
    1    14   2.071785E+004   3.083541E+001 
    2    11   2.085383E+004   3.105023E+001 
    3     7   2.085653E+004   3.120457E+001 
    0    17   2.141168E+004   2.934083E+001 
    3     8   2.191171E+004   3.088198E+001 
    4     0   2.194278E+004   3.100078E+001 
    4     1   2.208004E+004   3.095196E+001 
    4     2   2.235326E+004   3.083793E+001 
    2    12   2.235535E+004   3.063705E+001 
    1    15   2.251712E+004   3.000319E+001 
    4     3   2.275983E+004   3.068232E+001 
    3     9   2.306999E+004   3.034068E+001 
    4     4   2.329564E+004   3.047025E+001 
    0    18   2.345990E+004   2.902136E+001 
    2    13   2.393080E+004   3.002395E+001 
    4     5   2.395581E+004   3.024617E+001 
    3    10   2.432262E+004   2.980672E+001 
    1    16   2.436840E+004   2.942516E+001 
    4     6   2.473404E+004   2.983196E+001 
    0    19   2.553963E+004   2.833979E+001 
