    V   J   Energy(K)   log(N/g)
    0     0   0.000000E+000   5.388128E+001 
    0     1   1.705020E+002   5.165634E+001 
    0     2   5.098500E+002   4.346390E+001 
    0     3   1.015153E+003   4.214074E+001 
    0     4   1.681678E+003   4.148719E+001 
    0     5   2.503870E+003   4.080375E+001 
    0     6   3.474434E+003   3.999079E+001 
    0     7   4.586377E+003   3.898495E+001 
    0     8   5.829758E+003   3.774167E+001 
    1     0   5.987124E+003   3.453208E+001 
    1     1   6.149208E+003   3.429032E+001 
    1     2   6.471607E+003   3.423921E+001 
    1     3   6.951587E+003   3.386835E+001 
    0     9   7.196995E+003   3.621569E+001 
    1     4   7.584601E+003   3.362871E+001 
    1     5   8.365297E+003   3.315709E+001 
    0    10   8.677322E+003   3.454819E+001 
    1     6   9.286624E+003   3.277612E+001 
    0    11   1.026179E+004   3.272490E+001 
    1     7   1.034152E+004   3.218394E+001 
    1     8   1.152183E+004   3.173074E+001 
    2     0   1.163573E+004   3.185262E+001 
    2     1   1.178951E+004   3.157540E+001 
    0    12   1.194031E+004   3.133779E+001 
    2     2   1.209524E+004   3.158259E+001 
    2     3   1.255050E+004   3.115807E+001 
    1     9   1.281752E+004   3.111972E+001 
    2     4   1.315072E+004   3.103234E+001 
    0    13   1.370318E+004   3.012365E+001 
    2     5   1.389070E+004   3.053369E+001 
    1    10   1.422111E+004   3.070898E+001 
    2     6   1.476414E+004   3.027916E+001 
    0    14   1.554025E+004   2.949745E+001 
    1    11   1.572229E+004   3.017567E+001 
    2     7   1.576338E+004   2.977888E+001 
    2     8   1.688055E+004   2.947448E+001 
    3     0   1.695284E+004   2.973595E+001 
    3     1   1.709837E+004   2.958223E+001 
    1    12   1.731122E+004   2.975568E+001 
    3     2   1.738779E+004   2.950905E+001 
    0    15   1.744391E+004   2.888295E+001 
    3     3   1.781869E+004   2.924205E+001 
    2     9   1.810741E+004   2.910459E+001 
    3     4   1.838652E+004   2.905702E+001 
    1    13   1.897972E+004   2.927389E+001 
    3     5   1.908649E+004   2.871210E+001 
    0    16   1.940345E+004   2.838787E+001 
    2    10   1.943491E+004   2.887055E+001 
    3     6   1.991225E+004   2.842889E+001 
    1    14   2.071785E+004   2.879770E+001 
    2    11   2.085383E+004   2.864209E+001 
    3     7   2.085653E+004   2.809107E+001 
    0    17   2.141168E+004   2.799948E+001 
    3     8   2.191171E+004   2.781717E+001 
    4     0   2.194278E+004   2.790236E+001 
    4     1   2.208004E+004   2.785513E+001 
    4     2   2.235326E+004   2.772483E+001 
    2    12   2.235535E+004   2.845868E+001 
    1    15   2.251712E+004   2.835900E+001 
    4     3   2.275983E+004   2.769286E+001 
    3     9   2.306999E+004   2.761054E+001 
    4     4   2.329564E+004   2.735839E+001 
    0    18   2.345990E+004   2.752679E+001 
    2    13   2.393080E+004   2.815469E+001 
    4     5   2.395581E+004   2.725888E+001 
    3    10   2.432262E+004   2.744332E+001 
    1    16   2.436840E+004   2.786812E+001 
    4     6   2.473404E+004   2.692181E+001 
    0    19   2.553963E+004   2.724169E+001 
    2    14   2.557053E+004   2.788067E+001 
    4     7   2.562381E+004   2.679834E+001 
