    V   J   Energy(K)   log(N/g)
    0     0   0.000000E+000   5.322027E+001 
    0     1   1.705020E+002   5.115509E+001 
    0     2   5.098500E+002   4.293830E+001 
    0     3   1.015153E+003   4.206984E+001 
    0     4   1.681678E+003   4.142528E+001 
    0     5   2.503870E+003   4.069905E+001 
    0     6   3.474434E+003   3.977981E+001 
    0     7   4.586377E+003   3.860702E+001 
    0     8   5.829758E+003   3.719296E+001 
    1     0   5.987124E+003   3.444932E+001 
    1     1   6.149208E+003   3.419183E+001 
    1     2   6.471607E+003   3.413194E+001 
    1     3   6.951587E+003   3.374335E+001 
    0     9   7.196995E+003   3.547019E+001 
    1     4   7.584601E+003   3.347823E+001 
    1     5   8.365297E+003   3.297693E+001 
    0    10   8.677322E+003   3.378058E+001 
    1     6   9.286624E+003   3.257323E+001 
    0    11   1.026179E+004   3.192901E+001 
    1     7   1.034152E+004   3.195371E+001 
    1     8   1.152183E+004   3.149480E+001 
    2     0   1.163573E+004   3.177040E+001 
    2     1   1.178951E+004   3.147616E+001 
    0    12   1.194031E+004   3.083469E+001 
    2     2   1.209524E+004   3.147897E+001 
    2     3   1.255050E+004   3.103433E+001 
    1     9   1.281752E+004   3.084074E+001 
    2     4   1.315072E+004   3.090832E+001 
    0    13   1.370318E+004   2.963885E+001 
    2     5   1.389070E+004   3.039436E+001 
    1    10   1.422111E+004   3.039486E+001 
    2     6   1.476414E+004   3.013235E+001 
    0    14   1.554025E+004   2.905010E+001 
    1    11   1.572229E+004   2.979016E+001 
    2     7   1.576338E+004   2.959873E+001 
    2     8   1.688055E+004   2.925609E+001 
    3     0   1.695284E+004   2.960965E+001 
    3     1   1.709837E+004   2.942944E+001 
    1    12   1.731122E+004   2.932928E+001 
    3     2   1.738779E+004   2.937040E+001 
    0    15   1.744391E+004   2.838215E+001 
    3     3   1.781869E+004   2.907960E+001 
    2     9   1.810741E+004   2.881049E+001 
    3     4   1.838652E+004   2.889281E+001 
    1    13   1.897972E+004   2.879888E+001 
    3     5   1.908649E+004   2.851612E+001 
    0    16   1.940345E+004   2.787246E+001 
    2    10   1.943491E+004   2.849518E+001 
    3     6   1.991225E+004   2.820730E+001 
    1    14   2.071785E+004   2.828557E+001 
    2    11   2.085383E+004   2.819941E+001 
    3     7   2.085653E+004   2.781732E+001 
    0    17   2.141168E+004   2.747738E+001 
    3     8   2.191171E+004   2.747710E+001 
    4     0   2.194278E+004   2.765991E+001 
    4     1   2.208004E+004   2.758931E+001 
    4     2   2.235326E+004   2.746951E+001 
    2    12   2.235535E+004   2.795197E+001 
    1    15   2.251712E+004   2.783448E+001 
    4     3   2.275983E+004   2.740021E+001 
    3     9   2.306999E+004   2.719685E+001 
    4     4   2.329564E+004   2.705402E+001 
    0    18   2.345990E+004   2.697909E+001 
    2    13   2.393080E+004   2.763211E+001 
    4     5   2.395581E+004   2.692073E+001 
    3    10   2.432262E+004   2.696176E+001 
    1    16   2.436840E+004   2.731845E+001 
    4     6   2.473404E+004   2.652144E+001 
    0    19   2.553963E+004   2.671628E+001 
    2    14   2.557053E+004   2.731096E+001 
    4     7   2.562381E+004   2.637383E+001 
    3    11   2.565988E+004   2.689040E+001 
    1    17   2.626369E+004   2.694620E+001 
    5     0   2.660677E+004   2.614910E+001 
    4     8   2.661704E+004   2.612311E+001 
    5     1   2.673596E+004   2.609029E+001 
    5     2   2.699289E+004   2.607715E+001 
    3    12   2.707418E+004   2.678939E+001 
    2    15   2.726625E+004   2.685890E+001 
    5     3   2.737523E+004   2.592645E+001 
    0    20   2.764451E+004   2.618251E+001 
    4     9   2.770677E+004   2.604826E+001 
    5     4   2.787879E+004   2.572273E+001 
    1    18   2.819486E+004   2.643499E+001 
    5     5   2.849899E+004   2.567504E+001 
    3    13   2.855661E+004   2.667958E+001 
    4    10   2.888376E+004   2.589656E+001 
    2    16   2.900940E+004   2.644466E+001 
    5     6   2.922954E+004   2.539137E+001 
    0    21   2.976661E+004   2.599488E+001 
    5     7   3.006431E+004   2.533138E+001 
    3    14   3.009785E+004   2.645273E+001 
    4    11   3.013990E+004   2.592342E+001 
    1    19   3.015462E+004   2.617751E+001 
    2    17   3.079235E+004   2.573880E+001 
    6     0   3.094320E+004   2.531223E+001 
    5     8   3.099552E+004   2.522410E+001 
    6     1   3.106412E+004   2.523932E+001 
    6     2   3.130464E+004   2.510900E+001 
    4    12   3.146651E+004   2.582923E+001 
    6     3   3.166233E+004   2.512090E+001 
    3    15   3.169026E+004   2.619742E+001 
    0    22   3.190031E+004   2.520364E+001 
    5     9   3.201575E+004   2.519669E+001 
    6     4   3.213322E+004   2.487969E+001 
    1    20   3.213454E+004   2.549500E+001 
    2    18   3.260639E+004   2.514442E+001 
    6     5   3.271272E+004   2.598235E+001 
    4    13   3.285516E+004   2.575050E+001 
    5    10   3.311646E+004   2.518015E+001 
    3    16   3.332489E+004   2.577023E+001 
    6     6   3.339496E+004   2.466246E+001 
    0    23   3.403759E+004   2.521201E+001 
    1    21   3.412953E+004   2.533011E+001 
    6     7   3.417362E+004   2.469678E+001 
    5    11   3.428978E+004   2.504924E+001 
    4    14   3.429681E+004   2.551654E+001 
    2    19   3.444505E+004   2.262040E+001 
    7     0   3.494622E+004   2.588806E+001 
    3    17   3.499413E+004   2.530417E+001 
    6     8   3.504117E+004   2.467043E+001 
    7     1   3.505878E+004   2.452404E+001 
    7     2   3.528236E+004   2.450844E+001 
    5    12   3.552731E+004   2.509395E+001 
    7     3   3.561473E+004   2.442949E+001 
    4    15   3.578419E+004   2.541036E+001 
    6     9   3.599047E+004   2.470139E+001 
    7     4   3.605189E+004   2.444075E+001 
    1    22   3.613139E+004   2.457471E+001 
    0    24   3.617459E+004   2.382319E+001 
    2    20   3.629979E+004   2.473020E+001 
    7     5   3.658964E+004   2.438327E+001 
    3    18   3.668984E+004   2.495489E+001 
    5    13   3.682003E+004   2.490852E+001 
    6    10   3.701302E+004   2.462641E+001 
    7     6   3.722192E+004   2.427690E+001 
    4    16   3.730808E+004   2.496265E+001 
    7     7   3.794263E+004   2.430678E+001 
    6    11   3.810113E+004   2.463930E+001 
    1    23   3.813447E+004   2.437201E+001 
    5    14   3.815979E+004   2.491356E+001 
    2    21   3.816475E+004   2.458172E+001 
    0    25   3.830484E+004   2.414914E+001 
    3    19   3.840503E+004   2.277230E+001 
    8     0   3.860553E+004   2.421929E+001 
    8     1   3.870915E+004   2.420884E+001 
    7     8   3.874438E+004   2.314622E+001 
    4    17   3.886111E+004   2.487683E+001 
    8     2   3.891514E+004   2.418664E+001 
    8     3   3.922109E+004   2.391322E+001 
