#     Vn (<jump)        Vi (<jump)        Vn (>jump)        Vi (>jump)  
    4.312791E+06      8.608788E+05      1.167608E+06      8.608788E+05
    4.306858E+06      8.593940E+05      1.166302E+06      8.593940E+05
    4.300932E+06      8.579184E+05      1.164998E+06      8.579184E+05
    4.295010E+06      8.564520E+05      1.163696E+06      8.564520E+05
    4.289095E+06      8.549946E+05      1.162396E+06      8.549946E+05
    4.283185E+06      8.535463E+05      1.161098E+06      8.535463E+05
    4.277282E+06      8.521069E+05      1.159803E+06      8.521069E+05
    4.271384E+06      8.506764E+05      1.158509E+06      8.506764E+05
    4.265493E+06      8.492547E+05      1.157217E+06      8.492547E+05
    4.259607E+06      8.478416E+05      1.155928E+06      8.478416E+05
    4.253727E+06      8.464372E+05      1.154640E+06      8.464372E+05
    4.247854E+06      8.450414E+05      1.153355E+06      8.450414E+05
    4.241986E+06      8.436540E+05      1.152072E+06      8.436540E+05
    4.236125E+06      8.422750E+05      1.150791E+06      8.422750E+05
    4.230270E+06      8.409044E+05      1.149512E+06      8.409044E+05
    4.224421E+06      8.395421E+05      1.148235E+06      8.395421E+05
    4.218578E+06      8.381879E+05      1.146960E+06      8.381879E+05
    4.212741E+06      8.368419E+05      1.145688E+06      8.368419E+05
    4.206911E+06      8.355039E+05      1.144417E+06      8.355039E+05
    4.201086E+06      8.341739E+05      1.143149E+06      8.341739E+05
    4.195268E+06      8.328518E+05      1.141884E+06      8.328518E+05
    4.189457E+06      8.315375E+05      1.140620E+06      8.315375E+05
    4.183651E+06      8.302311E+05      1.139358E+06      8.302311E+05
    4.177852E+06      8.289323E+05      1.138099E+06      8.289323E+05
    4.172059E+06      8.276412E+05      1.136842E+06      8.276412E+05
    4.166273E+06      8.263576E+05      1.135587E+06      8.263576E+05
    4.160493E+06      8.250816E+05      1.134335E+06      8.250816E+05
    4.154719E+06      8.238130E+05      1.133085E+06      8.238130E+05
    4.148951E+06      8.225518E+05      1.131837E+06      8.225518E+05
    4.143190E+06      8.212980E+05      1.130591E+06      8.212980E+05
    4.137435E+06      8.200513E+05      1.129348E+06      8.200513E+05
    4.131687E+06      8.188119E+05      1.128107E+06      8.188119E+05
    4.125945E+06      8.175796E+05      1.126868E+06      8.175796E+05
    4.120209E+06      8.163544E+05      1.125631E+06      8.163544E+05
    4.114479E+06      8.151361E+05      1.124397E+06      8.151361E+05
    4.108756E+06      8.139248E+05      1.123165E+06      8.139248E+05
    4.103039E+06      8.127204E+05      1.121936E+06      8.127204E+05
    4.097328E+06      8.115229E+05      1.120709E+06      8.115229E+05
    4.091624E+06      8.103321E+05      1.119484E+06      8.103321E+05
