    V   J   Energy(K)   log(N/g)
    0     0   0.000000E+000   4.276694E+001 
    0     1   1.705020E+002   4.173033E+001 
    0     2   5.098500E+002   3.901982E+001 
    0     3   1.015153E+003   3.853726E+001 
    0     4   1.681678E+003   3.813665E+001 
    0     5   2.503870E+003   3.784689E+001 
    0     6   3.474434E+003   3.754374E+001 
    0     7   4.586377E+003   3.728879E+001 
    0     8   5.829758E+003   3.697854E+001 
    1     0   5.987124E+003   3.639038E+001 
    1     1   6.149208E+003   3.638026E+001 
    1     2   6.471607E+003   3.632183E+001 
    1     3   6.951587E+003   3.626646E+001 
    0     9   7.196995E+003   3.670282E+001 
    1     4   7.584601E+003   3.616374E+001 
    1     5   8.365297E+003   3.606413E+001 
    0    10   8.677322E+003   3.636128E+001 
    1     6   9.286624E+003   3.591878E+001 
    0    11   1.026179E+004   3.602753E+001 
    1     7   1.034152E+004   3.577713E+001 
    1     8   1.152183E+004   3.559230E+001 
    2     0   1.163573E+004   3.546186E+001 
    2     1   1.178951E+004   3.545136E+001 
    0    12   1.194031E+004   3.567493E+001 
    2     2   1.209524E+004   3.539571E+001 
    2     3   1.255050E+004   3.534187E+001 
    1     9   1.281752E+004   3.540515E+001 
    2     4   1.315072E+004   3.524199E+001 
    0    13   1.370318E+004   3.530801E+001 
    2     5   1.389070E+004   3.514754E+001 
    1    10   1.422111E+004   3.518009E+001 
    2     6   1.476414E+004   3.500643E+001 
    0    14   1.554025E+004   3.495375E+001 
    1    11   1.572229E+004   3.493867E+001 
    2     7   1.576338E+004   3.487138E+001 
    2     8   1.688055E+004   3.469772E+001 
    3     0   1.695284E+004   3.464441E+001 
    3     1   1.709837E+004   3.463448E+001 
    1    12   1.731122E+004   3.468159E+001 
    3     2   1.738779E+004   3.458062E+001 
    0    15   1.744391E+004   3.454145E+001 
    3     3   1.781869E+004   3.452821E+001 
    2     9   1.810741E+004   3.452035E+001 
    3     4   1.838652E+004   3.443093E+001 
    1    13   1.897972E+004   3.439749E+001 
    3     5   1.908649E+004   3.434127E+001 
    0    16   1.940345E+004   3.423786E+001 
    2    10   1.943491E+004   3.431978E+001 
    3     6   1.991225E+004   3.420580E+001 
    1    14   2.071785E+004   3.408953E+001 
    2    11   2.085383E+004   3.406589E+001 
    3     7   2.085653E+004   3.407898E+001 
    0    17   2.141168E+004   3.373206E+001 
    3     8   2.191171E+004   3.391123E+001 
    4     0   2.194278E+004   3.386873E+001 
    4     1   2.208004E+004   3.386388E+001 
    4     2   2.235326E+004   3.380133E+001 
    2    12   2.235535E+004   3.384267E+001 
    1    15   2.251712E+004   3.373510E+001 
    4     3   2.275983E+004   3.374721E+001 
    3     9   2.306999E+004   3.370609E+001 
    4     4   2.329564E+004   3.364848E+001 
    0    18   2.345990E+004   3.348727E+001 
    2    13   2.393080E+004   3.356796E+001 
    4     5   2.395581E+004   3.356395E+001 
    3    10   2.432262E+004   3.349356E+001 
    1    16   2.436840E+004   3.345864E+001 
    4     6   2.473404E+004   3.340471E+001 
    0    19   2.553963E+004   3.296936E+001 
    2    14   2.557053E+004   3.330639E+001 
    4     7   2.562381E+004   3.326125E+001 
    3    11   2.565988E+004   3.327114E+001 
    1    17   2.626369E+004   3.304872E+001 
    5     0   2.660677E+004   3.307902E+001 
    4     8   2.661704E+004   3.307176E+001 
    5     1   2.673596E+004   3.308183E+001 
    5     2   2.699289E+004   3.299911E+001 
    3    12   2.707418E+004   3.303592E+001 
    2    15   2.726625E+004   3.297254E+001 
    5     3   2.737523E+004   3.294368E+001 
    0    20   2.764451E+004   3.276108E+001 
    4     9   2.770677E+004   3.288937E+001 
    5     4   2.787879E+004   3.282665E+001 
    1    18   2.819486E+004   3.277579E+001 
    5     5   2.849899E+004   3.272921E+001 
    3    13   2.855661E+004   3.275510E+001 
    4    10   2.888376E+004   3.264357E+001 
    2    16   2.900940E+004   3.268542E+001 
    5     6   2.922954E+004   3.254103E+001 
    0    21   2.976661E+004   3.221082E+001 
    5     7   3.006431E+004   3.237530E+001 
    3    14   3.009785E+004   3.249056E+001 
    4    11   3.013990E+004   3.240445E+001 
    1    19   3.015462E+004   3.233396E+001 
    2    17   3.079235E+004   3.230083E+001 
    6     0   3.094320E+004   3.219286E+001 
    5     8   3.099552E+004   3.220181E+001 
    6     1   3.106412E+004   3.216031E+001 
    6     2   3.130464E+004   3.210139E+001 
    4    12   3.146651E+004   3.219117E+001 
    6     3   3.166233E+004   3.200003E+001 
    3    15   3.169026E+004   3.214578E+001 
