          distance              timeN                 Tn               Mass          Mass_cons         Moment_kin         Moment_the         Moment_mag         Moment_vis             Moment           Mom_cons         Energy_kin         Energy_the         Energy_int         Energy_mag         Energy_vis             Energy         Energ_gain         Energ_cons          Energ_pho          magn_corr 
  2.000000000E-006   1.584439536E-020   5.452000000E+001   9.384212511E-015   0.000000000E+000   3.753684386E-008   4.601310258E-012   3.582777384E-010   0.000000000E+000   3.789972291E-008   0.000000000E+000   7.507367535E-002   4.601310046E-005   3.454891787E-005   2.865505352E-003   0.000000000E+000   7.801974272E-002   8.753310081E-029   1.121935266E-027   1.094195658E-003   0.000000000E+000 
  4.000000000E-006   3.168879072E-020   5.452000000E+001   9.384212511E-015   0.000000000E+000   3.753684386E-008   4.601310258E-012   3.582777384E-010   0.000000000E+000   3.789972291E-008   0.000000000E+000   7.507367535E-002   4.601310046E-005   3.454891787E-005   2.865505352E-003   0.000000000E+000   7.801974272E-002   2.625993024E-028   3.365805798E-027   1.094195658E-003   0.000000000E+000 
  2.400000000E-005   1.901327443E-019   5.452000000E+001   9.384212511E-015   0.000000000E+000   3.753684386E-008   4.601310258E-012   3.582777384E-010   0.000000000E+000   3.789972291E-008   0.000000000E+000   7.507367535E-002   4.601310046E-005   3.454891787E-005   2.865505352E-003   0.000000000E+000   7.801974272E-002   2.013261319E-027   2.580451112E-026   1.094195658E-003   0.000000000E+000 
  2.240000000E-004   1.774572281E-018   5.452000000E+001   9.384212511E-015   0.000000000E+000   3.753684386E-008   4.601310258E-012   3.582777384E-010   0.000000000E+000   3.789972291E-008   0.000000000E+000   7.507367535E-002   4.601310046E-005   3.454891787E-005   2.865505352E-003   0.000000000E+000   7.801974272E-002   1.951988148E-026   2.501915643E-025   1.094195658E-003   0.000000000E+000 
  1.130816564E-003   8.958552364E-018   5.452000000E+001   9.384212511E-015   0.000000000E+000   3.753684386E-008   4.601310258E-012   3.582777384E-010   0.000000000E+000   3.789972291E-008   0.000000000E+000   7.507367535E-002   4.601310046E-005   3.454891787E-005   2.865505352E-003   0.000000000E+000   7.801974272E-002   9.889634722E-026   1.267581048E-024   1.094195658E-003   0.000000000E+000 
  3.309966217E-003   2.622220669E-017   5.452000000E+001   9.384212511E-015   0.000000000E+000   3.753684386E-008   4.601310258E-012   3.582777384E-010   0.000000000E+000   3.789972291E-008   0.000000000E+000   7.507367535E-002   4.601310046E-005   3.454891787E-005   2.865505352E-003   0.000000000E+000   7.801974272E-002   2.896440734E-025   3.712445893E-024   1.094195658E-003   0.000000000E+000 
  7.583037382E-003   6.007432116E-017   5.452000000E+001   9.384212511E-015   0.000000000E+000   3.753684386E-008   4.601310258E-012   3.582777384E-010   0.000000000E+000   3.789972291E-008   0.000000000E+000   7.507367535E-002   4.601310046E-005   3.454891787E-005   2.865505352E-003   0.000000000E+000   7.801974272E-002   6.636792425E-025   8.506555127E-024   1.094195658E-003   0.000000000E+000 
  1.566883634E-002   1.241316189E-016   5.452000000E+001   9.384212511E-015   0.000000000E+000   3.753684386E-008   4.601310258E-012   3.582777384E-010   0.000000000E+000   3.789972291E-008   0.000000000E+000   7.507367535E-002   4.601310046E-005   3.454891787E-005   2.865505352E-003   0.000000000E+000   7.801974272E-002   1.371454297E-024   1.757829813E-023   1.094195658E-003   0.000000000E+000 
  4.004880562E-002   3.172745550E-016   5.452000000E+001   9.384212511E-015   0.000000000E+000   3.753684386E-008   4.601310258E-012   3.582777384E-010   0.000000000E+000   3.789972291E-008   0.000000000E+000   7.507367535E-002   4.601310046E-005   3.454891787E-005   2.865505352E-003   0.000000000E+000   7.801974272E-002   3.505508607E-024   4.493104546E-023   1.094195658E-003   0.000000000E+000 
  6.442877491E-002   5.104174912E-016   5.452000000E+001   9.384212511E-015   0.000000000E+000   3.753684386E-008   4.601310258E-012   3.582777384E-010   0.000000000E+000   3.789972291E-008   0.000000000E+000   7.507367535E-002   4.601310046E-005   3.454891787E-005   2.865505352E-003   0.000000000E+000   7.801974272E-002   5.639562916E-024   7.228379279E-023   1.094195658E-003   0.000000000E+000 
