          distance              timeN                 Tn               Mass          Mass_cons         Moment_kin         Moment_the         Moment_mag         Moment_vis             Moment           Mom_cons         Energy_kin         Energy_the         Energy_int         Energy_mag         Energy_vis             Energy         Energ_gain         Energ_cons          Energ_pho          magn_corr 
  2.718196641E-036   1.722727290E-050   4.575000000E+001   1.173068679E-013   0.000000000E+000   5.865343394E-007   3.799191167E-011   2.486795986E-009   1.849076164E-063   5.890591273E-007   0.000000000E+000   1.466335848E+000   4.748988959E-004   4.403567341E-004   2.486795986E-002   9.245380818E-057   1.492119064E+000   1.954974270E-057   1.310199914E-057   1.094195658E-003   0.000000000E+000 
  3.235785256E-036   2.050762436E-050   4.575000000E+001   1.173068679E-013   0.000000000E+000   5.865343394E-007   3.799191167E-011   2.486795986E-009   1.799439637E-063   5.890591273E-007   0.000000000E+000   1.466335848E+000   4.748988959E-004   4.403567341E-004   2.486795986E-002   8.997198185E-057   1.492119064E+000   2.327239024E-057   1.559687213E-057   1.094195658E-003   0.000000000E+000 
  3.753373871E-036   2.378797582E-050   4.575000000E+001   1.173068679E-013   0.000000000E+000   5.865343394E-007   3.799191167E-011   2.486795986E-009   1.749803084E-063   5.890591273E-007   0.000000000E+000   1.466335848E+000   4.748988959E-004   4.403567341E-004   2.486795986E-002   8.749015419E-057   1.492119064E+000   2.699503778E-057   1.809174511E-057   1.094195658E-003   0.000000000E+000 
  4.717214524E-036   2.989656477E-050   4.575000000E+001   1.173068679E-013   0.000000000E+000   5.865343394E-007   3.799191167E-011   2.486795986E-009   1.657366542E-063   5.890591273E-007   0.000000000E+000   1.466335848E+000   4.748988959E-004   4.403567341E-004   2.486795986E-002   8.286832711E-057   1.492119064E+000   3.392725949E-057   2.273763556E-057   1.094195658E-003   0.000000000E+000 
  5.681055176E-036   3.600515371E-050   4.575000000E+001   1.173068679E-013   0.000000000E+000   5.865343394E-007   3.799191167E-011   2.486795986E-009   1.564926303E-063   5.890591273E-007   0.000000000E+000   1.466335848E+000   4.748988959E-004   4.403567341E-004   2.486795986E-002   7.824631515E-057   1.492119064E+000   4.085948120E-057   2.738352601E-057   1.094195658E-003   0.000000000E+000 
  6.644895828E-036   4.211374266E-050   4.575000000E+001   1.173068679E-013   0.000000000E+000   5.865343394E-007   3.799191167E-011   2.486795986E-009   1.472488360E-063   5.890591273E-007   0.000000000E+000   1.466335848E+000   4.748988959E-004   4.403567341E-004   2.486795986E-002   7.362441802E-057   1.492119064E+000   4.779170291E-057   3.202941646E-057   1.094195658E-003   0.000000000E+000 
  7.608736480E-036   4.822233160E-050   4.575000000E+001   1.173068679E-013   0.000000000E+000   5.865343394E-007   3.799191167E-011   2.486795986E-009   1.380053445E-063   5.890591273E-007   0.000000000E+000   1.466335848E+000   4.748988959E-004   4.403567341E-004   2.486795986E-002   6.900267223E-057   1.492119064E+000   5.472392462E-057   3.667530691E-057   1.094195658E-003   0.000000000E+000 
  8.572577132E-036   5.433092054E-050   4.575000000E+001   1.173068679E-013   0.000000000E+000   5.865343394E-007   3.799191167E-011   2.486795986E-009   1.287618969E-063   5.890591273E-007   0.000000000E+000   1.466335848E+000   4.748988959E-004   4.403567341E-004   2.486795986E-002   6.438094844E-057   1.492119064E+000   6.165614633E-057   4.132119736E-057   1.094195658E-003   0.000000000E+000 
  9.536417785E-036   6.043950949E-050   4.575000000E+001   1.173068679E-013   0.000000000E+000   5.865343394E-007   3.799191167E-011   2.486795986E-009   1.195182882E-063   5.890591273E-007   0.000000000E+000   1.466335848E+000   4.748988959E-004   4.403567341E-004   2.486795986E-002   5.975914409E-057   1.492119064E+000   6.858836804E-057   4.596708781E-057   1.094195658E-003   0.000000000E+000 
  1.020267996E-035   6.466211804E-050   4.575000000E+001   1.173068679E-013   0.000000000E+000   5.865343394E-007   3.799191167E-011   2.486795986E-009   1.131287849E-063   5.890591273E-007   0.000000000E+000   1.466335848E+000   4.748988959E-004   4.403567341E-004   2.486795986E-002   5.656439247E-057   1.492119064E+000   7.338031901E-057   4.917859492E-057   1.094195658E-003   0.000000000E+000 
