          distance              timeN                 Tn           C+(158m)        C+(2324.7A)        C+(2323.5A)        C+(2328.1A)        C+(2326.9A)        C+(2325.4A)         Si+(34.8m)         H(1215.7A)         H(1025.7A)          C(609.8m)          C(370.4m)           C(9850A)           C(9824A)         Si(129.7m)          Si(68.5m)           O(63.2m)          O(145.3m)           O(6300A)           O(6363A)          S+(6731A)          S+(6716A)         N+(205.3m)         N+(121.8m)          N+(6527A)          N+(6548A)          N+(6583A)           N(5200A)           N(5197A)           S(25.2m) 
  8.800115522E-041   5.577300382E-055   4.575000000E+001   1.031692616E-063   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   2.724762986E-066   0.000000000E+000   0.000000000E+000   2.333695911E-064   7.647863330E-064   2.003014123E-205   6.757579459E-206   3.936678176E-065   1.521308976E-066   2.927622566E-064   7.401304689E-066   0.000000000E+000   0.000000000E+000   9.357313032E-266   5.161011944E-266   7.155532371E-072   5.615175017E-073   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   1.109508850E-069 
  1.760023104E-040   1.115460076E-054   4.575000000E+001   3.095077849E-063   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   8.174288958E-066   0.000000000E+000   0.000000000E+000   7.001087734E-064   2.294358999E-063   6.009042369E-205   2.027273838E-205   1.181003453E-064   4.563926927E-066   8.782867698E-064   2.220391407E-065   0.000000000E+000   0.000000000E+000   2.807193910E-265   1.548303583E-265   2.146659711E-071   1.684552505E-072   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   3.328526551E-069 
  1.056013863E-039   6.692760459E-054   4.575000000E+001   2.372893018E-062   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   6.266954868E-065   0.000000000E+000   0.000000000E+000   5.367500596E-063   1.759008566E-062   4.606932483E-204   1.554243276E-204   9.054359805E-064   3.499010644E-065   6.733531902E-063   1.702300079E-064   0.000000000E+000   0.000000000E+000   2.152181997E-264   1.187032747E-264   1.645772445E-070   1.291490254E-071   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   2.551870356E-068 
  9.856129385E-039   6.246576428E-053   4.575000000E+001   2.300674535E-061   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   6.076221459E-064   0.000000000E+000   0.000000000E+000   5.204141882E-062   1.705473523E-061   4.466721495E-203   1.506940219E-203   8.778792333E-063   3.392519016E-064   6.528598323E-062   1.650490946E-063   0.000000000E+000   0.000000000E+000   2.086680806E-263   1.150905663E-263   1.595683719E-069   1.252184029E-070   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   2.474204736E-067 
  3.467132728E-038   2.197384868E-052   4.575000000E+001   8.119156435E-061   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   2.144318625E-063   0.000000000E+000   0.000000000E+000   1.836558862E-061   6.018672401E-061   1.576320771E-202   5.318041815E-203   3.098064815E-062   1.197231168E-063   2.303963915E-061   5.824637071E-063   0.000000000E+000   0.000000000E+000   7.363965497E-263   4.061584106E-263   5.631220556E-069   4.418998803E-070   0.000000000E+000   0.000000000E+000   0.000000000E+000   4.940656458E-324   0.000000000E+000   8.731550248E-067 
  8.575869513E-038   5.435178685E-052   4.575000000E+001   2.009774014E-060   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   5.307935481E-063   0.000000000E+000   0.000000000E+000   4.546122871E-061   1.489831054E-060   3.901942953E-202   1.316400581E-202   7.668789497E-062   2.963564145E-063   5.703113178E-061   1.441800552E-062   0.000000000E+000   0.000000000E+000   1.822837953E-262   1.005383534E-262   1.393923228E-068   1.093856121E-069   0.000000000E+000   0.000000000E+000   0.000000000E+000   9.881312917E-324   4.940656458E-324   2.161362813E-066 
  1.790352093E-037   1.134681856E-051   4.575000000E+001   4.196851915E-060   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   1.108414132E-062   0.000000000E+000   0.000000000E+000   9.493308374E-061   3.111096207E-060   8.148118465E-202   2.748935084E-202   1.601412580E-061   6.188576313E-063   1.190935961E-060   3.010797912E-062   0.000000000E+000   0.000000000E+000   3.806488143E-262   2.099462816E-262   2.910819488E-068   2.284213112E-069   0.000000000E+000   0.000000000E+000   0.000000000E+000   2.470328229E-323   9.881312917E-324   4.513402799E-066 
  3.353041999E-037   2.125076924E-051   4.575000000E+001   7.860930266E-060   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   2.076119523E-062   0.000000000E+000   0.000000000E+000   1.778147922E-060   5.827251195E-060   1.526186588E-201   5.148903855E-202   2.999532238E-061   1.159153762E-062   2.230687365E-060   5.639387073E-062   0.000000000E+000   0.000000000E+000   7.129757841E-262   3.932407225E-262   5.452122085E-068   4.278454506E-069   0.000000000E+000   0.000000000E+000   0.000000000E+000   4.446590813E-323   1.976262583E-323   8.453847166E-066 
  4.915731906E-037   3.115471993E-051   4.575000000E+001   1.152500862E-059   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   3.043824914E-062   0.000000000E+000   0.000000000E+000   2.606965007E-060   8.543406183E-060   2.237561330E-201   7.548872625E-202   4.397651896E-061   1.699449892E-062   3.270438769E-060   8.267976233E-062   0.000000000E+000   0.000000000E+000   1.045302754E-261   5.765351634E-262   7.993424682E-068   6.272695900E-069   0.000000000E+000   0.000000000E+000   0.000000000E+000   6.422853396E-323   2.964393875E-323   1.239429153E-065 
  6.478421813E-037   4.105867061E-051   4.575000000E+001   1.518908697E-059   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   4.011530305E-062   0.000000000E+000   0.000000000E+000   3.435782092E-060   1.125956117E-059   2.948936072E-201   9.948841396E-202   5.795771554E-061   2.239746022E-062   4.310190173E-060   1.089656539E-061   0.000000000E+000   0.000000000E+000   1.377629724E-261   7.598296044E-262   1.053472728E-067   8.266937294E-069   0.000000000E+000   0.000000000E+000   0.000000000E+000   8.399115979E-323   3.952525167E-323   1.633473590E-065 
