          distance              timeN              timeI                 nH                 NH                NH2                NCO                 Av              op_H2                 Vn                 Vi                VCH                VS                 VSH                 Tn                 Ti                 Te             Vsound            Vmagnet            VAlfven               rhoN               rhoI             rhoNEG           DensityN           DensityI         DensityNEG                muN                muI                muA              muNEG            -dVn/dz            -dVi/dz             Tgrain            Teff_gr               Mgrc               Mgrm              d-ero              d-ads           rsq-core           rsq-mant             ab-cor             ab-ads            Nlayers            densgrc           compr_gr               phH2               phCO          -DissH2_t            F_gr_H2          E_gr_H2_K              x(H2)               x(H)              x(H+)          sum(neut)          sum(ions)          sum(nega)             grad_V              fluph 
  1.165430796E-036   7.386218522E-051   7.386218522E-051   1.000002018E+004   1.000000000E+001   1.000000000E+001   1.000000000E+001   1.000000000E-001   3.000000000E+000   5.000000000E+006   5.000000000E+006   5.000000000E+006   5.000000000E+006   5.000000000E+006   4.575000000E+001   4.575000000E+001   4.575000000E+001   5.195742084E+004   4.807946422E+006   4.604905146E+005   2.345464023E-020   2.963386801E-024   3.769957784E-024   6.014478589E+003   1.104574348E-001   1.104574348E-001   3.899696355E-024   2.682831452E-023   1.107045305E-021   3.413041224E-023   9.731505801E-031   9.731505801E-031   1.500000000E+001   4.575000000E+001   1.302590768E-022   7.816251795E-023  -4.053961296E-022   1.310901905E-006   4.087958355E-012   1.015038341E-011   4.058000000E+000   1.919670000E+000   3.810478715E+001   6.944201281E-007   1.000000000E+000   7.239206640E-016   8.888248970E-013   1.840566211E-145   3.671937623E-011   2.150087918E+004   4.987989933E-001   2.401995152E-003   1.826996313E-008   6.014478589E+003   1.104574348E-001   1.104574348E-001   9.731505802E-031   8.374253917E+007 
  1.683019411E-036   1.066656998E-050   1.066656998E-050   1.000002018E+004   1.000000000E+001   1.000000000E+001   1.000000000E+001   1.000000000E-001   3.000000000E+000   5.000000000E+006   5.000000000E+006   5.000000000E+006   5.000000000E+006   5.000000000E+006   4.575000000E+001   4.575000000E+001   4.575000000E+001   5.195742084E+004   4.807946422E+006   4.604905146E+005   2.345464023E-020   2.963386801E-024   3.769957784E-024   6.014478589E+003   1.104574348E-001   1.104574348E-001   3.899696355E-024   2.682831452E-023   1.107045305E-021   3.413041224E-023   9.609849944E-031   9.609849944E-031   1.500000000E+001   4.575000000E+001   1.302590768E-022   7.816251795E-023  -4.053961296E-022   1.310901905E-006   4.087958355E-012   1.015038341E-011   4.058000000E+000   1.919670000E+000   3.810478715E+001   6.944201281E-007   1.000000000E+000   7.239206640E-016   8.888248970E-013   1.840566211E-145   3.671937623E-011   2.150087918E+004   4.987989933E-001   2.401995152E-003   1.826996313E-008   6.014478589E+003   1.104574348E-001   1.104574348E-001   9.609849947E-031   8.374253917E+007 
  2.200608026E-036   1.394692144E-050   1.394692144E-050   1.000002018E+004   1.000000000E+001   1.000000000E+001   1.000000000E+001   1.000000000E-001   3.000000000E+000   5.000000000E+006   5.000000000E+006   5.000000000E+006   5.000000000E+006   5.000000000E+006   4.575000000E+001   4.575000000E+001   4.575000000E+001   5.195742084E+004   4.807946422E+006   4.604905146E+005   2.345464023E-020   2.963386801E-024   3.769957784E-024   6.014478589E+003   1.104574348E-001   1.104574348E-001   3.899696355E-024   2.682831452E-023   1.107045305E-021   3.413041224E-023   9.486639956E-031   9.486639956E-031   1.500000000E+001   4.575000000E+001   1.302590768E-022   7.816251795E-023  -4.053961296E-022   1.310901905E-006   4.087958355E-012   1.015038341E-011   4.058000000E+000   1.919670000E+000   3.810478715E+001   6.944201281E-007   1.000000000E+000   7.239206640E-016   8.888248970E-013   1.840566211E-145   3.671937623E-011   2.150087918E+004   4.987989933E-001   2.401995152E-003   1.826996313E-008   6.014478589E+003   1.104574348E-001   1.104574348E-001   9.486642539E-031   8.374253917E+007 
  2.718196641E-036   1.722727290E-050   1.722727290E-050   1.000002018E+004   1.000000000E+001   1.000000000E+001   1.000000000E+001   1.000000000E-001   3.000000000E+000   5.000000000E+006   5.000000000E+006   5.000000000E+006   5.000000000E+006   5.000000000E+006   4.575000000E+001   4.575000000E+001   4.575000000E+001   5.195742084E+004   4.807946422E+006   4.604905146E+005   2.345464023E-020   2.963386801E-024   3.769957784E-024   6.014478589E+003   1.104574348E-001   1.104574348E-001   3.899696355E-024   2.682831452E-023   1.107045305E-021   3.413041224E-023   9.361817381E-031   9.361817381E-031   1.500000000E+001   4.575000000E+001   1.302590768E-022   7.816251795E-023  -4.053961296E-022   1.310901905E-006   4.087958355E-012   1.015038341E-011   4.058000000E+000   1.919670000E+000   3.810478715E+001   6.944201281E-007   1.000000000E+000   7.239206640E-016   8.888248970E-013   1.840566211E-145   3.671937623E-011   2.150087918E+004   4.987989933E-001   2.401995152E-003   1.826996313E-008   6.014478589E+003   1.104574348E-001   1.104574348E-001   9.361818963E-031   8.374253917E+007 
  3.235785256E-036   2.050762436E-050   2.050762436E-050   1.000002018E+004   1.000000000E+001   1.000000000E+001   1.000000000E+001   1.000000000E-001   3.000000000E+000   5.000000000E+006   5.000000000E+006   5.000000000E+006   5.000000000E+006   5.000000000E+006   4.575000000E+001   4.575000000E+001   4.575000000E+001   5.195742084E+004   4.807946422E+006   4.604905146E+005   2.345464023E-020   2.963386801E-024   3.769957784E-024   6.014478589E+003   1.104574348E-001   1.104574348E-001   3.899696355E-024   2.682831452E-023   1.107045305E-021   3.413041224E-023   9.235308922E-031   9.235308922E-031   1.500000000E+001   4.575000000E+001   1.302590768E-022   7.816251795E-023  -4.053961296E-022   1.310901905E-006   4.087958355E-012   1.015038341E-011   4.058000000E+000   1.919670000E+000   3.810478715E+001   6.944201281E-007   1.000000000E+000   7.239206640E-016   8.888248970E-013   1.840566211E-145   3.671937623E-011   2.150087918E+004   4.987989933E-001   2.401995152E-003   1.826996313E-008   6.014478589E+003   1.104574348E-001   1.104574348E-001   9.235310041E-031   8.374253917E+007 
  3.753373871E-036   2.378797582E-050   2.378797582E-050   1.000002018E+004   1.000000000E+001   1.000000000E+001   1.000000000E+001   1.000000000E-001   3.000000000E+000   5.000000000E+006   5.000000000E+006   5.000000000E+006   5.000000000E+006   5.000000000E+006   4.575000000E+001   4.575000000E+001   4.575000000E+001   5.195742084E+004   4.807946422E+006   4.604905146E+005   2.345464023E-020   2.963386801E-024   3.769957784E-024   6.014478589E+003   1.104574348E-001   1.104574348E-001   3.899696355E-024   2.682831452E-023   1.107045305E-021   3.413041224E-023   9.107042609E-031   9.107042609E-031   1.500000000E+001   4.575000000E+001   1.302590768E-022   7.816251795E-023  -4.053961296E-022   1.310901905E-006   4.087958355E-012   1.015038341E-011   4.058000000E+000   1.919670000E+000   3.810478715E+001   6.944201281E-007   1.000000000E+000   7.239206640E-016   8.888248970E-013   1.840566211E-145   3.671937623E-011   2.150087918E+004   4.987989933E-001   2.401995152E-003   1.826996313E-008   6.014478589E+003   1.104574348E-001   1.104574348E-001   9.107043842E-031   8.374253917E+007 
  4.717214524E-036   2.989656477E-050   2.989656477E-050   1.000002018E+004   1.000000000E+001   1.000000000E+001   1.000000000E+001   1.000000000E-001   3.000000000E+000   5.000000000E+006   5.000000000E+006   5.000000000E+006   5.000000000E+006   5.000000000E+006   4.575000000E+001   4.575000000E+001   4.575000000E+001   5.195742084E+004   4.807946422E+006   4.604905146E+005   2.345464023E-020   2.963386801E-024   3.769957784E-024   6.014478589E+003   1.104574348E-001   1.104574348E-001   3.899696355E-024   2.682831452E-023   1.107045305E-021   3.413041224E-023   8.863232044E-031   8.863232044E-031   1.500000000E+001   4.575000000E+001   1.302590768E-022   7.816251795E-023  -4.053961296E-022   1.310901905E-006   4.087958355E-012   1.015038341E-011   4.058000000E+000   1.919670000E+000   3.810478715E+001   6.944201281E-007   1.000000000E+000   7.239206640E-016   8.888248970E-013   1.840566211E-145   3.671937623E-011   2.150087918E+004   4.987989933E-001   2.401995152E-003   1.826996313E-008   6.014478589E+003   1.104574348E-001   1.104574348E-001   8.863232099E-031   8.374253917E+007 
  5.681055176E-036   3.600515371E-050   3.600515371E-050   1.000002018E+004   1.000000000E+001   1.000000000E+001   1.000000000E+001   1.000000000E-001   3.000000000E+000   5.000000000E+006   5.000000000E+006   5.000000000E+006   5.000000000E+006   5.000000000E+006   4.575000000E+001   4.575000000E+001   4.575000000E+001   5.195742084E+004   4.807946422E+006   4.604905146E+005   2.345464023E-020   2.963386801E-024   3.769957784E-024   6.014478589E+003   1.104574348E-001   1.104574348E-001   3.899696355E-024   2.682831452E-023   1.107045305E-021   3.413041224E-023   8.612510721E-031   8.612510721E-031   1.500000000E+001   4.575000000E+001   1.302590768E-022   7.816251795E-023  -4.053961296E-022   1.310901905E-006   4.087958355E-012   1.015038341E-011   4.058000000E+000   1.919670000E+000   3.810478715E+001   6.944201281E-007   1.000000000E+000   7.239206640E-016   8.888248970E-013   1.840566211E-145   3.671937623E-011   2.150087918E+004   4.987989933E-001   2.401995152E-003   1.826996313E-008   6.014478589E+003   1.104574348E-001   1.104574348E-001   8.612510881E-031   8.374253917E+007 
  6.644895828E-036   4.211374266E-050   4.211374266E-050   1.000002018E+004   1.000000000E+001   1.000000000E+001   1.000000000E+001   1.000000000E-001   3.000000000E+000   5.000000000E+006   5.000000000E+006   5.000000000E+006   5.000000000E+006   5.000000000E+006   4.575000000E+001   4.575000000E+001   4.575000000E+001   5.195742084E+004   4.807946422E+006   4.604905146E+005   2.345464023E-020   2.963386801E-024   3.769957784E-024   6.014478589E+003   1.104574348E-001   1.104574348E-001   3.899696355E-024   2.682831452E-023   1.107045305E-021   3.413041224E-023   8.354249497E-031   8.354249497E-031   1.500000000E+001   4.575000000E+001   1.302590768E-022   7.816251795E-023  -4.053961296E-022   1.310901905E-006   4.087958355E-012   1.015038341E-011   4.058000000E+000   1.919670000E+000   3.810478715E+001   6.944201281E-007   1.000000000E+000   7.239206640E-016   8.888248970E-013   1.840566211E-145   3.671937623E-011   2.150087918E+004   4.987989933E-001   2.401995152E-003   1.826996313E-008   6.014478589E+003   1.104574348E-001   1.104574348E-001   8.354275131E-031   8.374253917E+007 
  7.608736480E-036   4.822233160E-050   4.822233160E-050   1.000002018E+004   1.000000000E+001   1.000000000E+001   1.000000000E+001   1.000000000E-001   3.000000000E+000   5.000000000E+006   5.000000000E+006   5.000000000E+006   5.000000000E+006   5.000000000E+006   4.575000000E+001   4.575000000E+001   4.575000000E+001   5.195742084E+004   4.807946422E+006   4.604905146E+005   2.345464023E-020   2.963386801E-024   3.769957784E-024   6.014478589E+003   1.104574348E-001   1.104574348E-001   3.899696355E-024   2.682831452E-023   1.107045305E-021   3.413041224E-023   8.087784427E-031   8.087784427E-031   1.500000000E+001   4.575000000E+001   1.302590768E-022   7.816251795E-023  -4.053961296E-022   1.310901905E-006   4.087958355E-012   1.015038341E-011   4.058000000E+000   1.919670000E+000   3.810478715E+001   6.944201281E-007   1.000000000E+000   7.239206640E-016   8.888248970E-013   1.840566211E-145   3.671937623E-011   2.150087918E+004   4.987989933E-001   2.401995152E-003   1.826996313E-008   6.014478589E+003   1.104574348E-001   1.104574348E-001   8.087807226E-031   8.374253917E+007 
