    V   J   Energy(K)   log(N/g)
    0     0   0.000000E+000   5.978003E+001 
    0     1   1.705020E+002   5.426424E+001 
    0     2   5.098500E+002   4.401084E+001 
    0     3   1.015153E+003   4.278065E+001 
    0     4   1.681678E+003   4.163794E+001 
    0     5   2.503870E+003   4.088960E+001 
    0     6   3.474434E+003   4.038714E+001 
    0     7   4.586377E+003   3.951488E+001 
    0     8   5.829758E+003   3.858516E+001 
    1     0   5.987124E+003   3.748426E+001 
    1     1   6.149208E+003   3.689064E+001 
    1     2   6.471607E+003   3.634416E+001 
    1     3   6.951587E+003   3.583477E+001 
    0     9   7.196995E+003   3.777159E+001 
    1     4   7.584601E+003   3.561424E+001 
    1     5   8.365297E+003   3.542605E+001 
    0    10   8.677322E+003   3.699858E+001 
    1     6   9.286624E+003   3.533466E+001 
    0    11   1.026179E+004   3.633898E+001 
    1     7   1.034152E+004   3.530476E+001 
    1     8   1.152183E+004   3.530708E+001 
    2     0   1.163573E+004   3.457820E+001 
    2     1   1.178951E+004   3.486062E+001 
    0    12   1.194031E+004   3.569929E+001 
    2     2   1.209524E+004   3.435092E+001 
    2     3   1.255050E+004   3.394915E+001 
    1     9   1.281752E+004   3.531687E+001 
    2     4   1.315072E+004   3.399177E+001 
    0    13   1.370318E+004   3.515093E+001 
    2     5   1.389070E+004   3.376837E+001 
    1    10   1.422111E+004   3.515932E+001 
    2     6   1.476414E+004   3.372665E+001 
    0    14   1.554025E+004   3.462589E+001 
    1    11   1.572229E+004   3.501986E+001 
    2     7   1.576338E+004   3.369650E+001 
    2     8   1.688055E+004   3.369114E+001 
    3     0   1.695284E+004   3.413864E+001 
    3     1   1.709837E+004   3.397131E+001 
    1    12   1.731122E+004   3.461954E+001 
    3     2   1.738779E+004   3.319385E+001 
    0    15   1.744391E+004   3.416185E+001 
    3     3   1.781869E+004   3.249089E+001 
    2     9   1.810741E+004   3.369395E+001 
    3     4   1.838652E+004   3.292427E+001 
    1    13   1.897972E+004   3.436430E+001 
    3     5   1.908649E+004   3.288003E+001 
    0    16   1.940345E+004   3.372524E+001 
    2    10   1.943491E+004   3.366792E+001 
    3     6   1.991225E+004   3.267173E+001 
    1    14   2.071785E+004   3.380683E+001 
    2    11   2.085383E+004   3.363512E+001 
    3     7   2.085653E+004   3.264370E+001 
    0    17   2.141168E+004   3.330711E+001 
    3     8   2.191171E+004   3.260814E+001 
    4     0   2.194278E+004   3.268671E+001 
    4     1   2.208004E+004   3.236291E+001 
    4     2   2.235326E+004   3.256392E+001 
    2    12   2.235535E+004   3.342616E+001 
    1    15   2.251712E+004   3.354810E+001 
    4     3   2.275983E+004   3.246150E+001 
    3     9   2.306999E+004   3.254768E+001 
    4     4   2.329564E+004   3.211029E+001 
    0    18   2.345990E+004   3.295179E+001 
    2    13   2.393080E+004   3.326154E+001 
    4     5   2.395581E+004   3.213386E+001 
    3    10   2.432262E+004   3.251772E+001 
    1    16   2.436840E+004   3.288497E+001 
    4     6   2.473404E+004   3.183438E+001 
    0    19   2.553963E+004   3.254720E+001 
    2    14   2.557053E+004   3.281921E+001 
    4     7   2.562381E+004   3.186643E+001 
    3    11   2.565988E+004   3.249788E+001 
    1    17   2.626369E+004   3.269631E+001 
    5     0   2.660677E+004   3.178033E+001 
    4     8   2.661704E+004   3.172294E+001 
    5     1   2.673596E+004   3.159169E+001 
    5     2   2.699289E+004   3.232255E+001 
    3    12   2.707418E+004   3.236125E+001 
    2    15   2.726625E+004   3.254880E+001 
    5     3   2.737523E+004   3.151365E+001 
    0    20   2.764451E+004   3.225233E+001 
    4     9   2.770677E+004   3.172076E+001 
    5     4   2.787879E+004   3.134847E+001 
    1    18   2.819486E+004   3.197157E+001 
    5     5   2.849899E+004   3.131407E+001 
    3    13   2.855661E+004   3.232912E+001 
    4    10   2.888376E+004   3.159210E+001 
    2    16   2.900940E+004   3.182563E+001 
    5     6   2.922954E+004   3.103354E+001 
    0    21   2.976661E+004   3.182707E+001 
    5     7   3.006431E+004   3.102377E+001 
    3    14   3.009785E+004   3.194408E+001 
    4    11   3.013990E+004   3.160788E+001 
    1    19   3.015462E+004   3.192972E+001 
    2    17   3.079235E+004   3.143029E+001 
    6     0   3.094320E+004   3.108157E+001 
    5     8   3.099552E+004   3.094362E+001 
    6     1   3.106412E+004   3.091784E+001 
    6     2   3.130464E+004   3.113009E+001 
    4    12   3.146651E+004   3.144970E+001 
    6     3   3.166233E+004   3.086770E+001 
    3    15   3.169026E+004   3.181403E+001 
    0    22   3.190031E+004   3.084702E+001 
