    V   J   Energy(K)   log(N/g)
    5     9   3.201575E+004   3.091564E+001 
    6     4   3.213322E+004   3.064138E+001 
    1    20   3.213454E+004   3.086697E+001 
    2    18   3.260639E+004   2.914833E+001 
    6     5   3.271272E+004   3.168569E+001 
    4    13   3.285516E+004   3.140441E+001 
    5    10   3.311646E+004   3.090157E+001 
    3    16   3.332489E+004   3.118098E+001 
    6     6   3.339496E+004   3.015221E+001 
    0    23   3.403759E+004   3.101772E+001 
    1    21   3.412953E+004   3.106919E+001 
    6     7   3.417362E+004   3.037755E+001 
    5    11   3.428978E+004   3.004208E+001 
    4    14   3.429681E+004   3.077032E+001 
    2    19   3.444505E+004   2.710393E+001 
    7     0   3.494622E+004   3.348503E+001 
    3    17   3.499413E+004   3.094222E+001 
    6     8   3.504117E+004   3.036106E+001 
    7     1   3.505878E+004   3.065239E+001 
    7     2   3.528236E+004   3.034782E+001 
    5    12   3.552731E+004   3.064431E+001 
    7     3   3.561473E+004   3.033630E+001 
    4    15   3.578419E+004   3.078883E+001 
    6     9   3.599047E+004   3.043847E+001 
    7     4   3.605189E+004   3.031625E+001 
    1    22   3.613139E+004   3.032545E+001 
    0    24   3.617459E+004   2.765287E+001 
    2    20   3.629979E+004   3.012978E+001 
    7     5   3.658964E+004   3.009970E+001 
    3    18   3.668984E+004   3.042020E+001 
    5    13   3.682003E+004   3.028143E+001 
    6    10   3.701302E+004   3.031523E+001 
    7     6   3.722192E+004   2.956833E+001 
    4    16   3.730808E+004   3.033544E+001 
    7     7   3.794263E+004   2.992338E+001 
    6    11   3.810113E+004   3.035027E+001 
    1    23   3.813447E+004   3.010757E+001 
    5    14   3.815979E+004   3.062879E+001 
    2    21   3.816475E+004   3.028867E+001 
    0    25   3.830484E+004   2.957915E+001 
    3    19   3.840503E+004   2.652439E+001 
    8     0   3.860553E+004   3.006567E+001 
    8     1   3.870915E+004   3.019261E+001 
    7     8   3.874438E+004   2.989503E+001 
    4    17   3.886111E+004   3.042112E+001 
    8     2   3.891514E+004   2.996362E+001 
    8     3   3.922109E+004   2.860969E+001 
