          distance              timeN                 Tn                 Ti                 Te         Total_heat       heat_chemist       heat_diff_in       heat_diff_an       heat_diff_en       heat_diff_gn       heat_inel_en       heat_ther_in       heat_ther_gn       heat_phot_el       heat_ioni_cr    heat_photo_chem         heat_h2int          heat_visc         heat_compr 
  1.217377196E-043   6.429535201E-058   3.866000000E+001   3.866000000E+001   3.866000000E+001  -2.233566658E-020  -2.647937814E-020   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000  -0.000000000E+000  -4.057543257E-025  -5.108074856E-022   3.526172812E-021   1.096561149E-021   0.000000000E+000   3.065334120E-023   2.109663793E-094   1.131745830E-024 
  2.434754393E-043   1.285907040E-057   3.866000000E+001   3.866000000E+001   3.866000000E+001  -2.233566658E-020  -2.647937814E-020   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000  -0.000000000E+000  -4.057543257E-025  -5.108074856E-022   3.526172812E-021   1.096561149E-021   0.000000000E+000   3.065334120E-023   2.109676451E-094   1.131745830E-024 
  1.460852636E-042   7.715442241E-057   3.866000000E+001   3.866000000E+001   3.866000000E+001  -2.233566658E-020  -2.647937814E-020   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000  -0.000000000E+000  -4.057543257E-025  -5.108074856E-022   3.526172812E-021   1.096561149E-021   0.000000000E+000   3.065334120E-023   2.109803029E-094   1.131745830E-024 
  1.363462460E-041   7.201079425E-056   3.866000000E+001   3.866000000E+001   3.866000000E+001  -2.233566658E-020  -2.647937814E-020   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000  -0.000000000E+000  -4.057543257E-025  -5.108074856E-022   3.526172812E-021   1.096561149E-021   0.000000000E+000   3.065334120E-023   2.111068892E-094   1.131745830E-024 
  4.797598064E-041   2.533834684E-055   3.866000000E+001   3.866000000E+001   3.866000000E+001  -2.233566658E-020  -2.647937814E-020   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000  -0.000000000E+000  -4.057543257E-025  -5.108074856E-022   3.526172812E-021   1.096561149E-021   0.000000000E+000   3.065334120E-023   2.114641183E-094   1.131745830E-024 
  1.188992857E-040   6.279624304E-055   3.866000000E+001   3.866000000E+001   3.866000000E+001  -2.233566658E-020  -2.647937814E-020   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000  -0.000000000E+000  -4.057543257E-025  -5.108074856E-022   3.526172812E-021   1.096561149E-021   0.000000000E+000   3.065334120E-023   2.122025366E-094   1.131745830E-024 
  2.512225555E-040   1.326823164E-054   3.866000000E+001   3.866000000E+001   3.866000000E+001  -2.233566658E-020  -2.647937814E-020   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000  -0.000000000E+000  -4.057543257E-025  -5.108074856E-022   3.526172812E-021   1.096561149E-021   0.000000000E+000   3.065334120E-023   2.135825437E-094   1.131745830E-024 
  5.031160682E-040   2.657189966E-054   3.866000000E+001   3.866000000E+001   3.866000000E+001  -2.233566658E-020  -2.647937814E-020   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000  -0.000000000E+000  -4.057543257E-025  -5.108074856E-022   3.526172812E-021   1.096561149E-021   0.000000000E+000   3.065334120E-023   2.162178693E-094   1.131745830E-024 
  1.208651575E-039   6.383451137E-054   3.866000000E+001   3.866000000E+001   3.866000000E+001  -2.233566658E-020  -2.647937814E-020   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000  -0.000000000E+000  -4.057543257E-025  -5.108074856E-022   3.526172812E-021   1.096561149E-021   0.000000000E+000   3.065334120E-023   2.236577339E-094   1.131745830E-024 
  1.578647979E-039   8.337574240E-054   3.866000000E+001   3.866000000E+001   3.866000000E+001  -2.233566658E-020  -2.647937814E-020   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000  -0.000000000E+000  -4.057543257E-025  -5.108074856E-022   3.526172812E-021   1.096561149E-021   0.000000000E+000   3.065334120E-023   2.275923805E-094   1.131745830E-024 
  1.948644383E-039   1.029169734E-053   3.866000000E+001   3.866000000E+001   3.866000000E+001  -2.233566658E-020  -2.647937814E-020   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000  -0.000000000E+000  -4.057543257E-025  -5.108074856E-022   3.526172812E-021   1.096561149E-021   0.000000000E+000   3.065334120E-023   2.315497749E-094   1.131745830E-024 
  2.318640787E-039   1.224582045E-053   3.866000000E+001   3.866000000E+001   3.866000000E+001  -2.233566658E-020  -2.647937814E-020   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000  -0.000000000E+000  -4.057543257E-025  -5.108074856E-022   3.526172812E-021   1.096561149E-021   0.000000000E+000   3.065334120E-023   2.355298189E-094   1.131745830E-024 
  2.953129840E-039   1.559685224E-053   3.866000000E+001   3.866000000E+001   3.866000000E+001  -2.233566658E-020  -2.647937814E-020   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000  -0.000000000E+000  -4.057543257E-025  -5.108074856E-022   3.526172812E-021   1.096561149E-021   0.000000000E+000   3.065334120E-023   2.424074793E-094   1.131745830E-024 
  3.587618892E-039   1.894788404E-053   3.866000000E+001   3.866000000E+001   3.866000000E+001  -2.233566658E-020  -2.647937814E-020   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000  -0.000000000E+000  -4.057543257E-025  -5.108074856E-022   3.526172812E-021   1.096561149E-021   0.000000000E+000   3.065334120E-023   2.493504840E-094   1.131745830E-024 
  4.222107944E-039   2.229891584E-053   3.866000000E+001   3.866000000E+001   3.866000000E+001  -2.233566658E-020  -2.647937814E-020   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000  -0.000000000E+000  -4.057543257E-025  -5.108074856E-022   3.526172812E-021   1.096561149E-021   0.000000000E+000   3.065334120E-023   2.563582373E-094   1.131745830E-024 
  4.856596997E-039   2.564994764E-053   3.866000000E+001   3.866000000E+001   3.866000000E+001  -2.233566658E-020  -2.647937814E-020   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000  -0.000000000E+000  -4.057543257E-025  -5.108074856E-022   3.526172812E-021   1.096561149E-021   0.000000000E+000   3.065334120E-023   2.634303053E-094   1.131745830E-024 
  6.028216133E-039   3.183781324E-053   3.866000000E+001   3.866000000E+001   3.866000000E+001  -2.233566658E-020  -2.647937814E-020   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000  -0.000000000E+000  -4.057543257E-025  -5.108074856E-022   3.526172812E-021   1.096561149E-021   0.000000000E+000   3.065334120E-023   2.766562133E-094   1.131745830E-024 
  7.199835269E-039   3.802567885E-053   3.866000000E+001   3.866000000E+001   3.866000000E+001  -2.233566658E-020  -2.647937814E-020   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000  -0.000000000E+000  -4.057543257E-025  -5.108074856E-022   3.526172812E-021   1.096561149E-021   0.000000000E+000   3.065334120E-023   2.900961130E-094   1.131745830E-024 
  8.371454405E-039   4.421354445E-053   3.866000000E+001   3.866000000E+001   3.866000000E+001  -2.233566658E-020  -2.647937814E-020   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000  -0.000000000E+000  -4.057543257E-025  -5.108074856E-022   3.526172812E-021   1.096561149E-021   0.000000000E+000   3.065334120E-023   3.037469326E-094   1.131745830E-024 
  9.543073541E-039   5.040141005E-053   3.866000000E+001   3.866000000E+001   3.866000000E+001  -2.233566658E-020  -2.647937814E-020   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000  -0.000000000E+000  -4.057543257E-025  -5.108074856E-022   3.526172812E-021   1.096561149E-021   0.000000000E+000   3.065334120E-023   3.176055214E-094   1.131745830E-024 
  1.071469268E-038   5.658927565E-053   3.866000000E+001   3.866000000E+001   3.866000000E+001  -2.233566658E-020  -2.647937814E-020   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000  -0.000000000E+000  -4.057543257E-025  -5.108074856E-022   3.526172812E-021   1.096561149E-021   0.000000000E+000   3.065334120E-023   3.316687904E-094   1.131745830E-024 
  1.188631181E-038   6.277714125E-053   3.866000000E+001   3.866000000E+001   3.866000000E+001  -2.233566658E-020  -2.647937814E-020   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000  -0.000000000E+000  -4.057543257E-025  -5.108074856E-022   3.526172812E-021   1.096561149E-021   0.000000000E+000   3.065334120E-023   3.459337765E-094   1.131745830E-024 
  1.305793095E-038   6.896500686E-053   3.866000000E+001   3.866000000E+001   3.866000000E+001  -2.233566658E-020  -2.647937814E-020   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000  -0.000000000E+000  -4.057543257E-025  -5.108074856E-022   3.526172812E-021   1.096561149E-021   0.000000000E+000   3.065334120E-023   3.603976522E-094   1.131745830E-024 
  1.422955009E-038   7.515287246E-053   3.866000000E+001   3.866000000E+001   3.866000000E+001  -2.233566658E-020  -2.647937814E-020   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000  -0.000000000E+000  -4.057543257E-025  -5.108074856E-022   3.526172812E-021   1.096561149E-021   0.000000000E+000   3.065334120E-023   3.750577143E-094   1.131745830E-024 
  1.604811367E-038   8.475755261E-053   3.866000000E+001   3.866000000E+001   3.866000000E+001  -2.233566658E-020  -2.647937814E-020   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000  -0.000000000E+000  -4.057543257E-025  -5.108074856E-022   3.526172812E-021   1.096561149E-021   0.000000000E+000   3.065334120E-023   3.981949546E-094   1.131745830E-024 
  1.786667726E-038   9.436223276E-053   3.866000000E+001   3.866000000E+001   3.866000000E+001  -2.233566658E-020  -2.647937814E-020   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000  -0.000000000E+000  -4.057543257E-025  -5.108074856E-022   3.526172812E-021   1.096561149E-021   0.000000000E+000   3.065334120E-023   4.217895069E-094   1.131745830E-024 
  1.968524084E-038   1.039669129E-052   3.866000000E+001   3.866000000E+001   3.866000000E+001  -2.233566658E-020  -2.647937814E-020   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000  -0.000000000E+000  -4.057543257E-025  -5.108074856E-022   3.526172812E-021   1.096561149E-021   0.000000000E+000   3.065334120E-023   4.458331634E-094   1.131745830E-024 
  2.150380443E-038   1.135715931E-052   3.866000000E+001   3.866000000E+001   3.866000000E+001  -2.233566658E-020  -2.647937814E-020   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000  -0.000000000E+000  -4.057543257E-025  -5.108074856E-022   3.526172812E-021   1.096561149E-021   0.000000000E+000   3.065334120E-023   4.703175382E-094   1.131745830E-024 
  2.426439294E-038   1.281515450E-052   3.866000000E+001   3.866000000E+001   3.866000000E+001  -2.233566658E-020  -2.647937814E-020   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000  -0.000000000E+000  -4.057543257E-025  -5.108074856E-022   3.526172812E-021   1.096561149E-021   0.000000000E+000   3.065334120E-023   5.083102094E-094   1.131745830E-024 
  2.702498145E-038   1.427314969E-052   3.866000000E+001   3.866000000E+001   3.866000000E+001  -2.233566658E-020  -2.647937814E-020   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000  -0.000000000E+000  -4.057543257E-025  -5.108074856E-022   3.526172812E-021   1.096561149E-021   0.000000000E+000   3.065334120E-023   5.472749405E-094   1.131745830E-024 
  2.978556996E-038   1.573114489E-052   3.866000000E+001   3.866000000E+001   3.866000000E+001  -2.233566658E-020  -2.647937814E-020   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000  -0.000000000E+000  -4.057543257E-025  -5.108074856E-022   3.526172812E-021   1.096561149E-021   0.000000000E+000   3.065334120E-023   5.871867691E-094   1.131745830E-024 
  3.254615847E-038   1.718914008E-052   3.866000000E+001   3.866000000E+001   3.866000000E+001  -2.233566658E-020  -2.647937814E-020   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000  -0.000000000E+000  -4.057543257E-025  -5.108074856E-022   3.526172812E-021   1.096561149E-021   0.000000000E+000   3.065334120E-023   6.280232979E-094   1.131745830E-024 
  3.530674698E-038   1.864713527E-052   3.866000000E+001   3.866000000E+001   3.866000000E+001  -2.233566658E-020  -2.647937814E-020   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000  -0.000000000E+000  -4.057543257E-025  -5.108074856E-022   3.526172812E-021   1.096561149E-021   0.000000000E+000   3.065334120E-023   6.697644450E-094   1.131745830E-024 
  3.806733549E-038   2.010513046E-052   3.866000000E+001   3.866000000E+001   3.866000000E+001  -2.233566658E-020  -2.647937814E-020   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000  -0.000000000E+000  -4.057543257E-025  -5.108074856E-022   3.526172812E-021   1.096561149E-021   0.000000000E+000   3.065334120E-023   7.123914349E-094   1.131745830E-024 
  4.082792400E-038   2.156312566E-052   3.866000000E+001   3.866000000E+001   3.866000000E+001  -2.233566658E-020  -2.647937814E-020   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000  -0.000000000E+000  -4.057543257E-025  -5.108074856E-022   3.526172812E-021   1.096561149E-021   0.000000000E+000   3.065334120E-023   7.558863045E-094   1.131745830E-024 
  4.629254509E-038   2.444924622E-052   3.866000000E+001   3.866000000E+001   3.866000000E+001  -2.233566658E-020  -2.647937814E-020   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000  -0.000000000E+000  -4.057543257E-025  -5.108074856E-022   3.526172812E-021   1.096561149E-021   0.000000000E+000   3.065334120E-023   8.444832627E-094   1.131745830E-024 
  5.018678761E-038   2.650597683E-052   3.866000000E+001   3.866000000E+001   3.866000000E+001  -2.233566658E-020  -2.647937814E-020   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000  -0.000000000E+000  -4.057543257E-025  -5.108074856E-022   3.526172812E-021   1.096561149E-021   0.000000000E+000   3.065334120E-023   9.095877263E-094   1.131745830E-024 
  5.408103013E-038   2.856270743E-052   3.866000000E+001   3.866000000E+001   3.866000000E+001  -2.233566658E-020  -2.647937814E-020   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000  -0.000000000E+000  -4.057543257E-025  -5.108074856E-022   3.526172812E-021   1.096561149E-021   0.000000000E+000   3.065334120E-023   9.762798695E-094   1.131745830E-024 
  5.797527265E-038   3.061943804E-052   3.866000000E+001   3.866000000E+001   3.866000000E+001  -2.233566658E-020  -2.647937814E-020   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000  -0.000000000E+000  -4.057543257E-025  -5.108074856E-022   3.526172812E-021   1.096561149E-021   0.000000000E+000   3.065334120E-023   1.044524696E-093   1.131745830E-024 
  6.186951518E-038   3.267616864E-052   3.866000000E+001   3.866000000E+001   3.866000000E+001  -2.233566658E-020  -2.647937814E-020   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000  -0.000000000E+000  -4.057543257E-025  -5.108074856E-022   3.526172812E-021   1.096561149E-021   0.000000000E+000   3.065334120E-023   1.114291385E-093   1.131745830E-024 
  6.576375770E-038   3.473289925E-052   3.866000000E+001   3.866000000E+001   3.866000000E+001  -2.233566658E-020  -2.647937814E-020   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000  -0.000000000E+000  -4.057543257E-025  -5.108074856E-022   3.526172812E-021   1.096561149E-021   0.000000000E+000   3.065334120E-023   1.185547551E-093   1.131745830E-024 
  7.171288095E-038   3.787490795E-052   3.866000000E+001   3.866000000E+001   3.866000000E+001  -2.233566658E-020  -2.647937814E-020   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000  -0.000000000E+000  -4.057543257E-025  -5.108074856E-022   3.526172812E-021   1.096561149E-021   0.000000000E+000   3.065334120E-023   1.297209673E-093   1.131745830E-024 
  7.766200421E-038   4.101691664E-052   3.866000000E+001   3.866000000E+001   3.866000000E+001  -2.233566658E-020  -2.647937814E-020   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000  -0.000000000E+000  -4.057543257E-025  -5.108074856E-022   3.526172812E-021   1.096561149E-021   0.000000000E+000   3.065334120E-023   1.412170914E-093   1.131745830E-024 
