          distance              timeN                 Tn           C+(158m)        C+(2324.7A)        C+(2323.5A)        C+(2328.1A)        C+(2326.9A)        C+(2325.4A)         Si+(34.8m)         H(1215.7A)         H(1025.7A)          C(609.8m)          C(370.4m)           C(9850A)           C(9824A)         Si(129.7m)          Si(68.5m)           O(63.2m)          O(145.3m)           O(6300A)           O(6363A)          S+(6731A)          S+(6716A)         N+(205.3m)         N+(121.8m)          N+(6527A)          N+(6548A)          N+(6583A)           N(5200A)           N(5197A)           S(25.2m) 
  1.083491048E-040   6.866904215E-055   4.510000000E+001   1.137930134E-063   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   2.022062836E-066   0.000000000E+000   0.000000000E+000   2.341392974E-064   7.298974925E-064   3.108309041E-076   1.048651883E-076   2.544629793E-065   9.023236435E-067   2.200119281E-064   5.448684400E-066   0.000000000E+000   0.000000000E+000   1.212575677E-268   6.592471767E-269   8.501485429E-072   6.435208294E-073   2.790538403E-089   5.251368804E-086   1.546253191E-085   0.000000000E+000   0.000000000E+000   6.438221235E-070 
  2.166982096E-040   1.373380843E-054   4.510000000E+001   3.413790402E-063   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   6.066188507E-066   0.000000000E+000   0.000000000E+000   7.024178923E-064   2.189692478E-063   9.324927122E-076   3.145955650E-076   7.633889378E-065   2.706970930E-066   6.600357843E-064   1.634605320E-065   0.000000000E+000   0.000000000E+000   3.637727031E-268   1.977741530E-268   2.550445629E-071   1.930562488E-072   8.371615208E-089   1.575410641E-085   4.638759573E-085   0.000000000E+000   0.000000000E+000   1.931466371E-069 
  1.300189258E-039   8.240285058E-054   4.510000000E+001   2.617239308E-062   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   4.650744522E-065   0.000000000E+000   0.000000000E+000   5.385203841E-063   1.678764233E-062   7.149110793E-075   2.411899332E-075   5.852648523E-064   2.075344380E-065   5.060274346E-063   1.253197412E-064   0.000000000E+000   0.000000000E+000   2.788924057E-267   1.516268506E-267   1.955341649E-070   1.480097908E-071   6.418238326E-088   1.207814825E-084   3.556382339E-084   0.000000000E+000   0.000000000E+000   1.480790884E-068 
  1.213509974E-038   7.690932721E-053   4.510000000E+001   2.537584199E-061   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   4.509200124E-064   0.000000000E+000   0.000000000E+000   5.221306333E-062   1.627671408E-061   6.931529161E-074   2.338493700E-074   5.674524437E-063   2.012181725E-064   4.906265996E-062   1.215056621E-063   0.000000000E+000   0.000000000E+000   2.704043760E-266   1.470121204E-266   1.895831251E-069   1.435051450E-070   6.222900638E-087   1.171055243E-083   3.448144616E-083   0.000000000E+000   0.000000000E+000   1.435723335E-067 
  4.268815862E-038   2.705472250E-052   4.510000000E+001   8.955218465E-061   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   1.591311620E-063   0.000000000E+000   0.000000000E+000   1.842616253E-061   5.744106169E-061   2.446159539E-073   8.252621518E-074   2.002558419E-062   7.101055779E-064   1.731437478E-061   4.287974955E-063   0.000000000E+000   0.000000000E+000   9.542659755E-266   5.188106294E-266   6.690451111E-069   5.064343972E-070   2.196082192E-086   4.132692639E-083   1.216861626E-082   0.000000000E+000   0.000000000E+000   5.066715079E-067 
  1.055881349E-037   6.691920618E-052   4.510000000E+001   2.216728487E-060   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   3.939050525E-063   0.000000000E+000   0.000000000E+000   4.561117024E-061   1.421866349E-060   6.055096875E-073   2.042811271E-073   4.957029595E-062   1.757758641E-063   4.285910831E-061   1.061423155E-062   0.000000000E+000   0.000000000E+000   2.362140668E-265   1.284237014E-265   1.656119684E-068   1.253601528E-069   5.436068338E-086   1.022985373E-082   3.012156366E-082   0.000000000E+000   0.000000000E+000   1.254188460E-066 
  2.204323864E-037   1.397047152E-051   4.510000000E+001   4.629018552E-060   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   8.225607268E-063   0.000000000E+000   0.000000000E+000   9.524619476E-061   2.969170895E-060   1.264437929E-072   4.265841002E-073   1.035137234E-061   3.670588168E-063   8.949928176E-061   2.216485918E-062   0.000000000E+000   0.000000000E+000   4.932671293E-265   2.681770454E-265   3.458343584E-068   2.617796796E-069   1.135171102E-085   2.136219342E-082   6.290047600E-082   0.000000000E+000   0.000000000E+000   2.619022438E-066 
  4.128344658E-037   2.616444998E-051   4.510000000E+001   8.670401715E-060   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   1.540700659E-062   0.000000000E+000   0.000000000E+000   1.784012661E-060   5.561417421E-060   2.368360520E-072   7.990150552E-073   1.938867937E-061   6.875209850E-063   1.676369877E-060   4.151597814E-062   0.000000000E+000   0.000000000E+000   9.239159695E-265   5.023100875E-265   6.477664282E-068   4.903274759E-069   2.126236772E-085   4.001254183E-082   1.178159882E-081   0.000000000E+000   0.000000000E+000   4.905570454E-066 
  6.052365452E-037   3.835842844E-051   4.510000000E+001   1.271178488E-059   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   2.258840592E-062   0.000000000E+000   0.000000000E+000   2.615563374E-060   8.153663947E-060   3.472283111E-072   1.171446010E-072   2.842598640E-061   1.007983153E-062   2.457746936E-060   6.086709710E-062   0.000000000E+000   0.000000000E+000   1.354564810E-264   7.364431296E-265   9.496984981E-068   7.188752722E-069   3.117302443E-085   5.866289024E-082   1.727315003E-081   0.000000000E+000   0.000000000E+000   7.192118470E-066 
  7.976386245E-037   5.055240689E-051   4.510000000E+001   1.675316804E-059   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   2.976980525E-062   0.000000000E+000   0.000000000E+000   3.447114087E-060   1.074591047E-059   4.576205702E-072   1.543876965E-072   3.746329343E-061   1.328445321E-062   3.239123996E-060   8.021821606E-062   0.000000000E+000   0.000000000E+000   1.785213650E-264   9.705761717E-265   1.251630568E-067   9.474230685E-069   4.108368114E-085   7.731323865E-082   2.276470125E-081   0.000000000E+000   0.000000000E+000   9.478666485E-066 
