 In this file you can find the excitation temperatures of the first half of computed CO rotational levels
     distance         timeN         timeI     Texc(1-0)     Texc(2-1)     Texc(3-2)     Texc(4-3)     Texc(5-4)     Texc(6-5)     Texc(7-6)     Texc(8-7)     Texc(9-8)    Texc(10-9)   Texc(11-10)   Texc(12-11)   Texc(13-12)   Texc(14-13)   Texc(15-14)   Texc(16-15)   Texc(17-16)   Texc(18-17)   Texc(19-18)   Texc(20-19)   Texc(21-20)   Texc(22-21)   Texc(23-22)   Texc(24-23)   Texc(25-24)   Texc(26-25)   Texc(27-26)   Texc(28-27)   Texc(29-28)   Texc(30-29)   Texc(31-30)   Texc(32-31)   Texc(33-32)   Texc(34-33)   Texc(35-34)   Texc(36-35)   Texc(37-36)   Texc(38-37)   Texc(39-38)   Texc(40-39) 
   2.167E-040    1.373E-054    1.373E-054   -1.387E+002    1.691E+001    1.295E+001    1.350E+001    1.518E+001    1.745E+001    1.973E+001    2.190E+001    2.369E+001    2.525E+001    2.651E+001    2.788E+001    2.948E+001    2.999E+001    2.757E+001    3.158E+001    3.161E+001    3.228E+001    3.497E+001    3.617E+001    3.437E+001    3.473E+001    3.518E+001    3.562E+001    3.591E+001    3.614E+001    3.646E+001    3.678E+001    3.710E+001    3.748E+001    3.760E+001    3.780E+001    3.799E+001    3.829E+001    3.843E+001    3.868E+001    3.880E+001    3.894E+001    3.918E+001    3.929E+001 
   1.300E-039    8.240E-054    8.240E-054   -1.387E+002    1.691E+001    1.295E+001    1.350E+001    1.518E+001    1.745E+001    1.973E+001    2.190E+001    2.369E+001    2.525E+001    2.651E+001    2.788E+001    2.948E+001    2.999E+001    2.757E+001    3.158E+001    3.161E+001    3.228E+001    3.497E+001    3.617E+001    3.437E+001    3.473E+001    3.518E+001    3.562E+001    3.591E+001    3.614E+001    3.646E+001    3.678E+001    3.710E+001    3.748E+001    3.760E+001    3.780E+001    3.799E+001    3.829E+001    3.843E+001    3.868E+001    3.880E+001    3.894E+001    3.918E+001    3.929E+001 
   1.214E-038    7.691E-053    7.691E-053   -1.387E+002    1.691E+001    1.295E+001    1.350E+001    1.518E+001    1.745E+001    1.973E+001    2.190E+001    2.369E+001    2.525E+001    2.651E+001    2.788E+001    2.948E+001    2.999E+001    2.757E+001    3.158E+001    3.161E+001    3.228E+001    3.497E+001    3.617E+001    3.437E+001    3.473E+001    3.518E+001    3.562E+001    3.591E+001    3.614E+001    3.646E+001    3.678E+001    3.710E+001    3.748E+001    3.760E+001    3.780E+001    3.799E+001    3.829E+001    3.843E+001    3.868E+001    3.880E+001    3.894E+001    3.918E+001    3.929E+001 
   4.269E-038    2.705E-052    2.705E-052   -1.387E+002    1.691E+001    1.295E+001    1.350E+001    1.518E+001    1.745E+001    1.973E+001    2.190E+001    2.369E+001    2.525E+001    2.651E+001    2.788E+001    2.948E+001    2.999E+001    2.757E+001    3.158E+001    3.161E+001    3.228E+001    3.497E+001    3.617E+001    3.437E+001    3.473E+001    3.518E+001    3.562E+001    3.591E+001    3.614E+001    3.646E+001    3.678E+001    3.710E+001    3.748E+001    3.760E+001    3.780E+001    3.799E+001    3.829E+001    3.843E+001    3.868E+001    3.880E+001    3.894E+001    3.918E+001    3.929E+001 
   1.056E-037    6.692E-052    6.692E-052   -1.387E+002    1.691E+001    1.295E+001    1.350E+001    1.518E+001    1.745E+001    1.973E+001    2.190E+001    2.369E+001    2.525E+001    2.651E+001    2.788E+001    2.948E+001    2.999E+001    2.757E+001    3.158E+001    3.161E+001    3.228E+001    3.497E+001    3.617E+001    3.437E+001    3.473E+001    3.518E+001    3.562E+001    3.591E+001    3.614E+001    3.646E+001    3.678E+001    3.710E+001    3.748E+001    3.760E+001    3.780E+001    3.799E+001    3.829E+001    3.843E+001    3.868E+001    3.880E+001    3.894E+001    3.918E+001    3.929E+001 
   2.204E-037    1.397E-051    1.397E-051   -1.387E+002    1.691E+001    1.295E+001    1.350E+001    1.518E+001    1.745E+001    1.973E+001    2.190E+001    2.369E+001    2.525E+001    2.651E+001    2.788E+001    2.948E+001    2.999E+001    2.757E+001    3.158E+001    3.161E+001    3.228E+001    3.497E+001    3.617E+001    3.437E+001    3.473E+001    3.518E+001    3.562E+001    3.591E+001    3.614E+001    3.646E+001    3.678E+001    3.710E+001    3.748E+001    3.760E+001    3.780E+001    3.799E+001    3.829E+001    3.843E+001    3.868E+001    3.880E+001    3.894E+001    3.918E+001    3.929E+001 
   4.128E-037    2.616E-051    2.616E-051   -1.387E+002    1.691E+001    1.295E+001    1.350E+001    1.518E+001    1.745E+001    1.973E+001    2.190E+001    2.369E+001    2.525E+001    2.651E+001    2.788E+001    2.948E+001    2.999E+001    2.757E+001    3.158E+001    3.161E+001    3.228E+001    3.497E+001    3.617E+001    3.437E+001    3.473E+001    3.518E+001    3.562E+001    3.591E+001    3.614E+001    3.646E+001    3.678E+001    3.710E+001    3.748E+001    3.760E+001    3.780E+001    3.799E+001    3.829E+001    3.843E+001    3.868E+001    3.880E+001    3.894E+001    3.918E+001    3.929E+001 
   6.052E-037    3.836E-051    3.836E-051   -1.387E+002    1.691E+001    1.295E+001    1.350E+001    1.518E+001    1.745E+001    1.973E+001    2.190E+001    2.369E+001    2.525E+001    2.651E+001    2.788E+001    2.948E+001    2.999E+001    2.757E+001    3.158E+001    3.161E+001    3.228E+001    3.497E+001    3.617E+001    3.437E+001    3.473E+001    3.518E+001    3.562E+001    3.591E+001    3.614E+001    3.646E+001    3.678E+001    3.710E+001    3.748E+001    3.760E+001    3.780E+001    3.799E+001    3.829E+001    3.843E+001    3.868E+001    3.880E+001    3.894E+001    3.918E+001    3.929E+001 
   7.976E-037    5.055E-051    5.055E-051   -1.387E+002    1.691E+001    1.295E+001    1.350E+001    1.518E+001    1.745E+001    1.973E+001    2.190E+001    2.369E+001    2.525E+001    2.651E+001    2.788E+001    2.948E+001    2.999E+001    2.757E+001    3.158E+001    3.161E+001    3.228E+001    3.497E+001    3.617E+001    3.437E+001    3.473E+001    3.518E+001    3.562E+001    3.591E+001    3.614E+001    3.646E+001    3.678E+001    3.710E+001    3.748E+001    3.760E+001    3.780E+001    3.799E+001    3.829E+001    3.843E+001    3.868E+001    3.880E+001    3.894E+001    3.918E+001    3.929E+001 
   1.435E-036    9.094E-051    9.094E-051   -1.387E+002    1.691E+001    1.295E+001    1.350E+001    1.518E+001    1.745E+001    1.973E+001    2.190E+001    2.369E+001    2.525E+001    2.651E+001    2.788E+001    2.948E+001    2.999E+001    2.757E+001    3.158E+001    3.161E+001    3.228E+001    3.497E+001    3.617E+001    3.437E+001    3.473E+001    3.518E+001    3.562E+001    3.591E+001    3.614E+001    3.646E+001    3.678E+001    3.710E+001    3.748E+001    3.760E+001    3.780E+001    3.799E+001    3.829E+001    3.843E+001    3.868E+001    3.880E+001    3.894E+001    3.918E+001    3.929E+001 
   2.072E-036    1.313E-050    1.313E-050   -1.387E+002    1.691E+001    1.295E+001    1.350E+001    1.518E+001    1.745E+001    1.973E+001    2.190E+001    2.369E+001    2.525E+001    2.651E+001    2.788E+001    2.948E+001    2.999E+001    2.757E+001    3.158E+001    3.161E+001    3.228E+001    3.497E+001    3.617E+001    3.437E+001    3.473E+001    3.518E+001    3.562E+001    3.591E+001    3.614E+001    3.646E+001    3.678E+001    3.710E+001    3.748E+001    3.760E+001    3.780E+001    3.799E+001    3.829E+001    3.843E+001    3.868E+001    3.880E+001    3.894E+001    3.918E+001    3.929E+001 
   2.709E-036    1.717E-050    1.717E-050   -1.387E+002    1.691E+001    1.295E+001    1.350E+001    1.518E+001    1.745E+001    1.973E+001    2.190E+001    2.369E+001    2.525E+001    2.651E+001    2.788E+001    2.948E+001    2.999E+001    2.757E+001    3.158E+001    3.161E+001    3.228E+001    3.497E+001    3.617E+001    3.437E+001    3.473E+001    3.518E+001    3.562E+001    3.591E+001    3.614E+001    3.646E+001    3.678E+001    3.710E+001    3.748E+001    3.760E+001    3.780E+001    3.799E+001    3.829E+001    3.843E+001    3.868E+001    3.880E+001    3.894E+001    3.918E+001    3.929E+001 
