    V   J   Energy(K)   log(N/g)
    0     0   0.000000E+000   5.082219E+001 
    0     1   1.705020E+002   4.961592E+001 
    0     2   5.098500E+002   4.294407E+001 
    0     3   1.015153E+003   4.211900E+001 
    0     4   1.681678E+003   4.144022E+001 
    0     5   2.503870E+003   4.079967E+001 
    0     6   3.474434E+003   4.011267E+001 
    0     7   4.586377E+003   3.937876E+001 
    0     8   5.829758E+003   3.857973E+001 
    1     0   5.987124E+003   3.676832E+001 
    1     1   6.149208E+003   3.659887E+001 
    1     2   6.471607E+003   3.656373E+001 
    1     3   6.951587E+003   3.629641E+001 
    0     9   7.196995E+003   3.767075E+001 
    1     4   7.584601E+003   3.613950E+001 
    1     5   8.365297E+003   3.580715E+001 
    0    10   8.677322E+003   3.676809E+001 
    1     6   9.286624E+003   3.556822E+001 
    0    11   1.026179E+004   3.561129E+001 
    1     7   1.034152E+004   3.516486E+001 
    1     8   1.152183E+004   3.485048E+001 
    2     0   1.163573E+004   3.463166E+001 
    2     1   1.178951E+004   3.445560E+001 
    0    12   1.194031E+004   3.470808E+001 
    2     2   1.209524E+004   3.446729E+001 
    2     3   1.255050E+004   3.419798E+001 
    1     9   1.281752E+004   3.432130E+001 
    2     4   1.315072E+004   3.411541E+001 
    0    13   1.370318E+004   3.336557E+001 
    2     5   1.389070E+004   3.378602E+001 
    1    10   1.422111E+004   3.392443E+001 
    2     6   1.476414E+004   3.360028E+001 
    0    14   1.554025E+004   3.267785E+001 
    1    11   1.572229E+004   3.321011E+001 
    2     7   1.576338E+004   3.321125E+001 
    2     8   1.688055E+004   3.296519E+001 
    3     0   1.695284E+004   3.305509E+001 
    3     1   1.709837E+004   3.291827E+001 
    1    12   1.731122E+004   3.275717E+001 
    3     2   1.738779E+004   3.291990E+001 
    0    15   1.744391E+004   3.125532E+001 
    3     3   1.781869E+004   3.269602E+001 
    2     9   1.810741E+004   3.250607E+001 
    3     4   1.838652E+004   3.261407E+001 
    1    13   1.897972E+004   3.189700E+001 
    3     5   1.908649E+004   3.233062E+001 
    0    16   1.940345E+004   3.090805E+001 
    2    10   1.943491E+004   3.218894E+001 
    3     6   1.991225E+004   3.213819E+001 
    1    14   2.071785E+004   3.134781E+001 
    2    11   2.085383E+004   3.158778E+001 
    3     7   2.085653E+004   3.178446E+001 
    0    17   2.141168E+004   2.939023E+001 
    3     8   2.191171E+004   3.149707E+001 
    4     0   2.194278E+004   3.162738E+001 
    4     1   2.208004E+004   3.157425E+001 
    4     2   2.235326E+004   3.148422E+001 
    2    12   2.235535E+004   3.120117E+001 
    1    15   2.251712E+004   3.035045E+001 
    4     3   2.275983E+004   3.132260E+001 
    3     9   2.306999E+004   3.099641E+001 
    4     4   2.329564E+004   3.115505E+001 
    0    18   2.345990E+004   2.929541E+001 
    2    13   2.393080E+004   3.050748E+001 
    4     5   2.395581E+004   3.094458E+001 
    3    10   2.432262E+004   3.048492E+001 
    1    16   2.436840E+004   2.979368E+001 
    4     6   2.473404E+004   3.055649E+001 
    0    19   2.553963E+004   2.790911E+001 
    2    14   2.557053E+004   2.992342E+001 
    4     7   2.562381E+004   3.022512E+001 
    3    11   2.565988E+004   2.994795E+001 
    1    17   2.626369E+004   2.870616E+001 
    5     0   2.660677E+004   2.993776E+001 
    4     8   2.661704E+004   2.979302E+001 
    5     1   2.673596E+004   2.991816E+001 
    5     2   2.699289E+004   2.976876E+001 
    3    12   2.707418E+004   2.947543E+001 
    2    15   2.726625E+004   2.906069E+001 
    5     3   2.737523E+004   2.963891E+001 
    0    20   2.764451E+004   2.791188E+001 
    4     9   2.770677E+004   2.937887E+001 
    5     4   2.787879E+004   2.938852E+001 
    1    18   2.819486E+004   2.828517E+001 
    5     5   2.849899E+004   2.918670E+001 
    3    13   2.855661E+004   2.881496E+001 
    4    10   2.888376E+004   2.850546E+001 
    2    16   2.900940E+004   2.841196E+001 
    5     6   2.922954E+004   2.847843E+001 
    0    21   2.976661E+004   2.669237E+001 
    5     7   3.006431E+004   2.813393E+001 
