    V   J   Energy(K)   log(N/g)
    0     0   0.000000E+000   5.281721E+001 
    0     1   1.705020E+002   5.078844E+001 
    0     2   5.098500E+002   4.250315E+001 
    0     3   1.015153E+003   4.173186E+001 
    0     4   1.681678E+003   4.106989E+001 
    0     5   2.503870E+003   4.033731E+001 
    0     6   3.474434E+003   3.947283E+001 
    0     7   4.586377E+003   3.847241E+001 
    0     8   5.829758E+003   3.747552E+001 
    1     0   5.987124E+003   3.574595E+001 
    1     1   6.149208E+003   3.554938E+001 
    1     2   6.471607E+003   3.550807E+001 
    1     3   6.951587E+003   3.522017E+001 
    0     9   7.196995E+003   3.626338E+001 
    1     4   7.584601E+003   3.504327E+001 
    1     5   8.365297E+003   3.468916E+001 
    0    10   8.677322E+003   3.530691E+001 
    1     6   9.286624E+003   3.443731E+001 
    0    11   1.026179E+004   3.391669E+001 
    1     7   1.034152E+004   3.401522E+001 
    1     8   1.152183E+004   3.371829E+001 
    2     0   1.163573E+004   3.361422E+001 
    2     1   1.178951E+004   3.342302E+001 
    0    12   1.194031E+004   3.320942E+001 
    2     2   1.209524E+004   3.343196E+001 
    2     3   1.255050E+004   3.315060E+001 
    1     9   1.281752E+004   3.318704E+001 
    2     4   1.315072E+004   3.306896E+001 
    0    13   1.370318E+004   3.181535E+001 
    2     5   1.389070E+004   3.274428E+001 
    1    10   1.422111E+004   3.284636E+001 
    2     6   1.476414E+004   3.255077E+001 
    0    14   1.554025E+004   3.141782E+001 
    1    11   1.572229E+004   3.215715E+001 
    2     7   1.576338E+004   3.216630E+001 
    2     8   1.688055E+004   3.193693E+001 
    3     0   1.695284E+004   3.210253E+001 
    3     1   1.709837E+004   3.194807E+001 
    1    12   1.731122E+004   3.178796E+001 
    3     2   1.738779E+004   3.196524E+001 
    0    15   1.744391E+004   3.008727E+001 
    3     3   1.781869E+004   3.172321E+001 
    2     9   1.810741E+004   3.149851E+001 
    3     4   1.838652E+004   3.165411E+001 
    1    13   1.897972E+004   3.096436E+001 
    3     5   1.908649E+004   3.137613E+001 
    0    16   1.940345E+004   2.988587E+001 
    2    10   1.943491E+004   3.123231E+001 
    3     6   1.991225E+004   3.118412E+001 
    1    14   2.071785E+004   3.050384E+001 
    2    11   2.085383E+004   3.069973E+001 
    3     7   2.085653E+004   3.081552E+001 
    0    17   2.141168E+004   2.861418E+001 
    3     8   2.191171E+004   3.056281E+001 
    4     0   2.194278E+004   3.078729E+001 
    4     1   2.208004E+004   3.071105E+001 
    4     2   2.235326E+004   3.065597E+001 
    2    12   2.235535E+004   3.039423E+001 
    1    15   2.251712E+004   2.958869E+001 
    4     3   2.275983E+004   3.048086E+001 
    3     9   2.306999E+004   3.013886E+001 
    4     4   2.329564E+004   3.034230E+001 
    0    18   2.345990E+004   2.846195E+001 
    2    13   2.393080E+004   2.975525E+001 
    4     5   2.395581E+004   3.014338E+001 
    3    10   2.432262E+004   2.967817E+001 
    1    16   2.436840E+004   2.905935E+001 
    4     6   2.473404E+004   2.975165E+001 
    0    19   2.553963E+004   2.738839E+001 
    2    14   2.557053E+004   2.924754E+001 
    4     7   2.562381E+004   2.943677E+001 
    3    11   2.565988E+004   2.920425E+001 
    1    17   2.626369E+004   2.813007E+001 
    5     0   2.660677E+004   2.926386E+001 
    4     8   2.661704E+004   2.905982E+001 
    5     1   2.673596E+004   2.922362E+001 
    5     2   2.699289E+004   2.910901E+001 
    3    12   2.707418E+004   2.882506E+001 
    2    15   2.726625E+004   2.847135E+001 
    5     3   2.737523E+004   2.895906E+001 
    0    20   2.764451E+004   2.722158E+001 
    4     9   2.770677E+004   2.868813E+001 
    5     4   2.787879E+004   2.875342E+001 
    1    18   2.819486E+004   2.768212E+001 
    5     5   2.849899E+004   2.855855E+001 
    3    13   2.855661E+004   2.825679E+001 
    4    10   2.888376E+004   2.785951E+001 
    2    16   2.900940E+004   2.784706E+001 
    5     6   2.922954E+004   2.783985E+001 
    0    21   2.976661E+004   2.640562E+001 
    5     7   3.006431E+004   2.753214E+001 
    3    14   3.009785E+004   2.773574E+001 
    4    11   3.013990E+004   2.739530E+001 
    1    19   3.015462E+004   2.690587E+001 
    2    17   3.079235E+004   2.700728E+001 
    6     0   3.094320E+004   2.706575E+001 
    5     8   3.099552E+004   2.698939E+001 
    6     1   3.106412E+004   2.702558E+001 
    6     2   3.130464E+004   2.686325E+001 
    4    12   3.146651E+004   2.703328E+001 
    6     3   3.166233E+004   2.667764E+001 
    3    15   3.169026E+004   2.709170E+001 
    0    22   3.190031E+004   2.596707E+001 
    5     9   3.201575E+004   2.657634E+001 
    6     4   3.213322E+004   2.655058E+001 
    1    20   3.213454E+004   2.650152E+001 
    2    18   3.260639E+004   2.655170E+001 
    6     5   3.271272E+004   2.665451E+001 
    4    13   3.285516E+004   2.651978E+001 
    5    10   3.311646E+004   2.631623E+001 
    3    16   3.332489E+004   2.676947E+001 
    6     6   3.339496E+004   2.584318E+001 
    0    23   3.403759E+004   2.553073E+001 
    1    21   3.412953E+004   2.607987E+001 
    6     7   3.417362E+004   2.574576E+001 
    5    11   3.428978E+004   2.609258E+001 
    4    14   3.429681E+004   2.645187E+001 
    2    19   3.444505E+004   2.589400E+001 
    7     0   3.494622E+004   2.669122E+001 
    3    17   3.499413E+004   2.631982E+001 
    6     8   3.504117E+004   2.561654E+001 
    7     1   3.505878E+004   2.543825E+001 
    7     2   3.528236E+004   2.539050E+001 
    5    12   3.552731E+004   2.595779E+001 
    7     3   3.561473E+004   2.526855E+001 
    4    15   3.578419E+004   2.617056E+001 
    6     9   3.599047E+004   2.554468E+001 
    7     4   3.605189E+004   2.525340E+001 
    1    22   3.613139E+004   2.523891E+001 
    0    24   3.617459E+004   2.448384E+001 
    2    20   3.629979E+004   2.547819E+001 
    7     5   3.658964E+004   2.513475E+001 
    3    18   3.668984E+004   2.569487E+001 
    5    13   3.682003E+004   2.566872E+001 
    6    10   3.701302E+004   2.538193E+001 
    7     6   3.722192E+004   2.497752E+001 
    4    16   3.730808E+004   2.564349E+001 
    7     7   3.794263E+004   2.493127E+001 
    6    11   3.810113E+004   2.528613E+001 
    1    23   3.813447E+004   2.485254E+001 
    5    14   3.815979E+004   2.554678E+001 
    2    21   3.816475E+004   2.514353E+001 
    0    25   3.830484E+004   2.454646E+001 
    3    19   3.840503E+004   2.477086E+001 
    8     0   3.860553E+004   2.472364E+001 
    8     1   3.870915E+004   2.472984E+001 
    7     8   3.874438E+004   2.431362E+001 
    4    17   3.886111E+004   2.539563E+001 
    8     2   3.891514E+004   2.466245E+001 
    8     3   3.922109E+004   2.432793E+001 
