          distance              timeN                 Tn          C(3P-J=0)          C(3P-J=1)          C(3P-J=2)          C(1D-J=2)          C(1S-J=0)        N(4S-J=3/2)        N(2D-J=5/2)        N(2D-J=3/2)        N(2P-J=1/2)        N(2P-J=3/2)          O(3P-J=2)          O(3P-J=1)          O(3P-J=0)          O(1D-J=2)          O(1S-J=0)          S(3P-J=2)          S(3P-J=1)          S(3P-J=0)          S(1D-J=2)          S(1S-J=0)         Si(3P-J=0)         Si(3P-J=1)         Si(3P-J=2)         Si(1D-J=2)         Si(1S-J=0)       C+(2P-J=1/2)       C+(2P-J=3/2)       C+(4P-J=1/2)       C+(4P-J=3/2)       C+(4P-J=5/2)         N+(3P-J=0)         N+(3P-J=1)         N+(3P-J=2)         N+(1D-J=2)         N+(1S-J=0)       O+(4S-J=3/2)       O+(2D-J=5/2)       O+(2D-J=3/2)       O+(2P-J=3/2)       O+(2P-J=1/2)       S+(4S-J=3/2)       S+(2D-J=3/2)       S+(2D-J=5/2)       S+(2P-J=1/2)       S+(2P-J=3/2)      Si+(2P-J=1/2)      Si+(2P-J=3/2)      Si+(4P-J=1/2)      Si+(4P-J=3/2)      Si+(4P-J=5/2) 
  6.955104694E-003   6.297110203E-017   4.575000000E+001   2.663589666E-001   4.597706350E-001   2.738703985E-001   0.000000000E+000   0.000000000E+000   1.000000000E+000   9.482614596E-269   1.728117252E-269   1.105273498E-298   1.610380096E-288   9.999615072E-001   2.968374430E-005   8.809008662E-006   1.621420590E-023   1.411780448E-025   9.999999990E-001   9.613243059E-010   9.362612553E-012   0.000000000E+000   0.000000000E+000   9.876186779E-001   1.233201312E-002   4.930899741E-005   0.000000000E+000   0.000000000E+000   8.779362995E-001   1.220637005E-001   0.000000000E+000   0.000000000E+000   0.000000000E+000   9.967495889E-001   3.208766809E-003   4.164433429E-005   1.505108523E-022   5.376184124E-025   1.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   1.000000000E+000   3.439021760E-207   6.420743834E-207   0.000000000E+000   0.000000000E+000   9.999972750E-001   2.724952244E-006   0.000000000E+000   0.000000000E+000   0.000000000E+000 
  8.123971312E-003   7.355395051E-017   4.575000000E+001   2.663589666E-001   4.597706350E-001   2.738703985E-001   0.000000000E+000   0.000000000E+000   1.000000000E+000   9.482614596E-269   1.728117252E-269   1.105273498E-298   1.610380096E-288   9.999615072E-001   2.968374430E-005   8.809008662E-006   1.621420590E-023   1.411780448E-025   9.999999990E-001   9.613243059E-010   9.362612553E-012   0.000000000E+000   0.000000000E+000   9.876186779E-001   1.233201312E-002   4.930899741E-005   0.000000000E+000   0.000000000E+000   8.779362995E-001   1.220637005E-001   0.000000000E+000   0.000000000E+000   0.000000000E+000   9.967495889E-001   3.208766809E-003   4.164433429E-005   1.505108523E-022   5.376184124E-025   1.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   1.000000000E+000   3.439021760E-207   6.420743834E-207   0.000000000E+000   0.000000000E+000   9.999972750E-001   2.724952244E-006   0.000000000E+000   0.000000000E+000   0.000000000E+000 
  9.292837931E-003   8.413679898E-017   4.575000000E+001   2.663589666E-001   4.597706350E-001   2.738703985E-001   0.000000000E+000   0.000000000E+000   1.000000000E+000   9.482614596E-269   1.728117252E-269   1.105273498E-298   1.610380096E-288   9.999615072E-001   2.968374430E-005   8.809008662E-006   1.621420590E-023   1.411780448E-025   9.999999990E-001   9.613243059E-010   9.362612553E-012   0.000000000E+000   0.000000000E+000   9.876186779E-001   1.233201312E-002   4.930899741E-005   0.000000000E+000   0.000000000E+000   8.779362995E-001   1.220637005E-001   0.000000000E+000   0.000000000E+000   0.000000000E+000   9.967495889E-001   3.208766809E-003   4.164433429E-005   1.505108523E-022   5.376184124E-025   1.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   1.000000000E+000   3.439021760E-207   6.420743834E-207   0.000000000E+000   0.000000000E+000   9.999972750E-001   2.724952244E-006   0.000000000E+000   0.000000000E+000   0.000000000E+000 
  1.119121240E-002   1.013245679E-016   4.575000000E+001   2.663589666E-001   4.597706350E-001   2.738703985E-001   0.000000000E+000   0.000000000E+000   1.000000000E+000   9.482614596E-269   1.728117252E-269   1.105273498E-298   1.610380096E-288   9.999615072E-001   2.968374430E-005   8.809008662E-006   1.621420590E-023   1.411780448E-025   9.999999990E-001   9.613243059E-010   9.362612553E-012   0.000000000E+000   0.000000000E+000   9.876186779E-001   1.233201312E-002   4.930899741E-005   0.000000000E+000   0.000000000E+000   8.779362995E-001   1.220637005E-001   0.000000000E+000   0.000000000E+000   0.000000000E+000   9.967495889E-001   3.208766809E-003   4.164433429E-005   1.505108523E-022   5.376184124E-025   1.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   1.000000000E+000   3.439021760E-207   6.420743834E-207   0.000000000E+000   0.000000000E+000   9.999972750E-001   2.724952244E-006   0.000000000E+000   0.000000000E+000   0.000000000E+000 
  1.308958687E-002   1.185123368E-016   4.575000000E+001   2.663589666E-001   4.597706350E-001   2.738703985E-001   0.000000000E+000   0.000000000E+000   1.000000000E+000   9.482614596E-269   1.728117252E-269   1.105273498E-298   1.610380096E-288   9.999615072E-001   2.968374430E-005   8.809008662E-006   1.621420590E-023   1.411780448E-025   9.999999990E-001   9.613243059E-010   9.362612553E-012   0.000000000E+000   0.000000000E+000   9.876186779E-001   1.233201312E-002   4.930899741E-005   0.000000000E+000   0.000000000E+000   8.779362995E-001   1.220637005E-001   0.000000000E+000   0.000000000E+000   0.000000000E+000   9.967495889E-001   3.208766809E-003   4.164433429E-005   1.505108523E-022   5.376184124E-025   1.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   1.000000000E+000   3.439021760E-207   6.420743834E-207   0.000000000E+000   0.000000000E+000   9.999972750E-001   2.724952244E-006   0.000000000E+000   0.000000000E+000   0.000000000E+000 
  1.498796133E-002   1.357001057E-016   4.575000000E+001   2.663589666E-001   4.597706350E-001   2.738703985E-001   0.000000000E+000   0.000000000E+000   1.000000000E+000   9.482614596E-269   1.728117252E-269   1.105273498E-298   1.610380096E-288   9.999615072E-001   2.968374430E-005   8.809008662E-006   1.621420590E-023   1.411780448E-025   9.999999990E-001   9.613243059E-010   9.362612553E-012   0.000000000E+000   0.000000000E+000   9.876186779E-001   1.233201312E-002   4.930899741E-005   0.000000000E+000   0.000000000E+000   8.779362995E-001   1.220637005E-001   0.000000000E+000   0.000000000E+000   0.000000000E+000   9.967495889E-001   3.208766809E-003   4.164433429E-005   1.505108523E-022   5.376184124E-025   1.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   1.000000000E+000   3.439021760E-207   6.420743834E-207   0.000000000E+000   0.000000000E+000   9.999972750E-001   2.724952244E-006   0.000000000E+000   0.000000000E+000   0.000000000E+000 
  1.688633580E-002   1.528878746E-016   4.575000000E+001   2.663589666E-001   4.597706350E-001   2.738703985E-001   0.000000000E+000   0.000000000E+000   1.000000000E+000   9.482614596E-269   1.728117252E-269   1.105273498E-298   1.610380096E-288   9.999615072E-001   2.968374430E-005   8.809008662E-006   1.621420590E-023   1.411780448E-025   9.999999990E-001   9.613243059E-010   9.362612553E-012   0.000000000E+000   0.000000000E+000   9.876186779E-001   1.233201312E-002   4.930899741E-005   0.000000000E+000   0.000000000E+000   8.779362995E-001   1.220637005E-001   0.000000000E+000   0.000000000E+000   0.000000000E+000   9.967495889E-001   3.208766809E-003   4.164433429E-005   1.505108523E-022   5.376184124E-025   1.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   1.000000000E+000   3.439021760E-207   6.420743834E-207   0.000000000E+000   0.000000000E+000   9.999972750E-001   2.724952244E-006   0.000000000E+000   0.000000000E+000   0.000000000E+000 
  2.090901569E-002   1.893089778E-016   4.575000000E+001   2.663589666E-001   4.597706350E-001   2.738703985E-001   0.000000000E+000   0.000000000E+000   1.000000000E+000   9.482614596E-269   1.728117252E-269   1.105273498E-298   1.610380096E-288   9.999615072E-001   2.968374430E-005   8.809008662E-006   1.621420590E-023   1.411780448E-025   9.999999990E-001   9.613243059E-010   9.362612553E-012   0.000000000E+000   0.000000000E+000   9.876186779E-001   1.233201312E-002   4.930899741E-005   0.000000000E+000   0.000000000E+000   8.779362995E-001   1.220637005E-001   0.000000000E+000   0.000000000E+000   0.000000000E+000   9.967495889E-001   3.208766809E-003   4.164433429E-005   1.505108523E-022   5.376184124E-025   1.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   1.000000000E+000   3.439021760E-207   6.420743834E-207   0.000000000E+000   0.000000000E+000   9.999972750E-001   2.724952244E-006   0.000000000E+000   0.000000000E+000   0.000000000E+000 
  2.493169558E-002   2.257300810E-016   4.575000000E+001   2.663589666E-001   4.597706350E-001   2.738703985E-001   0.000000000E+000   0.000000000E+000   1.000000000E+000   9.482614596E-269   1.728117252E-269   1.105273498E-298   1.610380096E-288   9.999615072E-001   2.968374430E-005   8.809008662E-006   1.621420590E-023   1.411780448E-025   9.999999990E-001   9.613243059E-010   9.362612553E-012   0.000000000E+000   0.000000000E+000   9.876186779E-001   1.233201312E-002   4.930899741E-005   0.000000000E+000   0.000000000E+000   8.779362995E-001   1.220637005E-001   0.000000000E+000   0.000000000E+000   0.000000000E+000   9.967495889E-001   3.208766809E-003   4.164433429E-005   1.505108523E-022   5.376184124E-025   1.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   1.000000000E+000   3.439021760E-207   6.420743834E-207   0.000000000E+000   0.000000000E+000   9.999972750E-001   2.724952244E-006   0.000000000E+000   0.000000000E+000   0.000000000E+000 
  2.895437547E-002   2.621511842E-016   4.575000000E+001   2.663589666E-001   4.597706350E-001   2.738703985E-001   0.000000000E+000   0.000000000E+000   1.000000000E+000   9.482614596E-269   1.728117252E-269   1.105273498E-298   1.610380096E-288   9.999615072E-001   2.968374430E-005   8.809008662E-006   1.621420590E-023   1.411780448E-025   9.999999990E-001   9.613243059E-010   9.362612553E-012   0.000000000E+000   0.000000000E+000   9.876186779E-001   1.233201312E-002   4.930899741E-005   0.000000000E+000   0.000000000E+000   8.779362995E-001   1.220637005E-001   0.000000000E+000   0.000000000E+000   0.000000000E+000   9.967495889E-001   3.208766809E-003   4.164433429E-005   1.505108523E-022   5.376184124E-025   1.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   1.000000000E+000   3.439021760E-207   6.420743834E-207   0.000000000E+000   0.000000000E+000   9.999972750E-001   2.724952244E-006   0.000000000E+000   0.000000000E+000   0.000000000E+000 
  3.297705536E-002   2.985722874E-016   4.575000000E+001   2.663589666E-001   4.597706350E-001   2.738703985E-001   0.000000000E+000   0.000000000E+000   1.000000000E+000   9.482614596E-269   1.728117252E-269   1.105273498E-298   1.610380096E-288   9.999615072E-001   2.968374430E-005   8.809008662E-006   1.621420590E-023   1.411780448E-025   9.999999990E-001   9.613243059E-010   9.362612553E-012   0.000000000E+000   0.000000000E+000   9.876186779E-001   1.233201312E-002   4.930899741E-005   0.000000000E+000   0.000000000E+000   8.779362995E-001   1.220637005E-001   0.000000000E+000   0.000000000E+000   0.000000000E+000   9.967495889E-001   3.208766809E-003   4.164433429E-005   1.505108523E-022   5.376184124E-025   1.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   1.000000000E+000   3.439021760E-207   6.420743834E-207   0.000000000E+000   0.000000000E+000   9.999972750E-001   2.724952244E-006   0.000000000E+000   0.000000000E+000   0.000000000E+000 
  3.699973525E-002   3.349933906E-016   4.575000000E+001   2.663589666E-001   4.597706350E-001   2.738703985E-001   0.000000000E+000   0.000000000E+000   1.000000000E+000   9.482614596E-269   1.728117252E-269   1.105273498E-298   1.610380096E-288   9.999615072E-001   2.968374430E-005   8.809008662E-006   1.621420590E-023   1.411780448E-025   9.999999990E-001   9.613243059E-010   9.362612553E-012   0.000000000E+000   0.000000000E+000   9.876186779E-001   1.233201312E-002   4.930899741E-005   0.000000000E+000   0.000000000E+000   8.779362995E-001   1.220637005E-001   0.000000000E+000   0.000000000E+000   0.000000000E+000   9.967495889E-001   3.208766809E-003   4.164433429E-005   1.505108523E-022   5.376184124E-025   1.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   1.000000000E+000   3.439021760E-207   6.420743834E-207   0.000000000E+000   0.000000000E+000   9.999972750E-001   2.724952244E-006   0.000000000E+000   0.000000000E+000   0.000000000E+000 
  4.102241514E-002   3.714144938E-016   4.575000000E+001   2.663589666E-001   4.597706350E-001   2.738703985E-001   0.000000000E+000   0.000000000E+000   1.000000000E+000   9.482614596E-269   1.728117252E-269   1.105273498E-298   1.610380096E-288   9.999615072E-001   2.968374430E-005   8.809008662E-006   1.621420590E-023   1.411780448E-025   9.999999990E-001   9.613243059E-010   9.362612553E-012   0.000000000E+000   0.000000000E+000   9.876186779E-001   1.233201312E-002   4.930899741E-005   0.000000000E+000   0.000000000E+000   8.779362995E-001   1.220637005E-001   0.000000000E+000   0.000000000E+000   0.000000000E+000   9.967495889E-001   3.208766809E-003   4.164433429E-005   1.505108523E-022   5.376184124E-025   1.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   1.000000000E+000   3.439021760E-207   6.420743834E-207   0.000000000E+000   0.000000000E+000   9.999972750E-001   2.724952244E-006   0.000000000E+000   0.000000000E+000   0.000000000E+000 
  4.504509503E-002   4.078355970E-016   4.575000000E+001   2.663589666E-001   4.597706350E-001   2.738703985E-001   0.000000000E+000   0.000000000E+000   1.000000000E+000   9.482614596E-269   1.728117252E-269   1.105273498E-298   1.610380096E-288   9.999615072E-001   2.968374430E-005   8.809008662E-006   1.621420590E-023   1.411780448E-025   9.999999990E-001   9.613243059E-010   9.362612553E-012   0.000000000E+000   0.000000000E+000   9.876186779E-001   1.233201312E-002   4.930899741E-005   0.000000000E+000   0.000000000E+000   8.779362995E-001   1.220637005E-001   0.000000000E+000   0.000000000E+000   0.000000000E+000   9.967495889E-001   3.208766809E-003   4.164433429E-005   1.505108523E-022   5.376184124E-025   1.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   1.000000000E+000   3.439021760E-207   6.420743834E-207   0.000000000E+000   0.000000000E+000   9.999972750E-001   2.724952244E-006   0.000000000E+000   0.000000000E+000   0.000000000E+000 
  4.906777492E-002   4.442567002E-016   4.575000000E+001   2.663589666E-001   4.597706350E-001   2.738703985E-001   0.000000000E+000   0.000000000E+000   1.000000000E+000   9.482614596E-269   1.728117252E-269   1.105273498E-298   1.610380096E-288   9.999615072E-001   2.968374430E-005   8.809008662E-006   1.621420590E-023   1.411780448E-025   9.999999990E-001   9.613243059E-010   9.362612553E-012   0.000000000E+000   0.000000000E+000   9.876186779E-001   1.233201312E-002   4.930899741E-005   0.000000000E+000   0.000000000E+000   8.779362995E-001   1.220637005E-001   0.000000000E+000   0.000000000E+000   0.000000000E+000   9.967495889E-001   3.208766809E-003   4.164433429E-005   1.505108523E-022   5.376184124E-025   1.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   1.000000000E+000   3.439021760E-207   6.420743834E-207   0.000000000E+000   0.000000000E+000   9.999972750E-001   2.724952244E-006   0.000000000E+000   0.000000000E+000   0.000000000E+000 
  5.533029037E-002   5.009571406E-016   4.575000000E+001   2.663589666E-001   4.597706350E-001   2.738703985E-001   0.000000000E+000   0.000000000E+000   1.000000000E+000   9.482614596E-269   1.728117252E-269   1.105273498E-298   1.610380096E-288   9.999615072E-001   2.968374430E-005   8.809008662E-006   1.621420590E-023   1.411780448E-025   9.999999990E-001   9.613243059E-010   9.362612553E-012   0.000000000E+000   0.000000000E+000   9.876186779E-001   1.233201312E-002   4.930899741E-005   0.000000000E+000   0.000000000E+000   8.779362995E-001   1.220637005E-001   0.000000000E+000   0.000000000E+000   0.000000000E+000   9.967495889E-001   3.208766809E-003   4.164433429E-005   1.505108523E-022   5.376184124E-025   1.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   1.000000000E+000   3.439021760E-207   6.420743834E-207   0.000000000E+000   0.000000000E+000   9.999972750E-001   2.724952244E-006   0.000000000E+000   0.000000000E+000   0.000000000E+000 
