          distance              timeN                 Tn           C+(158m)        C+(2324.7A)        C+(2323.5A)        C+(2328.1A)        C+(2326.9A)        C+(2325.4A)         Si+(34.8m)         H(1215.7A)         H(1025.7A)          C(609.8m)          C(370.4m)           C(9850A)           C(9824A)         Si(129.7m)          Si(68.5m)           O(63.2m)          O(145.3m)           O(6300A)           O(6363A)          S+(6731A)          S+(6716A)         N+(205.3m)         N+(121.8m)          N+(6527A)          N+(6548A)          N+(6583A)           N(5200A)           N(5197A)           S(25.2m) 
  6.955104694E-003   6.297110203E-017   4.575000000E+001   1.631174799E-025   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   4.312829019E-028   0.000000000E+000   0.000000000E+000   3.688770922E-026   1.208864262E-025   0.000000000E+000   0.000000000E+000   6.222534785E-027   2.404666472E-028   4.627564774E-026   1.169891818E-027   2.010089731E-040   6.435751852E-041   1.479069490E-227   8.157785551E-228   1.131043664E-033   8.875661230E-035   4.291699350E-051   8.076325366E-048   2.378055005E-047   9.309631634E-289   4.716191205E-289   1.753752054E-031 
  8.123971312E-003   7.355395051E-017   4.575000000E+001   1.905313065E-025   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   5.037651073E-028   0.000000000E+000   0.000000000E+000   4.308712613E-026   1.412028235E-025   0.000000000E+000   0.000000000E+000   7.268305536E-027   2.808799184E-028   5.405281903E-026   1.366506009E-027   2.347909143E-040   7.517356259E-041   1.727644655E-227   9.528798139E-228   1.321128962E-033   1.036732134E-034   5.012970313E-051   9.433647604E-048   2.777715345E-047   1.087422561E-288   5.508803056E-289   2.048490881E-031 
  9.292837931E-003   8.413679898E-017   4.575000000E+001   2.179451330E-025   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   5.762473126E-028   0.000000000E+000   0.000000000E+000   4.928654304E-026   1.615192208E-025   0.000000000E+000   0.000000000E+000   8.314076287E-027   3.212931897E-028   6.182999032E-026   1.563120201E-027   2.685728556E-040   8.598960666E-041   1.976219820E-227   1.089981073E-227   1.511214261E-033   1.185898145E-034   5.734241275E-051   1.079096984E-047   3.177375685E-047   1.243881959E-288   6.301414908E-289   2.343229708E-031 
  1.119121240E-002   1.013245679E-016   4.575000000E+001   2.624683554E-025   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   6.939667904E-028   0.000000000E+000   0.000000000E+000   5.935511253E-026   1.945153978E-025   0.000000000E+000   0.000000000E+000   1.001252884E-026   3.869290125E-028   7.446101525E-026   1.882444369E-027   3.234386322E-040   1.035561122E-040   2.379934615E-227   1.312649361E-227   1.819934753E-033   1.428160984E-034   6.905668670E-051   1.299541801E-047   3.826470264E-047   1.497990103E-288   7.588708152E-289   2.821919624E-031 
  1.308958687E-002   1.185123368E-016   4.575000000E+001   3.069915778E-025   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   8.116862683E-028   0.000000000E+000   0.000000000E+000   6.942368201E-026   2.275115748E-025   0.000000000E+000   0.000000000E+000   1.171098139E-026   4.525648353E-028   8.709204019E-026   2.201768537E-027   3.783044088E-040   1.211226177E-040   2.783649409E-227   1.535317649E-227   2.128655244E-033   1.670423824E-034   8.077096066E-051   1.519986619E-047   4.475564842E-047   1.752098246E-288   8.876001396E-289   3.300609540E-031 
  1.498796133E-002   1.357001057E-016   4.575000000E+001   3.515148002E-025   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   9.294057461E-028   0.000000000E+000   0.000000000E+000   7.949225150E-026   2.605077518E-025   0.000000000E+000   0.000000000E+000   1.340943394E-026   5.182006582E-028   9.972306512E-026   2.521092705E-027   4.331701854E-040   1.386891232E-040   3.187364203E-227   1.757985937E-227   2.437375736E-033   1.912686664E-034   9.248523462E-051   1.740431436E-047   5.124659421E-047   2.006206390E-288   1.016329464E-288   3.779299456E-031 
  1.688633580E-002   1.528878746E-016   4.575000000E+001   3.960380226E-025   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   1.047125224E-027   0.000000000E+000   0.000000000E+000   8.956082099E-026   2.935039288E-025   0.000000000E+000   0.000000000E+000   1.510788650E-026   5.838364810E-028   1.123540901E-025   2.840416873E-027   4.880359620E-040   1.562556287E-040   3.591078998E-227   1.980654226E-227   2.746096228E-033   2.154949503E-034   1.041995086E-050   1.960876253E-047   5.773754000E-047   2.260314533E-288   1.145058788E-288   4.257989372E-031 
  2.090901569E-002   1.893089778E-016   4.575000000E+001   4.903833030E-025   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   1.296574310E-027   0.000000000E+000   0.000000000E+000   1.108962491E-025   3.634232519E-025   0.000000000E+000   0.000000000E+000   1.870692928E-026   7.229196330E-028   1.391193942E-025   3.517068889E-027   6.042972476E-040   1.934792796E-040   4.446555834E-227   2.452491190E-227   3.400278916E-033   2.668307574E-034   1.290222056E-050   2.428001654E-047   7.149193752E-047   2.798772954E-288   1.417837881E-288   5.272339455E-031 
  2.493169558E-002   2.257300810E-016   4.575000000E+001   5.847285833E-025   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   1.546023396E-027   0.000000000E+000   0.000000000E+000   1.322316772E-025   4.333425750E-025   0.000000000E+000   0.000000000E+000   2.230597206E-026   8.620027850E-028   1.658846983E-025   4.193720905E-027   7.205585333E-040   2.307029305E-040   5.302032671E-227   2.924328154E-227   4.054461605E-033   3.181665644E-034   1.538449026E-050   2.895127054E-047   8.524633505E-047   3.337231375E-288   1.690616974E-288   6.286689538E-031 
  2.895437547E-002   2.621511842E-016   4.575000000E+001   6.790738637E-025   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   1.795472482E-027   0.000000000E+000   0.000000000E+000   1.535671054E-025   5.032618981E-025   0.000000000E+000   0.000000000E+000   2.590501485E-026   1.001085937E-027   1.926500025E-025   4.870372920E-027   8.368198189E-040   2.679265814E-040   6.157509508E-227   3.396165118E-227   4.708644294E-033   3.695023714E-034   1.786675997E-050   3.362252454E-047   9.900073258E-047   3.875689796E-288   1.963396066E-288   7.301039621E-031 
  3.297705536E-002   2.985722874E-016   4.575000000E+001   7.734191441E-025   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   2.044921569E-027   0.000000000E+000   0.000000000E+000   1.749025335E-025   5.731812211E-025   0.000000000E+000   0.000000000E+000   2.950405763E-026   1.140169089E-027   2.194153066E-025   5.547024936E-027   9.530811045E-040   3.051502323E-040   7.012986345E-227   3.868002082E-227   5.362826983E-033   4.208381785E-034   2.034902967E-050   3.829377855E-047   1.127551301E-046   4.414148217E-288   2.236175159E-288   8.315389703E-031 
  3.699973525E-002   3.349933906E-016   4.575000000E+001   8.677644244E-025   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   2.294370655E-027   0.000000000E+000   0.000000000E+000   1.962379616E-025   6.431005442E-025   0.000000000E+000   0.000000000E+000   3.310310042E-026   1.279252241E-027   2.461806108E-025   6.223676952E-027   1.069342390E-039   3.423738832E-040   7.868463182E-227   4.339839046E-227   6.017009672E-033   4.721739855E-034   2.283129938E-050   4.296503255E-047   1.265095276E-046   4.952606638E-288   2.508954251E-288   9.329739786E-031 
  4.102241514E-002   3.714144938E-016   4.575000000E+001   9.621097048E-025   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   2.543819741E-027   0.000000000E+000   0.000000000E+000   2.175733898E-025   7.130198673E-025   0.000000000E+000   0.000000000E+000   3.670214320E-026   1.418335393E-027   2.729459149E-025   6.900328968E-027   1.185603676E-039   3.795975342E-040   8.723940019E-227   4.811676010E-227   6.671192360E-033   5.235097926E-034   2.531356908E-050   4.763628655E-047   1.402639252E-046   5.491065059E-288   2.781733344E-288   1.034408987E-030 
  4.504509503E-002   4.078355970E-016   4.575000000E+001   1.056454985E-024   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   2.793268827E-027   0.000000000E+000   0.000000000E+000   2.389088179E-025   7.829391904E-025   0.000000000E+000   0.000000000E+000   4.030118598E-026   1.557418545E-027   2.997112191E-025   7.576980983E-027   1.301864961E-039   4.168211851E-040   9.579416856E-227   5.283512974E-227   7.325375049E-033   5.748455996E-034   2.779583878E-050   5.230754056E-047   1.540183227E-046   6.029523480E-288   3.054512436E-288   1.135843995E-030 
  4.906777492E-002   4.442567002E-016   4.575000000E+001   1.150800266E-024   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   3.042717913E-027   0.000000000E+000   0.000000000E+000   2.602442460E-025   8.528585134E-025   0.000000000E+000   0.000000000E+000   4.390022877E-026   1.696501697E-027   3.264765232E-025   8.253632999E-027   1.418126247E-039   4.540448360E-040   1.043489369E-226   5.755349938E-227   7.979557738E-033   6.261814066E-034   3.027810849E-050   5.697879456E-047   1.677727202E-046   6.567981901E-288   3.327291529E-288   1.237279004E-030 
  5.533029037E-002   5.009571406E-016   4.575000000E+001   1.297677172E-024   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   3.431060710E-027   0.000000000E+000   0.000000000E+000   2.934592798E-025   9.617090442E-025   0.000000000E+000   0.000000000E+000   4.950322519E-026   1.913026604E-027   3.681447979E-025   9.307046102E-027   1.599122030E-039   5.119946842E-040   1.176670161E-226   6.489906592E-227   8.997990551E-033   7.061010855E-034   3.414251053E-050   6.425101139E-047   1.891855916E-046   7.406254962E-288   3.751954522E-288   1.395193211E-030 
  6.159280582E-002   5.576575811E-016   4.575000000E+001   1.444554078E-024   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   3.819403506E-027   0.000000000E+000   0.000000000E+000   3.266743135E-025   1.070559575E-024   0.000000000E+000   0.000000000E+000   5.510622162E-026   2.129551511E-027   4.098130726E-025   1.036045920E-026   1.780117814E-039   5.699445324E-040   1.309850952E-226   7.224463245E-227   1.001642336E-032   7.860207643E-034   3.800691257E-050   7.152322821E-047   2.105984630E-046   8.244528022E-288   4.176617515E-288   1.553107419E-030 
  6.785532127E-002   6.143580215E-016   4.575000000E+001   1.591430984E-024   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   4.207746302E-027   0.000000000E+000   0.000000000E+000   3.598893473E-025   1.179410106E-024   0.000000000E+000   0.000000000E+000   6.070921805E-026   2.346076417E-027   4.514813474E-025   1.141387231E-026   1.961113597E-039   6.278943806E-040   1.443031743E-226   7.959019899E-227   1.103485618E-032   8.659404431E-034   4.187131461E-050   7.879544504E-047   2.320113343E-046   9.082801083E-288   4.601280508E-288   1.711021626E-030 
  7.411783673E-002   6.710584620E-016   4.575000000E+001   1.738307890E-024   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   4.596089098E-027   0.000000000E+000   0.000000000E+000   3.931043810E-025   1.288260637E-024   0.000000000E+000   0.000000000E+000   6.631221447E-026   2.562601324E-027   4.931496221E-025   1.246728541E-026   2.142109380E-039   6.858442288E-040   1.576212535E-226   8.693576553E-227   1.205328899E-032   9.458601219E-034   4.573571665E-050   8.606766187E-047   2.534242057E-046   9.921074143E-288   5.025943501E-288   1.868935834E-030 
  8.403280983E-002   7.608280356E-016   4.575000000E+001   1.970847128E-024   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   5.210923250E-027   0.000000000E+000   0.000000000E+000   4.456912638E-025   1.460595554E-024   0.000000000E+000   0.000000000E+000   7.518302034E-026   2.905409042E-027   5.591198901E-025   1.413507572E-026   2.428666489E-039   7.775918964E-040   1.787067737E-226   9.856545254E-227   1.366569762E-032   1.072390982E-033   5.185393585E-050   9.758121976E-047   2.873256061E-046   1.124824929E-287   5.698280709E-288   2.118949607E-030 
  9.394778293E-002   8.505976092E-016   4.575000000E+001   2.203386366E-024   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   5.825757403E-027   0.000000000E+000   0.000000000E+000   4.982781467E-025   1.632930472E-024   0.000000000E+000   0.000000000E+000   8.405382622E-026   3.248216759E-027   6.250901582E-025   1.580286603E-026   2.715223598E-039   8.693395640E-040   1.997922940E-226   1.101951395E-226   1.527810625E-032   1.198921842E-033   5.797215505E-050   1.090947777E-046   3.212270064E-046   1.257542443E-287   6.370617917E-288   2.368963381E-030 
