    V   J   Energy(K)   log(N/g)
    0     0   0.000000E+000   4.236912E+001 
    0     1   1.705020E+002   4.128436E+001 
    0     2   5.098500E+002   3.659151E+001 
    0     3   1.015153E+003   3.393342E+001 
    0     4   1.681678E+003   2.971093E+001 
    0     5   2.503870E+003   2.732735E+001 
    0     6   3.474434E+003   2.560910E+001 
    0     7   4.586377E+003   2.375647E+001 
    0     8   5.829758E+003   2.251055E+001 
    1     0   5.987124E+003   1.944031E+001 
    1     1   6.149208E+003   1.917604E+001 
    1     2   6.471607E+003   1.905444E+001 
    1     3   6.951587E+003   1.897500E+001 
    0     9   7.196995E+003   2.155119E+001 
    1     4   7.584601E+003   1.885052E+001 
    1     5   8.365297E+003   1.884559E+001 
    0    10   8.677322E+003   2.075219E+001 
    1     6   9.286624E+003   1.887924E+001 
    0    11   1.026179E+004   2.008521E+001 
    1     7   1.034152E+004   1.900512E+001 
    1     8   1.152183E+004   1.910313E+001 
    2     0   1.163573E+004   1.789443E+001 
    2     1   1.178951E+004   1.794248E+001 
    0    12   1.194031E+004   1.941442E+001 
    2     2   1.209524E+004   1.777904E+001 
    2     3   1.255050E+004   1.776149E+001 
    1     9   1.281752E+004   1.915071E+001 
    2     4   1.315072E+004   1.758584E+001 
    0    13   1.370318E+004   1.887799E+001 
    2     5   1.389070E+004   1.754343E+001 
    1    10   1.422111E+004   1.906491E+001 
    2     6   1.476414E+004   1.744936E+001 
    0    14   1.554025E+004   1.830500E+001 
    1    11   1.572229E+004   1.888656E+001 
    2     7   1.576338E+004   1.745756E+001 
    2     8   1.688055E+004   1.747986E+001 
    3     0   1.695284E+004   1.700178E+001 
    3     1   1.709837E+004   1.702165E+001 
    1    12   1.731122E+004   1.857999E+001 
    3     2   1.738779E+004   1.687559E+001 
    0    15   1.744391E+004   1.788744E+001 
    3     3   1.781869E+004   1.689499E+001 
    2     9   1.810741E+004   1.754714E+001 
    3     4   1.838652E+004   1.667575E+001 
    1    13   1.897972E+004   1.823747E+001 
    3     5   1.908649E+004   1.663690E+001 
    0    16   1.940345E+004   1.738089E+001 
    2    10   1.943491E+004   1.757906E+001 
    3     6   1.991225E+004   1.650144E+001 
    1    14   2.071785E+004   1.780207E+001 
    2    11   2.085383E+004   1.753960E+001 
    3     7   2.085653E+004   1.645954E+001 
    0    17   2.141168E+004   1.705270E+001 
    3     8   2.191171E+004   1.642743E+001 
    4     0   2.194278E+004   1.620896E+001 
    4     1   2.208004E+004   1.621110E+001 
    4     2   2.235326E+004   1.610436E+001 
    2    12   2.235535E+004   1.744901E+001 
    1    15   2.251712E+004   1.740985E+001 
    4     3   2.275983E+004   1.623460E+001 
    3     9   2.306999E+004   1.644373E+001 
    4     4   2.329564E+004   1.590618E+001 
    0    18   2.345990E+004   1.656780E+001 
    2    13   2.393080E+004   1.720234E+001 
    4     5   2.395581E+004   1.594232E+001 
    3    10   2.432262E+004   1.641545E+001 
    1    16   2.436840E+004   1.693026E+001 
    4     6   2.473404E+004   1.572084E+001 
    0    19   2.553963E+004   1.630238E+001 
    2    14   2.557053E+004   1.694784E+001 
    4     7   2.562381E+004   1.567937E+001 
    3    11   2.565988E+004   1.643439E+001 
    1    17   2.626369E+004   1.656157E+001 
    5     0   2.660677E+004   1.554422E+001 
    4     8   2.661704E+004   1.557883E+001 
    5     1   2.673596E+004   1.551876E+001 
    5     2   2.699289E+004   1.542881E+001 
    3    12   2.707418E+004   1.639346E+001 
    2    15   2.726625E+004   1.652106E+001 
    5     3   2.737523E+004   1.536471E+001 
    0    20   2.764451E+004   1.579356E+001 
    4     9   2.770677E+004   1.556723E+001 
    5     4   2.787879E+004   1.520385E+001 
    1    18   2.819486E+004   1.606607E+001 
    5     5   2.849899E+004   1.517547E+001 
    3    13   2.855661E+004   1.629366E+001 
    4    10   2.888376E+004   1.548980E+001 
    2    16   2.900940E+004   1.615931E+001 
    5     6   2.922954E+004   1.499261E+001 
    0    21   2.976661E+004   1.557636E+001 
    5     7   3.006431E+004   1.490978E+001 
    3    14   3.009785E+004   1.609787E+001 
    4    11   3.013990E+004   1.552725E+001 
    1    19   3.015462E+004   1.578639E+001 
    2    17   3.079235E+004   1.549903E+001 
    6     0   3.094320E+004   1.490011E+001 
    5     8   3.099552E+004   1.484072E+001 
    6     1   3.106412E+004   1.485652E+001 
    6     2   3.130464E+004   1.467054E+001 
    4    12   3.146651E+004   1.545561E+001 
    6     3   3.166233E+004   1.469102E+001 
    3    15   3.169026E+004   1.584488E+001 
    0    22   3.190031E+004   1.493955E+001 
    5     9   3.201575E+004   1.480204E+001 
    6     4   3.213322E+004   1.447548E+001 
    1    20   3.213454E+004   1.514689E+001 
    2    18   3.260639E+004   1.506311E+001 
    6     5   3.271272E+004   1.534990E+001 
    4    13   3.285516E+004   1.536862E+001 
    5    10   3.311646E+004   1.479055E+001 
    3    16   3.332489E+004   1.542875E+001 
    6     6   3.339496E+004   1.430718E+001 
    0    23   3.403759E+004   1.479134E+001 
    1    21   3.412953E+004   1.493374E+001 
    6     7   3.417362E+004   1.431283E+001 
    5    11   3.428978E+004   1.472901E+001 
    4    14   3.429681E+004   1.518615E+001 
    2    19   3.444505E+004   1.354024E+001 
    7     0   3.494622E+004   1.480608E+001 
    3    17   3.499413E+004   1.500000E+001 
    6     8   3.504117E+004   1.429508E+001 
    7     1   3.505878E+004   1.412623E+001 
    7     2   3.528236E+004   1.409744E+001 
    5    12   3.552731E+004   1.473807E+001 
    7     3   3.561473E+004   1.405251E+001 
    4    15   3.578419E+004   1.506993E+001 
    6     9   3.599047E+004   1.430510E+001 
    7     4   3.605189E+004   1.403035E+001 
    1    22   3.613139E+004   1.417737E+001 
    0    24   3.617459E+004   1.388128E+001 
    2    20   3.629979E+004   1.438510E+001 
    7     5   3.658964E+004   1.399320E+001 
    3    18   3.668984E+004   1.459716E+001 
    5    13   3.682003E+004   1.455726E+001 
    6    10   3.701302E+004   1.424705E+001 
    7     6   3.722192E+004   1.393222E+001 
    4    16   3.730808E+004   1.463063E+001 
    7     7   3.794263E+004   1.393330E+001 
    6    11   3.810113E+004   1.425047E+001 
    1    23   3.813447E+004   1.397793E+001 
    5    14   3.815979E+004   1.452585E+001 
    2    21   3.816475E+004   1.419409E+001 
    0    25   3.830484E+004   1.378062E+001 
    3    19   3.840503E+004   1.329417E+001 
    8     0   3.860553E+004   1.382217E+001 
    8     1   3.870915E+004   1.381140E+001 
    7     8   3.874438E+004   1.329771E+001 
    4    17   3.886111E+004   1.450547E+001 
    8     2   3.891514E+004   1.379057E+001 
    8     3   3.922109E+004   1.366252E+001 
