          distance              timeN                 Tn                 Ti                 Te         Total_cool         molec_cool              E(H2)            E(13CO)              E(OH)             E(NH3)            E(r,CO)            E(v,CO)              E(CO)         E(r,o-H2O)         E(r,p-H2O)           E(v,H2O)             E(H2O)           B_photel             Lymana              E(C+)             E(Si+)               E(H)               E(C)              E(Si)               E(O)              E(S+)              E(N+)             E(Fe+) 
  2.521875057E-007   2.283290598E-021   4.575000000E+001   4.575000000E+001   4.575000000E+001   1.057265248E-021   4.285197216E-022  -3.011887978E-024   4.707656414E-024   6.747985507E-026   1.212409922E-028   4.236890773E-022   7.015554197E-059   4.236890773E-022   3.620197477E-026   1.918483192E-026   7.227361836E-053   5.538680669E-026   3.539878660E-022   0.000000000E+000   2.947233664E-022   7.792490957E-025   0.000000000E+000   2.850689457E-022   1.167745812E-023   8.572543356E-023   4.146373541E-224   2.203955397E-030   0.000000000E+000 
  5.043750114E-007   4.566581195E-021   4.575000000E+001   4.575000000E+001   4.575000000E+001   1.057265248E-021   4.285197216E-022  -3.011887978E-024   4.707656414E-024   6.747985507E-026   1.212409922E-028   4.236890773E-022   7.015554197E-059   4.236890773E-022   3.620197477E-026   1.918483192E-026   7.227361836E-053   5.538680669E-026   3.539878660E-022   0.000000000E+000   2.947233664E-022   7.792490957E-025   0.000000000E+000   2.850689457E-022   1.167745812E-023   8.572543356E-023   4.146373541E-224   2.203955397E-030   0.000000000E+000 
  3.026250068E-006   2.739948717E-020   4.575000000E+001   4.575000000E+001   4.575000000E+001   1.057265248E-021   4.285197216E-022  -3.011887978E-024   4.707656414E-024   6.747985507E-026   1.212409922E-028   4.236890773E-022   7.015554197E-059   4.236890773E-022   3.620197477E-026   1.918483192E-026   7.227361836E-053   5.538680669E-026   3.539878660E-022   0.000000000E+000   2.947233664E-022   7.792490957E-025   0.000000000E+000   2.850689457E-022   1.167745812E-023   8.572543356E-023   4.146373541E-224   2.203955397E-030   0.000000000E+000 
  2.824500064E-005   2.557285469E-019   4.575000000E+001   4.575000000E+001   4.575000000E+001   1.057265248E-021   4.285197216E-022  -3.011887978E-024   4.707656414E-024   6.747985507E-026   1.212409922E-028   4.236890773E-022   7.015554197E-059   4.236890773E-022   3.620197477E-026   1.918483192E-026   7.227361836E-053   5.538680669E-026   3.539878660E-022   0.000000000E+000   2.947233664E-022   7.792490957E-025   0.000000000E+000   2.850689457E-022   1.167745812E-023   8.572543356E-023   4.146373541E-224   2.203955397E-030   0.000000000E+000 
  1.178677240E-004   1.067167325E-018   4.575000000E+001   4.575000000E+001   4.575000000E+001   1.057265248E-021   4.285197216E-022  -3.011887978E-024   4.707656414E-024   6.747985507E-026   1.212409922E-028   4.236890773E-022   7.015554197E-059   4.236890773E-022   3.620197477E-026   1.918483192E-026   7.227361836E-053   5.538680669E-026   3.539878660E-022   0.000000000E+000   2.947233664E-022   7.792490957E-025   0.000000000E+000   2.850689457E-022   1.167745812E-023   8.572543356E-023   4.146373541E-224   2.203955397E-030   0.000000000E+000 
  3.170192582E-004   2.870273409E-018   4.575000000E+001   4.575000000E+001   4.575000000E+001   1.057265248E-021   4.285197216E-022  -3.011887978E-024   4.707656414E-024   6.747985507E-026   1.212409922E-028   4.236890773E-022   7.015554197E-059   4.236890773E-022   3.620197477E-026   1.918483192E-026   7.227361836E-053   5.538680669E-026   3.539878660E-022   0.000000000E+000   2.947233664E-022   7.792490957E-025   0.000000000E+000   2.850689457E-022   1.167745812E-023   8.572543356E-023   4.146373541E-224   2.203955397E-030   0.000000000E+000 
  6.971034013E-004   6.311532514E-018   4.575000000E+001   4.575000000E+001   4.575000000E+001   1.057265248E-021   4.285197216E-022  -3.011887978E-024   4.707656414E-024   6.747985507E-026   1.212409922E-028   4.236890773E-022   7.015554197E-059   4.236890773E-022   3.620197477E-026   1.918483192E-026   7.227361836E-053   5.538680669E-026   3.539878660E-022   0.000000000E+000   2.947233664E-022   7.792490957E-025   0.000000000E+000   2.850689457E-022   1.167745812E-023   8.572543356E-023   4.146373541E-224   2.203955397E-030   0.000000000E+000 
  1.410173840E-003   1.276762963E-017   4.575000000E+001   4.575000000E+001   4.575000000E+001   1.057265248E-021   4.285197216E-022  -3.011887978E-024   4.707656414E-024   6.747985507E-026   1.212409922E-028   4.236890773E-022   7.015554197E-059   4.236890773E-022   3.620197477E-026   1.918483192E-026   7.227361836E-053   5.538680669E-026   3.539878660E-022   0.000000000E+000   2.947233664E-022   7.792490957E-025   0.000000000E+000   2.850689457E-022   1.167745812E-023   8.572543356E-023   4.146373541E-224   2.203955397E-030   0.000000000E+000 
  3.598205958E-003   3.257794159E-017   4.575000000E+001   4.575000000E+001   4.575000000E+001   1.057265248E-021   4.285197216E-022  -3.011887978E-024   4.707656414E-024   6.747985507E-026   1.212409922E-028   4.236890773E-022   7.015554197E-059   4.236890773E-022   3.620197477E-026   1.918483192E-026   7.227361836E-053   5.538680669E-026   3.539878660E-022   0.000000000E+000   2.947233664E-022   7.792490957E-025   0.000000000E+000   2.850689457E-022   1.167745812E-023   8.572543356E-023   4.146373541E-224   2.203955397E-030   0.000000000E+000 
  5.786238075E-003   5.238825356E-017   4.575000000E+001   4.575000000E+001   4.575000000E+001   1.057265248E-021   4.285197216E-022  -3.011887978E-024   4.707656414E-024   6.747985507E-026   1.212409922E-028   4.236890773E-022   7.015554197E-059   4.236890773E-022   3.620197477E-026   1.918483192E-026   7.227361836E-053   5.538680669E-026   3.539878660E-022   0.000000000E+000   2.947233664E-022   7.792490957E-025   0.000000000E+000   2.850689457E-022   1.167745812E-023   8.572543356E-023   4.146373541E-224   2.203955397E-030   0.000000000E+000 
