          distance              timeN              timeI                 nH                 NH                NH2                NCO                 Av              op_H2                 Vn                 Vi                VCH                VS                 VSH                 Tn                 Ti                 Te             Vsound            Vmagnet            VAlfven               rhoN               rhoI             rhoNEG           DensityN           DensityI         DensityNEG                muN                muI                muA              muNEG            -dVn/dz            -dVi/dz             Tgrain            Teff_gr               Mgrc               Mgrm              d-ero              d-ads           rsq-core           rsq-mant             ab-cor             ab-ads            Nlayers            densgrc           compr_gr               phH2               phCO          -DissH2_t            F_gr_H2          E_gr_H2_K              x(H2)               x(H)              x(H+)          sum(neut)          sum(ions)          sum(nega)             grad_V              fluph 
  2.521875057E-007   2.283290598E-021   2.283943153E-021   1.000002018E+004   1.000000000E+001   1.000000000E+001   1.000000000E+001   1.000000000E-001   3.000000000E+000   3.500000000E+006   3.499000000E+006   3.500000000E+006   3.500000000E+006   3.500000000E+006   4.575000000E+001   4.575000000E+001   4.575000000E+001   5.195742084E+004   5.386438463E+006   5.158967754E+005   2.345464023E-020   2.963386801E-024   3.769957784E-024   6.014478589E+003   1.104574348E-001   1.104574347E-001   3.899696355E-024   2.682831452E-023   1.107045321E-021   3.413041225E-023   5.102967517E-014   4.036391232E-012   1.500000000E+001   4.597389367E+001   1.302590768E-022   7.816251795E-023  -4.053961296E-022   1.310901905E-006   4.087958355E-012   1.015038341E-011   4.058000000E+000   1.919670000E+000   3.810478715E+001   6.944201281E-007   1.000000000E+000   7.239206640E-016   8.888248970E-013   1.840566212E-145   3.672044424E-011   2.150087918E+004   4.987989933E-001   2.401995152E-003   1.826996313E-008   6.014478589E+003   1.104574348E-001   1.104574347E-001   5.102967517E-014   8.374253917E+007 
  5.043750114E-007   4.566581195E-021   4.567886305E-021   1.000002018E+004   1.000000000E+001   1.000000000E+001   1.000000000E+001   1.000000000E-001   3.000000000E+000   3.500000000E+006   3.499000000E+006   3.500000000E+006   3.500000000E+006   3.500000000E+006   4.575000000E+001   4.575000000E+001   4.575000000E+001   5.195742084E+004   5.386438463E+006   5.158967754E+005   2.345464023E-020   2.963386801E-024   3.769957784E-024   6.014478589E+003   1.104574348E-001   1.104574347E-001   3.899696355E-024   2.682831452E-023   1.107045321E-021   3.413041225E-023   5.102967517E-014   4.036391232E-012   1.500000000E+001   4.597389367E+001   1.302590768E-022   7.816251795E-023  -4.053961296E-022   1.310901905E-006   4.087958355E-012   1.015038341E-011   4.058000000E+000   1.919670000E+000   3.810478715E+001   6.944201281E-007   1.000000000E+000   7.239206640E-016   8.888248970E-013   1.840566212E-145   3.672044424E-011   2.150087918E+004   4.987989933E-001   2.401995152E-003   1.826996313E-008   6.014478589E+003   1.104574348E-001   1.104574347E-001   5.102967517E-014   8.374253917E+007 
  3.026250068E-006   2.739948717E-020   2.740731783E-020   1.000002018E+004   1.000000000E+001   1.000000000E+001   1.000000000E+001   1.000000000E-001   3.000000000E+000   3.500000000E+006   3.499000000E+006   3.500000000E+006   3.500000000E+006   3.500000000E+006   4.575000000E+001   4.575000000E+001   4.575000000E+001   5.195742084E+004   5.386438463E+006   5.158967754E+005   2.345464023E-020   2.963386801E-024   3.769957784E-024   6.014478589E+003   1.104574348E-001   1.104574347E-001   3.899696355E-024   2.682831452E-023   1.107045321E-021   3.413041225E-023   5.102967517E-014   4.036391232E-012   1.500000000E+001   4.597389367E+001   1.302590768E-022   7.816251795E-023  -4.053961296E-022   1.310901905E-006   4.087958355E-012   1.015038341E-011   4.058000000E+000   1.919670000E+000   3.810478715E+001   6.944201281E-007   1.000000000E+000   7.239206640E-016   8.888248970E-013   1.840566213E-145   3.672044424E-011   2.150087918E+004   4.987989933E-001   2.401995152E-003   1.826996313E-008   6.014478589E+003   1.104574348E-001   1.104574347E-001   5.102967517E-014   8.374253917E+007 
  2.824500064E-005   2.557285469E-019   2.558016331E-019   1.000002018E+004   1.000000000E+001   1.000000000E+001   1.000000000E+001   1.000000000E-001   3.000000000E+000   3.500000000E+006   3.499000000E+006   3.500000000E+006   3.500000000E+006   3.500000000E+006   4.575000000E+001   4.575000000E+001   4.575000000E+001   5.195742084E+004   5.386438463E+006   5.158967754E+005   2.345464023E-020   2.963386801E-024   3.769957784E-024   6.014478589E+003   1.104574348E-001   1.104574347E-001   3.899696355E-024   2.682831452E-023   1.107045321E-021   3.413041225E-023   5.102967517E-014   4.036391232E-012   1.500000000E+001   4.597389367E+001   1.302590768E-022   7.816251795E-023  -4.053961296E-022   1.310901905E-006   4.087958355E-012   1.015038341E-011   4.058000000E+000   1.919670000E+000   3.810478715E+001   6.944201281E-007   1.000000000E+000   7.239206640E-016   8.888248970E-013   1.840566228E-145   3.672044424E-011   2.150087918E+004   4.987989933E-001   2.401995152E-003   1.826996313E-008   6.014478589E+003   1.104574348E-001   1.104574347E-001   5.102967517E-014   8.374253917E+007 
  1.178677240E-004   1.067167325E-018   1.067472317E-018   1.000002018E+004   1.000000000E+001   1.000000000E+001   1.000000000E+001   1.000000000E-001   3.000000000E+000   3.500000000E+006   3.499000000E+006   3.500000000E+006   3.500000000E+006   3.500000000E+006   4.575000000E+001   4.575000000E+001   4.575000000E+001   5.195742084E+004   5.386438463E+006   5.158967754E+005   2.345464023E-020   2.963386801E-024   3.769957784E-024   6.014478589E+003   1.104574348E-001   1.104574347E-001   3.899696355E-024   2.682831452E-023   1.107045321E-021   3.413041225E-023   5.102967517E-014   4.036391232E-012   1.500000000E+001   4.597389367E+001   1.302590768E-022   7.816251795E-023  -4.053961296E-022   1.310901905E-006   4.087958355E-012   1.015038341E-011   4.058000000E+000   1.919670000E+000   3.810478715E+001   6.944201281E-007   1.000000000E+000   7.239206640E-016   8.888248970E-013   1.840566281E-145   3.672044424E-011   2.150087918E+004   4.987989933E-001   2.401995152E-003   1.826996313E-008   6.014478589E+003   1.104574348E-001   1.104574347E-001   5.102967517E-014   8.374253917E+007 
  3.170192582E-004   2.870273409E-018   2.871093721E-018   1.000002018E+004   1.000000000E+001   1.000000000E+001   1.000000000E+001   1.000000000E-001   3.000000000E+000   3.500000000E+006   3.499000000E+006   3.500000000E+006   3.500000000E+006   3.500000000E+006   4.575000000E+001   4.575000000E+001   4.575000000E+001   5.195742084E+004   5.386438463E+006   5.158967754E+005   2.345464023E-020   2.963386801E-024   3.769957784E-024   6.014478589E+003   1.104574348E-001   1.104574347E-001   3.899696355E-024   2.682831452E-023   1.107045321E-021   3.413041225E-023   5.102967517E-014   4.036391232E-012   1.500000000E+001   4.597389367E+001   1.302590768E-022   7.816251795E-023  -4.053961296E-022   1.310901905E-006   4.087958355E-012   1.015038341E-011   4.058000000E+000   1.919670000E+000   3.810478715E+001   6.944201281E-007   1.000000000E+000   7.239206640E-016   8.888248970E-013   1.840566398E-145   3.672044424E-011   2.150087918E+004   4.987989933E-001   2.401995152E-003   1.826996313E-008   6.014478589E+003   1.104574348E-001   1.104574347E-001   5.102967517E-014   8.374253917E+007 
  6.971034013E-004   6.311532514E-018   6.313336324E-018   1.000002018E+004   1.000000000E+001   1.000000000E+001   1.000000000E+001   1.000000000E-001   3.000000000E+000   3.500000000E+006   3.499000000E+006   3.500000000E+006   3.500000000E+006   3.500000000E+006   4.575000000E+001   4.575000000E+001   4.575000000E+001   5.195742084E+004   5.386438463E+006   5.158967754E+005   2.345464023E-020   2.963386801E-024   3.769957784E-024   6.014478589E+003   1.104574348E-001   1.104574347E-001   3.899696355E-024   2.682831452E-023   1.107045321E-021   3.413041225E-023   5.102967517E-014   4.036391232E-012   1.500000000E+001   4.597389367E+001   1.302590768E-022   7.816251795E-023  -4.053961296E-022   1.310901905E-006   4.087958355E-012   1.015038341E-011   4.058000000E+000   1.919670000E+000   3.810478715E+001   6.944201281E-007   1.000000000E+000   7.239206640E-016   8.888248970E-013   1.840566622E-145   3.672044424E-011   2.150087918E+004   4.987989933E-001   2.401995152E-003   1.826996313E-008   6.014478589E+003   1.104574348E-001   1.104574347E-001   5.102967517E-014   8.374253917E+007 
  1.410173840E-003   1.276762963E-017   1.277127857E-017   1.000002018E+004   1.000000000E+001   1.000000000E+001   1.000000000E+001   1.000000000E-001   3.000000000E+000   3.500000000E+006   3.499000000E+006   3.500000000E+006   3.500000000E+006   3.500000000E+006   4.575000000E+001   4.575000000E+001   4.575000000E+001   5.195742084E+004   5.386438463E+006   5.158967754E+005   2.345464023E-020   2.963386801E-024   3.769957784E-024   6.014478589E+003   1.104574348E-001   1.104574347E-001   3.899696355E-024   2.682831452E-023   1.107045321E-021   3.413041225E-023   5.102967517E-014   4.036391232E-012   1.500000000E+001   4.597389367E+001   1.302590768E-022   7.816251795E-023  -4.053961296E-022   1.310901905E-006   4.087958355E-012   1.015038341E-011   4.058000000E+000   1.919670000E+000   3.810478715E+001   6.944201281E-007   1.000000000E+000   7.239206640E-016   8.888248970E-013   1.840567041E-145   3.672044424E-011   2.150087918E+004   4.987989933E-001   2.401995152E-003   1.826996313E-008   6.014478589E+003   1.104574348E-001   1.104574347E-001   5.102967517E-014   8.374253917E+007 
  3.598205958E-003   3.257794159E-017   3.258725224E-017   1.000002018E+004   1.000000000E+001   1.000000000E+001   1.000000000E+001   1.000000000E-001   3.000000000E+000   3.500000000E+006   3.499000000E+006   3.500000000E+006   3.500000000E+006   3.500000000E+006   4.575000000E+001   4.575000000E+001   4.575000000E+001   5.195742084E+004   5.386438463E+006   5.158967754E+005   2.345464023E-020   2.963386801E-024   3.769957784E-024   6.014478589E+003   1.104574348E-001   1.104574347E-001   3.899696355E-024   2.682831452E-023   1.107045321E-021   3.413041225E-023   5.102967517E-014   4.036391232E-012   1.500000000E+001   4.597389367E+001   1.302590768E-022   7.816251795E-023  -4.053961296E-022   1.310901905E-006   4.087958355E-012   1.015038341E-011   4.058000000E+000   1.919670000E+000   3.810478715E+001   6.944201281E-007   1.000000000E+000   7.239206640E-016   8.888248970E-013   1.840568328E-145   3.672044424E-011   2.150087918E+004   4.987989933E-001   2.401995152E-003   1.826996313E-008   6.014478589E+003   1.104574348E-001   1.104574347E-001   5.102967517E-014   8.374253917E+007 
  5.786238075E-003   5.238825356E-017   5.240322591E-017   1.000002018E+004   1.000000000E+001   1.000000000E+001   1.000000000E+001   1.000000000E-001   3.000000000E+000   3.500000000E+006   3.499000000E+006   3.500000000E+006   3.500000000E+006   3.500000000E+006   4.575000000E+001   4.575000000E+001   4.575000000E+001   5.195742084E+004   5.386438463E+006   5.158967754E+005   2.345464023E-020   2.963386801E-024   3.769957784E-024   6.014478589E+003   1.104574348E-001   1.104574347E-001   3.899696355E-024   2.682831452E-023   1.107045321E-021   3.413041225E-023   5.102967517E-014   4.036391232E-012   1.500000000E+001   4.597389367E+001   1.302590768E-022   7.816251795E-023  -4.053961296E-022   1.310901905E-006   4.087958355E-012   1.015038341E-011   4.058000000E+000   1.919670000E+000   3.810478715E+001   6.944201281E-007   1.000000000E+000   7.239206640E-016   8.888248970E-013   1.840569615E-145   3.672044424E-011   2.150087918E+004   4.987989933E-001   2.401995152E-003   1.826996313E-008   6.014478589E+003   1.104574348E-001   1.104574347E-001   5.102967517E-014   8.374253917E+007 
