    V   J   Energy(K)   log(N/g)
    0     0   0.000000E+000   5.573846E+001 
    0     1   1.705020E+002   5.265225E+001 
    0     2   5.098500E+002   4.414138E+001 
    0     3   1.015153E+003   4.196641E+001 
    0     4   1.681678E+003   4.104408E+001 
    0     5   2.503870E+003   3.982356E+001 
    0     6   3.474434E+003   3.818293E+001 
    0     7   4.586377E+003   3.636844E+001 
    0     8   5.829758E+003   3.489800E+001 
    1     0   5.987124E+003   3.192075E+001 
    1     1   6.149208E+003   3.169773E+001 
    1     2   6.471607E+003   3.151771E+001 
    1     3   6.951587E+003   3.144905E+001 
    0     9   7.196995E+003   3.397059E+001 
    1     4   7.584601E+003   3.130115E+001 
    1     5   8.365297E+003   3.129154E+001 
    0    10   8.677322E+003   3.316648E+001 
    1     6   9.286624E+003   3.130565E+001 
    0    11   1.026179E+004   3.250795E+001 
    1     7   1.034152E+004   3.143130E+001 
    1     8   1.152183E+004   3.152410E+001 
    2     0   1.163573E+004   3.033813E+001 
    2     1   1.178951E+004   3.041330E+001 
    0    12   1.194031E+004   3.182590E+001 
    2     2   1.209524E+004   3.021559E+001 
    2     3   1.255050E+004   3.021720E+001 
    1     9   1.281752E+004   3.156966E+001 
    2     4   1.315072E+004   3.001030E+001 
    0    13   1.370318E+004   3.130317E+001 
    2     5   1.389070E+004   2.998781E+001 
    1    10   1.422111E+004   3.148139E+001 
    2     6   1.476414E+004   2.987209E+001 
    0    14   1.554025E+004   3.071397E+001 
    1    11   1.572229E+004   3.130159E+001 
    2     7   1.576338E+004   2.988853E+001 
    2     8   1.688055E+004   2.990312E+001 
    3     0   1.695284E+004   2.945887E+001 
    3     1   1.709837E+004   2.948830E+001 
    1    12   1.731122E+004   3.099293E+001 
    3     2   1.738779E+004   2.931007E+001 
    0    15   1.744391E+004   3.031598E+001 
    3     3   1.781869E+004   2.935653E+001 
    2     9   1.810741E+004   2.996766E+001 
    3     4   1.838652E+004   2.909921E+001 
    1    13   1.897972E+004   3.064901E+001 
    3     5   1.908649E+004   2.908637E+001 
    0    16   1.940345E+004   2.978641E+001 
    2    10   1.943491E+004   2.999427E+001 
    3     6   1.991225E+004   2.891863E+001 
    1    14   2.071785E+004   3.021198E+001 
    2    11   2.085383E+004   2.994926E+001 
    3     7   2.085653E+004   2.889216E+001 
    0    17   2.141168E+004   2.948521E+001 
    3     8   2.191171E+004   2.885152E+001 
    4     0   2.194278E+004   2.865171E+001 
    4     1   2.208004E+004   2.864293E+001 
    4     2   2.235326E+004   2.854578E+001 
    2    12   2.235535E+004   2.985103E+001 
    1    15   2.251712E+004   2.981902E+001 
    4     3   2.275983E+004   2.874204E+001 
    3     9   2.306999E+004   2.886752E+001 
    4     4   2.329564E+004   2.833245E+001 
    0    18   2.345990E+004   2.896664E+001 
    2    13   2.393080E+004   2.959458E+001 
    4     5   2.395581E+004   2.841339E+001 
    3    10   2.432262E+004   2.883859E+001 
    1    16   2.436840E+004   2.933792E+001 
    4     6   2.473404E+004   2.812793E+001 
    0    19   2.553963E+004   2.873924E+001 
    2    14   2.557053E+004   2.933019E+001 
    4     7   2.562381E+004   2.812849E+001 
    3    11   2.565988E+004   2.885499E+001 
    1    17   2.626369E+004   2.897191E+001 
    5     0   2.660677E+004   2.797797E+001 
    4     8   2.661704E+004   2.799965E+001 
    5     1   2.673596E+004   2.794075E+001 
    5     2   2.699289E+004   2.789960E+001 
    3    12   2.707418E+004   2.880939E+001 
    2    15   2.726625E+004   2.888163E+001 
    5     3   2.737523E+004   2.781110E+001 
    0    20   2.764451E+004   2.817780E+001 
    4     9   2.770677E+004   2.799581E+001 
    5     4   2.787879E+004   2.763048E+001 
    1    18   2.819486E+004   2.847805E+001 
    5     5   2.849899E+004   2.761962E+001 
    3    13   2.855661E+004   2.870794E+001 
    4    10   2.888376E+004   2.791442E+001 
    2    16   2.900940E+004   2.850020E+001 
    5     6   2.922954E+004   2.738914E+001 
