          distance              timeN                 Tn                 Ti                 Te         Total_heat       heat_chemist       heat_diff_in       heat_diff_an       heat_diff_en       heat_diff_gn       heat_inel_en       heat_ther_in       heat_ther_gn       heat_phot_el       heat_ioni_cr    heat_photo_chem         heat_h2int          heat_visc         heat_compr 
  2.000000000E-006   2.112586048E-020   5.452000000E+001   5.452000000E+001   5.452000000E+001   6.494001505E-023   2.625276273E-023  -5.922885811E-022  -3.369864379E-024  -4.286924879E-025  -1.556978439E-026  -0.000000000E+000   3.142632856E-027  -1.013130966E-025   3.368383269E-023   1.116286777E-023   0.000000000E+000   6.046329947E-025   0.000000000E+000   5.894399397E-022 
  4.000000000E-006   4.225172097E-020   5.452000000E+001   5.452000000E+001   5.452000000E+001   6.494001505E-023   2.625276273E-023  -5.922885811E-022  -3.369864379E-024  -4.286924879E-025  -1.556978439E-026  -0.000000000E+000   3.142632856E-027  -1.013130966E-025   3.368383269E-023   1.116286777E-023   0.000000000E+000   6.046329947E-025   0.000000000E+000   5.894399397E-022 
  2.400000000E-005   2.535103258E-019   5.452000000E+001   5.452000000E+001   5.452000000E+001   6.494001505E-023   2.625276273E-023  -5.922885811E-022  -3.369864379E-024  -4.286924879E-025  -1.556978439E-026  -0.000000000E+000   3.142632856E-027  -1.013130966E-025   3.368383269E-023   1.116286777E-023   0.000000000E+000   6.046329947E-025   0.000000000E+000   5.894399397E-022 
  2.240000000E-004   2.366096374E-018   5.452000000E+001   5.452000000E+001   5.452000000E+001   6.494001505E-023   2.625276273E-023  -5.922885811E-022  -3.369864379E-024  -4.286924879E-025  -1.556978439E-026  -0.000000000E+000   3.142632856E-027  -1.013130966E-025   3.368383269E-023   1.116286777E-023   0.000000000E+000   6.046329947E-025   0.000000000E+000   5.894399397E-022 
  9.725774086E-004   1.027326732E-017   5.452000000E+001   5.452000000E+001   5.452000000E+001   6.494001505E-023   2.625276273E-023  -5.922885811E-022  -3.369864379E-024  -4.286924879E-025  -1.556978439E-026  -0.000000000E+000   3.142632856E-027  -1.013130966E-025   3.368383269E-023   1.116286777E-023   0.000000000E+000   6.046329947E-025   0.000000000E+000   5.894399397E-022 
  2.663860294E-003   2.813817045E-017   5.452000000E+001   5.452000000E+001   5.452000000E+001   6.494001505E-023   2.625276273E-023  -5.922885811E-022  -3.369864379E-024  -4.286924879E-025  -1.556978439E-026  -0.000000000E+000   3.142632856E-027  -1.013130966E-025   3.368383269E-023   1.116286777E-023   0.000000000E+000   6.046329947E-025   0.000000000E+000   5.894399397E-022 
  5.910419982E-003   6.243135397E-017   5.452000000E+001   5.452000000E+001   5.452000000E+001   6.494001505E-023   2.625276273E-023  -5.922885811E-022  -3.369864379E-024  -4.286924879E-025  -1.556978439E-026  -0.000000000E+000   3.142632856E-027  -1.013130966E-025   3.368383269E-023   1.116286777E-023   0.000000000E+000   6.046329947E-025   0.000000000E+000   5.894399397E-022 
  1.201241758E-002   1.268863289E-016   5.452000000E+001   5.452000000E+001   5.452000000E+001   6.494001505E-023   2.625276273E-023  -5.922885811E-022  -3.369864379E-024  -4.286924879E-025  -1.556978439E-026  -0.000000000E+000   3.142632856E-027  -1.013130966E-025   3.368383269E-023   1.116286777E-023   0.000000000E+000   6.046329947E-025   0.000000000E+000   5.894399397E-022 
  3.066257390E-002   3.238866291E-016   5.452000000E+001   5.452000000E+001   5.452000000E+001   6.494001505E-023   2.625276273E-023  -5.922885811E-022  -3.369864379E-024  -4.286924879E-025  -1.556978439E-026  -0.000000000E+000   3.142632856E-027  -1.013130966E-025   3.368383269E-023   1.116286777E-023   0.000000000E+000   6.046329947E-025   0.000000000E+000   5.894399397E-022 
  4.931273022E-002   5.208869293E-016   5.452000000E+001   5.452000000E+001   5.452000000E+001   6.494001505E-023   2.625276273E-023  -5.922885811E-022  -3.369864379E-024  -4.286924879E-025  -1.556978439E-026  -0.000000000E+000   3.142632856E-027  -1.013130966E-025   3.368383269E-023   1.116286777E-023   0.000000000E+000   6.046329947E-025   0.000000000E+000   5.894399397E-022 
  5.932987578E-002   6.266973391E-016   5.452000000E+001   5.452000000E+001   5.452000000E+001   6.494001505E-023   2.625276273E-023  -5.922885811E-022  -3.369864379E-024  -4.286924879E-025  -1.556978439E-026  -0.000000000E+000   3.142632856E-027  -1.013130966E-025   3.368383269E-023   1.116286777E-023   0.000000000E+000   6.046329947E-025   0.000000000E+000   5.894399397E-022 
  6.934702135E-002   7.325077489E-016   5.452000000E+001   5.452000000E+001   5.452000000E+001   6.494001505E-023   2.625276273E-023  -5.922885811E-022  -3.369864379E-024  -4.286924879E-025  -1.556978439E-026  -0.000000000E+000   3.142632856E-027  -1.013130966E-025   3.368383269E-023   1.116286777E-023   0.000000000E+000   6.046329947E-025   0.000000000E+000   5.894399397E-022 
  7.936416691E-002   8.383181587E-016   5.452000000E+001   5.452000000E+001   5.452000000E+001   6.494001505E-023   2.625276273E-023  -5.922885811E-022  -3.369864379E-024  -4.286924879E-025  -1.556978439E-026  -0.000000000E+000   3.142632856E-027  -1.013130966E-025   3.368383269E-023   1.116286777E-023   0.000000000E+000   6.046329947E-025   0.000000000E+000   5.894399397E-022 
  9.567738419E-002   1.010633535E-015   5.452000000E+001   5.452000000E+001   5.452000000E+001   6.494001505E-023   2.625276273E-023  -5.922885811E-022  -3.369864379E-024  -4.286924879E-025  -1.556978439E-026  -0.000000000E+000   3.142632856E-027  -1.013130966E-025   3.368383269E-023   1.116286777E-023   0.000000000E+000   6.046329947E-025   0.000000000E+000   5.894399397E-022 
  1.119906015E-001   1.182948911E-015   5.452000000E+001   5.452000000E+001   5.452000000E+001   6.494001505E-023   2.625276273E-023  -5.922885811E-022  -3.369864379E-024  -4.286924879E-025  -1.556978439E-026  -0.000000000E+000   3.142632856E-027  -1.013130966E-025   3.368383269E-023   1.116286777E-023   0.000000000E+000   6.046329947E-025   0.000000000E+000   5.894399397E-022 
  1.283038187E-001   1.355264287E-015   5.452000000E+001   5.452000000E+001   5.452000000E+001   6.494001505E-023   2.625276273E-023  -5.922885811E-022  -3.369864379E-024  -4.286924879E-025  -1.556978439E-026  -0.000000000E+000   3.142632856E-027  -1.013130966E-025   3.368383269E-023   1.116286777E-023   0.000000000E+000   6.046329947E-025   0.000000000E+000   5.894399397E-022 
  1.446170360E-001   1.527579663E-015   5.452000000E+001   5.452000000E+001   5.452000000E+001   6.494001505E-023   2.625276273E-023  -5.922885811E-022  -3.369864379E-024  -4.286924879E-025  -1.556978439E-026  -0.000000000E+000   3.142632856E-027  -1.013130966E-025   3.368383269E-023   1.116286777E-023   0.000000000E+000   6.046329947E-025   0.000000000E+000   5.894399397E-022 
