    V   J   Energy(K)   log(N/g)
    0     0   0.000000E+000   5.134332E+001 
    0     1   1.705020E+002   4.949693E+001 
    0     2   5.098500E+002   4.157102E+001 
    0     3   1.015153E+003   4.055019E+001 
    0     4   1.681678E+003   3.970901E+001 
    0     5   2.503870E+003   3.862923E+001 
    0     6   3.474434E+003   3.712435E+001 
    0     7   4.586377E+003   3.528538E+001 
    0     8   5.829758E+003   3.365834E+001 
    1     0   5.987124E+003   3.195689E+001 
    1     1   6.149208E+003   3.171608E+001 
    1     2   6.471607E+003   3.164555E+001 
    1     3   6.951587E+003   3.131759E+001 
    0     9   7.196995E+003   3.234341E+001 
    1     4   7.584601E+003   3.109439E+001 
    1     5   8.365297E+003   3.073874E+001 
    0    10   8.677322E+003   3.147019E+001 
    1     6   9.286624E+003   3.049274E+001 
    0    11   1.026179E+004   3.041402E+001 
    1     7   1.034152E+004   3.015291E+001 
    1     8   1.152183E+004   2.993107E+001 
    2     0   1.163573E+004   2.971561E+001 
    2     1   1.178951E+004   2.954378E+001 
    0    12   1.194031E+004   2.976298E+001 
    2     2   1.209524E+004   2.952859E+001 
    2     3   1.255050E+004   2.929322E+001 
    1     9   1.281752E+004   2.956647E+001 
    2     4   1.315072E+004   2.919458E+001 
    0    13   1.370318E+004   2.875849E+001 
    2     5   1.389070E+004   2.894676E+001 
    1    10   1.422111E+004   2.932320E+001 
    2     6   1.476414E+004   2.877570E+001 
    0    14   1.554025E+004   2.828743E+001 
    1    11   1.572229E+004   2.884509E+001 
    2     7   1.576338E+004   2.849921E+001 
    2     8   1.688055E+004   2.833584E+001 
    3     0   1.695284E+004   2.834683E+001 
    3     1   1.709837E+004   2.823136E+001 
    1    12   1.731122E+004   2.854359E+001 
    3     2   1.738779E+004   2.823408E+001 
    0    15   1.744391E+004   2.737081E+001 
    3     3   1.781869E+004   2.806058E+001 
    2     9   1.810741E+004   2.803309E+001 
    3     4   1.838652E+004   2.797678E+001 
    1    13   1.897972E+004   2.794832E+001 
    3     5   1.908649E+004   2.777937E+001 
    0    16   1.940345E+004   2.704113E+001 
    2    10   1.943491E+004   2.789716E+001 
    3     6   1.991225E+004   2.762474E+001 
    1    14   2.071785E+004   2.755324E+001 
    2    11   2.085383E+004   2.751662E+001 
    3     7   2.085653E+004   2.736294E+001 
    0    17   2.141168E+004   2.624184E+001 
    3     8   2.191171E+004   2.720552E+001 
    4     0   2.194278E+004   2.730444E+001 
    4     1   2.208004E+004   2.724063E+001 
    4     2   2.235326E+004   2.720403E+001 
    2    12   2.235535E+004   2.736121E+001 
    1    15   2.251712E+004   2.688050E+001 
    4     3   2.275983E+004   2.708790E+001 
    3     9   2.306999E+004   2.689363E+001 
    4     4   2.329564E+004   2.695194E+001 
    0    18   2.345990E+004   2.592884E+001 
    2    13   2.393080E+004   2.689247E+001 
    4     5   2.395581E+004   2.682771E+001 
    3    10   2.432262E+004   2.662573E+001 
    1    16   2.436840E+004   2.644860E+001 
    4     6   2.473404E+004   2.649465E+001 
    0    19   2.553963E+004   2.533889E+001 
    2    14   2.557053E+004   2.656004E+001 
    4     7   2.562381E+004   2.626175E+001 
    3    11   2.565988E+004   2.632060E+001 
    1    17   2.626369E+004   2.580897E+001 
    5     0   2.660677E+004   2.619215E+001 
    4     8   2.661704E+004   2.600223E+001 
    5     1   2.673596E+004   2.615390E+001 
    5     2   2.699289E+004   2.606385E+001 
    3    12   2.707418E+004   2.613633E+001 
    2    15   2.726625E+004   2.595957E+001 
    5     3   2.737523E+004   2.593193E+001 
    0    20   2.764451E+004   2.495866E+001 
    4     9   2.770677E+004   2.575034E+001 
    5     4   2.787879E+004   2.575549E+001 
    1    18   2.819486E+004   2.537350E+001 
    5     5   2.849899E+004   2.561985E+001 
    3    13   2.855661E+004   2.576052E+001 
    4    10   2.888376E+004   2.523533E+001 
    2    16   2.900940E+004   2.548896E+001 
    5     6   2.922954E+004   2.505268E+001 
    0    21   2.976661E+004   2.453996E+001 
    5     7   3.006431E+004   2.483384E+001 
    3    14   3.009785E+004   2.544623E+001 
    4    11   3.013990E+004   2.497991E+001 
    1    19   3.015462E+004   2.487960E+001 
    2    17   3.079235E+004   2.475513E+001 
    6     0   3.094320E+004   2.459074E+001 
    5     8   3.099552E+004   2.447827E+001 
    6     1   3.106412E+004   2.458970E+001 
    6     2   3.130464E+004   2.438695E+001 
    4    12   3.146651E+004   2.479217E+001 
    6     3   3.166233E+004   2.426892E+001 
    3    15   3.169026E+004   2.499248E+001 
    0    22   3.190031E+004   2.391907E+001 
    5     9   3.201575E+004   2.422937E+001 
    6     4   3.213322E+004   2.414645E+001 
    1    20   3.213454E+004   2.437082E+001 
    2    18   3.260639E+004   2.428071E+001 
    6     5   3.271272E+004   2.465895E+001 
    4    13   3.285516E+004   2.448416E+001 
    5    10   3.311646E+004   2.412498E+001 
    3    16   3.332489E+004   2.465694E+001 
    6     6   3.339496E+004   2.365861E+001 
    0    23   3.403759E+004   2.374683E+001 
    1    21   3.412953E+004   2.407626E+001 
    6     7   3.417362E+004   2.361141E+001 
    5    11   3.428978E+004   2.396029E+001 
    4    14   3.429681E+004   2.439110E+001 
    2    19   3.444505E+004   2.337513E+001 
    7     0   3.494622E+004   2.439856E+001 
    3    17   3.499413E+004   2.420660E+001 
    6     8   3.504117E+004   2.355703E+001 
    7     1   3.505878E+004   2.339125E+001 
    7     2   3.528236E+004   2.335969E+001 
    5    12   3.552731E+004   2.394711E+001 
    7     3   3.561473E+004   2.328230E+001 
    4    15   3.578419E+004   2.420363E+001 
    6     9   3.599047E+004   2.352084E+001 
    7     4   3.605189E+004   2.325105E+001 
    1    22   3.613139E+004   2.329367E+001 
    0    24   3.617459E+004   2.258556E+001 
    2    20   3.629979E+004   2.352467E+001 
    7     5   3.658964E+004   2.316600E+001 
    3    18   3.668984E+004   2.373798E+001 
    5    13   3.682003E+004   2.370001E+001 
    6    10   3.701302E+004   2.342347E+001 
    7     6   3.722192E+004   2.307173E+001 
    4    16   3.730808E+004   2.374969E+001 
    7     7   3.794263E+004   2.304871E+001 
    6    11   3.810113E+004   2.337360E+001 
    1    23   3.813447E+004   2.301747E+001 
    5    14   3.815979E+004   2.364724E+001 
    2    21   3.816475E+004   2.326076E+001 
    0    25   3.830484E+004   2.278933E+001 
    3    19   3.840503E+004   2.253473E+001 
    8     0   3.860553E+004   2.291706E+001 
    8     1   3.870915E+004   2.289842E+001 
    7     8   3.874438E+004   2.230579E+001 
    4    17   3.886111E+004   2.356660E+001 
    8     2   3.891514E+004   2.287012E+001 
    8     3   3.922109E+004   2.262145E+001 
